category_id,category
1,kos en drankies > kos > soppe en boeljon
2,kos en drankies > kos > neute en sade
3,kos en drankies > kos > peuselhappies en skyfies
4,kos en drankies > kos > vleisvervangings
5,kos en drankies > kos > speserye en geurmiddels
6,kos en drankies > kos > pasta en graan
7,kos en drankies > kos > voorbereide kos en maaltydstelle
8,kos en drankies > kos > lekkergoed en sjokolade
9,kos en drankies > kos > doopsouse en smere
10,kos en drankies > kos > kos en seekos
11,kos en drankies > kos > bakkery en brood
12,kos en drankies > kos > speserye en souse
13,"kos en drankies > kos > suiwel, eiers en kaas"
14,kos en drankies > kos > bevrore kos
15,kos en drankies > kos > bakbestanddele
16,kos en drankies > kos > vrugte en groente
17,kos en drankies > kos > ontbyt en graankos
18,kos en drankies > kos
19,kos en drankies > drinkgoed > sport- en energiedrankies
20,kos en drankies > drinkgoed > sap
21,kos en drankies > drinkgoed > poeiermengsels vir drinkgoed
22,kos en drankies > drinkgoed > soda
23,kos en drankies > drinkgoed > water
24,kos en drankies > drinkgoed > koffie en tee
25,kos en drankies > drinkgoed > alkoholiese drankies
26,kos en drankies > drinkgoed > melk
27,kos en drankies > drinkgoed
28,kos en drankies
29,speelgoed en speletjies > buitelugspeelgoed
30,speelgoed en speletjies > opgestopte diere en sagte speelgoed
31,speelgoed en speletjies > speletjies > rolspelspeletjies
32,speelgoed en speletjies > speletjies > skaak
33,speelgoed en speletjies > speletjies > miniatuur- en oorlogspeletjies
34,speelgoed en speletjies > speletjies > dobbelsteenspeletjies
35,speelgoed en speletjies > speletjies > teëlspeletjies
36,speelgoed en speletjies > speletjies > kaartspeletjies
37,speelgoed en speletjies > speletjies > vaardigheidspeletjies
38,speelgoed en speletjies > speletjies > bordspeletjies
39,speelgoed en speletjies > speletjies
40,speelgoed en speletjies > legkaarte
41,speelgoed en speletjies > ryspeelgoed
42,speelgoed en speletjies > kammaspeel
43,speelgoed en speletjies > speelgoedvoertuie
44,speelgoed en speletjies > afstandbeheerspeelgoed
45,speelgoed en speletjies > opvoedkundige speelgoed
46,speelgoed en speletjies > poppe en pophuise
47,speelgoed en speletjies > bouspeelgoed
48,speelgoed en speletjies > aksiefigure
49,speelgoed en speletjies > elektroniese speelgoed
50,speelgoed en speletjies
51,huisverbetering > huisverhitting en -verkoeling
52,huisverbetering > bouvoorraad en ysterware
53,huisverbetering > pypstelsel en -hegstukke
54,huisverbetering > gereedskap > lere en steierwerk
55,huisverbetering > gereedskap > verfgereedskap
56,huisverbetering > gereedskap > kraggereedskap
57,huisverbetering > gereedskap > meetgereedskap en sensors
58,huisverbetering > gereedskap > drukluggereedskap
59,huisverbetering > gereedskap > handgereedskap
60,huisverbetering > gereedskap
61,huisverbetering
62,sporttoerusting > sporttoerusting > ys- en rolskaatshokkie
63,sporttoerusting > sporttoerusting > rugby
64,sporttoerusting > sporttoerusting > tennis en rakketsportsoorte
65,sporttoerusting > sporttoerusting > vlugbal
66,sporttoerusting > sporttoerusting > gholf
67,sporttoerusting > sporttoerusting > sokker
68,sporttoerusting > sporttoerusting > voetbal
69,sporttoerusting > sporttoerusting > baan en veld
70,sporttoerusting > sporttoerusting > krieket
71,sporttoerusting > sporttoerusting > hokkie en lacrosse
72,sporttoerusting > sporttoerusting > boks en vegkunste
73,sporttoerusting > sporttoerusting > dans en gimnastiek
74,sporttoerusting > sporttoerusting > bofbal en sagtebal
75,sporttoerusting > sporttoerusting > basketbal
76,sporttoerusting > sporttoerusting
77,sporttoerusting > oefening en fiksheid > joga en pilates
78,sporttoerusting > oefening en fiksheid > kardiotoerusting
79,sporttoerusting > oefening en fiksheid > gewigopteltoerusting
80,sporttoerusting > oefening en fiksheid
81,sporttoerusting > binnespeletjies
82,sporttoerusting > buitelugontspanning > visvang
83,sporttoerusting > buitelugontspanning > watersport en roei
84,sporttoerusting > buitelugontspanning > skaatsplankry
85,sporttoerusting > buitelugontspanning > buitespeletjies
86,sporttoerusting > buitelugontspanning > fietsry
87,sporttoerusting > buitelugontspanning > wintersport
88,sporttoerusting > buitelugontspanning > klim
89,sporttoerusting > buitelugontspanning > inlyn- en rolskaats
90,sporttoerusting > buitelugontspanning > kampering en voetslaan
91,sporttoerusting > buitelugontspanning
92,sporttoerusting
93,troeteldierbenodigdhede > troeteldierhouers en -hokke
94,troeteldierbenodigdhede > troeteldierversorgingbenodighede
95,troeteldierbenodigdhede > kleindierbenodighede
96,troeteldierbenodigdhede > troeteldierkos- en -waterbenodighede
97,troeteldierbenodigdhede > reptiel- en amfibiebenodighede
