category_id,category
1,Храна и напитки > Храна > soups & broths
2,Храна и напитки > Храна > nuts & seeds
3,Храна и напитки > Храна > snacks & chips
4,Храна и напитки > Храна > meat substitutes
5,Храна и напитки > Храна > spices & seasonings
6,Храна и напитки > Храна > pasta & grains
7,Храна и напитки > Храна > prepared food & meal kits
8,Храна и напитки > Храна > candy & chocolate
9,Храна и напитки > Храна > dips & spreads
10,Храна и напитки > Храна > meat & seafood
11,Храна и напитки > Храна > bakery & bread
12,Храна и напитки > Храна > condiments & sauces
13,"Храна и напитки > Храна > dairy, eggs & cheese"
14,Храна и напитки > Храна > frozen food
15,Храна и напитки > Храна > baking ingredients
16,Храна и напитки > Храна > fruits & vegetables
17,Храна и напитки > Храна > breakfast & cereal
18,Храна и напитки > Храна
19,Храна и напитки > beverages > sports & energy drinks
20,Храна и напитки > beverages > juice
21,Храна и напитки > beverages > powdered beverage mixes
22,Храна и напитки > beverages > soda
23,Храна и напитки > beverages > Вода
24,Храна и напитки > beverages > coffee & tea
25,Храна и напитки > beverages > Алкохолни напитки
26,Храна и напитки > beverages > milk
27,Храна и напитки > beverages
28,Храна и напитки
29,Играчки и игри > Играчки за открито
30,Играчки и игри > Плюшени животни и играчки
31,Играчки и игри > Игри > Ролеви игри
32,Играчки и игри > Игри > Шах
33,Играчки и игри > Игри > Военни миниатюри и други военни игри
34,Играчки и игри > Игри > Игри със зарове
35,Играчки и игри > Игри > Настолни игри с плочки
36,Играчки и игри > Игри > Игри с карти
37,Играчки и игри > Игри > Игри за ловкост
38,Играчки и игри > Игри > Настолни игри
39,Играчки и игри > Игри
40,Играчки и игри > Пъзели
41,Играчки и игри > Играчки за яздене
42,Играчки и игри > pretend play
43,Играчки и игри > Превозни средства – играчки
44,Играчки и игри > Играчки с дистанционно управление
45,Играчки и игри > Образователни играчки
46,Играчки и игри > Кукли и къщи за кукли
47,Играчки и игри > Играчки за конструиране
48,Играчки и игри > Екшън фигурки
49,Играчки и игри > Електронни играчки
50,Играчки и игри
51,Подобрение на дома > Отопление и охлаждане на дома
52,Подобрение на дома > Строителни материали и железария
53,Подобрение на дома > Водопроводно инсталиране и фиксиране
54,Подобрение на дома > Инструменти > Стълби и скелета
55,Подобрение на дома > Инструменти > Инструменти за боядисване
56,Подобрение на дома > Инструменти > Електрически инструменти
57,Подобрение на дома > Инструменти > Измервателни инструменти и сензори
58,Подобрение на дома > Инструменти > Въздушни инструменти
