category_id,category
1,খাবার এবং পানীয় > খাদ্য > স্যুপ এবং ব্রথ
2,খাবার এবং পানীয় > খাদ্য > নাট এবং সীড
3,খাবার এবং পানীয় > খাদ্য > স্নিকার এবং চিপ
4,খাবার এবং পানীয় > খাদ্য > মাংসের বিকল্প
5,খাবার এবং পানীয় > খাদ্য > মশলা এবং মরসুম
6,খাবার এবং পানীয় > খাদ্য > পাস্তা এবং শস্য
7,খাবার এবং পানীয় > খাদ্য > প্রস্তুত করা খাবার ও খাবারের কিটস
8,খাবার এবং পানীয় > খাদ্য > ক্যান্ডি এবং চকোলেট
9,খাবার এবং পানীয় > খাদ্য > ডিপ্স এবং স্প্রেড
10,খাবার এবং পানীয় > খাদ্য > মাংস এবং সীফুড
11,খাবার এবং পানীয় > খাদ্য > বেকারি এবং ব্রেড
12,খাবার এবং পানীয় > খাদ্য > মশলা এবং সস
13,"খাবার এবং পানীয় > খাদ্য > ডেয়ারি, ডিম এবং চিজ"
14,খাবার এবং পানীয় > খাদ্য > ফ্রোজেন ফুড
15,খাবার এবং পানীয় > খাদ্য > বেকিংয়ের উপকরণ
16,খাবার এবং পানীয় > খাদ্য > ফল এবং শাকসব্জি
17,খাবার এবং পানীয় > খাদ্য > ব্রেকফাস্ট এবং সেরেয়াল
18,খাবার এবং পানীয় > খাদ্য
19,খাবার এবং পানীয় > খাদ্য এবং পানীয় > স্পোর্টস এবং এনার্জি ড্রিঙ্ক
20,খাবার এবং পানীয় > খাদ্য এবং পানীয় > জুস
21,খাবার এবং পানীয় > খাদ্য এবং পানীয় > চূর্ণ পানীয় মিক্স
22,খাবার এবং পানীয় > খাদ্য এবং পানীয় > সোডা
23,খাবার এবং পানীয় > খাদ্য এবং পানীয় > জল
24,খাবার এবং পানীয় > খাদ্য এবং পানীয় > কফি এবং চা
25,খাবার এবং পানীয় > খাদ্য এবং পানীয় > অ্যালকোহলযুক্ত পানীয়
26,খাবার এবং পানীয় > খাদ্য এবং পানীয় > দুধ
27,খাবার এবং পানীয় > খাদ্য এবং পানীয়
28,খাবার এবং পানীয়
29,খেলনা ও গেম > বাইরের খেলনা
30,খেলনা ও গেম > স্টাফড অ্যানিমাল ও প্লাশ খেলনা
31,খেলনা ও গেম > গেম > রোল প্লেয়িং গেম
32,খেলনা ও গেম > গেম > দাবা
33,খেলনা ও গেম > গেম > মিনিয়েচার এবং ওয়ার গেম
34,খেলনা ও গেম > গেম > পাশা খেলা
35,খেলনা ও গেম > গেম > টাইল গেম
36,খেলনা ও গেম > গেম > কার্ড গেম
37,খেলনা ও গেম > গেম > ডেক্সটারিটি গেম
38,খেলনা ও গেম > গেম > বোর্ড গেম
39,খেলনা ও গেম > গেম
40,খেলনা ও গেম > ধাঁধাঁ
41,খেলনা ও গেম > রাইডিং খেলনা
