category_id,category
1,jídlo a pití > jídlo > polévky a vývary
2,jídlo a pití > jídlo > ořechy a semínka
3,jídlo a pití > jídlo > svačiny a chipsy
4,jídlo a pití > jídlo > náhražky masa
5,jídlo a pití > jídlo > koření a dochucování
6,jídlo a pití > jídlo > těstoviny a obilniny
7,jídlo a pití > jídlo > připravené jídlo a sady jídel
8,jídlo a pití > jídlo > sladkosti a čokoláda
9,jídlo a pití > jídlo > dipy a pomazánky
10,jídlo a pití > jídlo > maso a mořské plody
11,jídlo a pití > jídlo > pekařství a chleba
12,"jídlo a pití > jídlo > přísady, ochucovadla a omáčky"
13,"jídlo a pití > jídlo > mléčné výrobky, vejce a sýry"
14,jídlo a pití > jídlo > mražené potraviny
15,jídlo a pití > jídlo > přísady na pečení
16,jídlo a pití > jídlo > ovoce a zelenina
17,jídlo a pití > jídlo > snídaně a cereálie
18,jídlo a pití > jídlo
19,jídlo a pití > nápoje > sportovní a energy drinky
20,jídlo a pití > nápoje > džusy
21,jídlo a pití > nápoje > práškové směsi na přípravu nápojů
22,jídlo a pití > nápoje > nealkoholické sycené nápoje
23,jídlo a pití > nápoje > voda
24,jídlo a pití > nápoje > káva a čaj
25,jídlo a pití > nápoje > alkoholické nápoje
26,jídlo a pití > nápoje > mléko
27,jídlo a pití > nápoje
28,jídlo a pití
29,hračky a hry > outdoorové hračky
30,hračky a hry > plyšáci a plyšové hračky
31,hračky a hry > hry > rpg
32,hračky a hry > hry > Šachy
33,hračky a hry > hry > miniatury a válečné hry
34,hračky a hry > hry > kostkové hry
35,hračky a hry > hry > skládačky
36,hračky a hry > hry > karetní hry
37,hračky a hry > hry > hry pro rozvoj zručnosti
38,hračky a hry > hry > deskové hry
39,hračky a hry > hry
40,hračky a hry > puzzle
41,hračky a hry > hračky na ježdění
42,hračky a hry > napodobovací hry
43,hračky a hry > autíčka na hraní
44,hračky a hry > hračky na dálkové ovládání
45,hračky a hry > vzdělávací hračky
46,hračky a hry > panenky a domečky pro panenky
47,hračky a hry > stavebnice
48,hračky a hry > akční postavy
49,hračky a hry > elektronické hračky
50,hračky a hry
51,kutilství > vytápění a chlazení domovů
52,kutilství > stavební materiál
53,kutilství > instalatérské armatury
54,kutilství > nástroje > Žebříky a lešení
55,kutilství > nástroje > malířské náčiní
56,kutilství > nástroje > elektrické nářadí
57,kutilství > nástroje > měřicí nástroje a snímače
58,kutilství > nástroje > pneumatické nástroje
59,kutilství > nástroje > ruční nářadí
60,kutilství > nástroje
61,kutilství
62,sportovní potřeby > sportovní vybavení > lední a inline hokej
63,sportovní potřeby > sportovní vybavení > ragby
64,sportovní potřeby > sportovní vybavení > tenis a raketové sporty
65,sportovní potřeby > sportovní vybavení > volejbal
66,sportovní potřeby > sportovní vybavení > golf
67,sportovní potřeby > sportovní vybavení > fotbal
68,sportovní potřeby > sportovní vybavení > fotbal
69,sportovní potřeby > sportovní vybavení > atletika
70,sportovní potřeby > sportovní vybavení > cricket
71,sportovní potřeby > sportovní vybavení > pozemní hokej a lakros
72,sportovní potřeby > sportovní vybavení > box a bojová umění
73,sportovní potřeby > sportovní vybavení > tanec a gymnastika
74,sportovní potřeby > sportovní vybavení > baseball a softball
75,sportovní potřeby > sportovní vybavení > basketbal
76,sportovní potřeby > sportovní vybavení
77,sportovní potřeby > cvičení a fitness > jóga a pilates
78,sportovní potřeby > cvičení a fitness > vybavení na kardio trénink
79,sportovní potřeby > cvičení a fitness > vybavení pro posilování
80,sportovní potřeby > cvičení a fitness
81,sportovní potřeby > venkovní hry
82,sportovní potřeby > outdoorová rekreace > rybaření
83,sportovní potřeby > outdoorová rekreace > vodní sporty a lodě
84,sportovní potřeby > outdoorová rekreace > skateboarding
85,sportovní potřeby > outdoorová rekreace > outdoorové hry
86,sportovní potřeby > outdoorová rekreace > cyklistika
87,sportovní potřeby > outdoorová rekreace > zimní sporty
88,sportovní potřeby > outdoorová rekreace > lezení
89,sportovní potřeby > outdoorová rekreace > inline a trekové brusle
90,sportovní potřeby > outdoorová rekreace > kempování a turistika
91,sportovní potřeby > outdoorová rekreace
92,sportovní potřeby
93,potřeby pro domácí mazlíčky > přepravky a klece na zvířata
94,potřeby pro domácí mazlíčky > potřeby pro péči o vzhled domácích zvířat
95,potřeby pro domácí mazlíčky > potřeby pro drobná zvířata
96,potřeby pro domácí mazlíčky > dávkovače krmiva a vody
97,potřeby pro domácí mazlíčky > potřeby pro plazy a obojživelníky
98,"potřeby pro domácí mazlíčky > obojky, postroje a vodítka"
99,potřeby pro domácí mazlíčky > schody a rampy
100,potřeby pro domácí mazlíčky > potřeby pro ptáky
101,potřeby pro domácí mazlíčky > zdravotní pomůcky pro zvířata
102,potřeby pro domácí mazlíčky > pelechy pro domácí zvířata
103,potřeby pro domácí mazlíčky > potřeby pro rybičky
104,potřeby pro domácí mazlíčky > potřeby pro kočky
105,potřeby pro domácí mazlíčky > potřeby pro psy
106,potřeby pro domácí mazlíčky
107,terasa a zahrada > vybavení na zalévání
108,terasa a zahrada > zahradní jezírka a vodní doplňky
109,terasa a zahrada > venkovní technika
110,terasa a zahrada > venkovní osvětlení
111,terasa a zahrada > barbecue a venkovní vaření
112,"terasa a zahrada > rostliny, semena a cibule"
113,terasa a zahrada > venkovní nábytek
114,terasa a zahrada > bazény a wellness
115,"terasa a zahrada > péče o rostliny, půda a příslušenství"
116,terasa a zahrada > zahradní dekorace
117,terasa a zahrada > ruční zahradní nářadí a nástroje
118,terasa a zahrada
119,kancelářské potřeby > psací potřeby
120,kancelářské potřeby > prezentační a zobrazovací tabule
121,kancelářské potřeby > sešívačky a děrovačky
122,kancelářské potřeby > projektory
123,kancelářské potřeby > lepicí pásky a lepidla
124,kancelářské potřeby > třídění a archivace dokumentů
125,kancelářské potřeby > sponky a klipy
126,kancelářské potřeby > Štítky
127,kancelářské potřeby > kalendáře a plánovače
128,kancelářské potřeby > pořadače a doplňky
129,kancelářské potřeby > kancelářské vybavení a stroje
130,kancelářské potřeby > poštovní potřeby
131,kancelářské potřeby > papírové produkty
132,kancelářské potřeby
133,hudební nástroje > profesionální audiovybavení
134,hudební nástroje > doplňky pro hudbu
135,hudební nástroje > kytary a baskytary
136,hudební nástroje > Žesťové hudební nástroje
137,hudební nástroje > bubny a bicí nástroje
138,hudební nástroje > klavíry a klávesové nástroje
139,hudební nástroje > dřevěné dechové nástroje
140,hudební nástroje > strunné nástroje
141,hudební nástroje
142,média > noviny
143,média > Časopisy a katalogy
144,média > knihy
145,média > filmy a tv pořady
146,média > hudba
147,média
148,cestování a zavazadla > ochranné vaky na oblečení
149,cestování a zavazadla > cestovní potřeby
150,cestování a zavazadla > kabelky a peněženky > peněženky
151,cestování a zavazadla > kabelky a peněženky > aktovky
152,cestování a zavazadla > kabelky a peněženky > crossbody kabelky
153,cestování a zavazadla > kabelky a peněženky > velké tašky s uchy
154,cestování a zavazadla > kabelky a peněženky > kabelky
155,cestování a zavazadla > kabelky a peněženky > spojky
156,cestování a zavazadla > kabelky a peněženky > ledvinky
157,cestování a zavazadla > kabelky a peněženky
158,cestování a zavazadla > kufry
159,cestování a zavazadla > sportovní a cvičební vaky
160,cestování a zavazadla > sady zavazadel
161,cestování a zavazadla > kufříky a tašky na notebook
162,cestování a zavazadla > batohy
163,cestování a zavazadla
164,umělecké a ruční práce > potřeby pro ruční práce
165,umělecké a ruční práce > Šití
166,umělecké a ruční práce > tvoření jehlami a předení
167,umělecké a ruční práce > výroba korálků a šperků
168,umělecké a ruční práce > výtvarné potřeby
169,umělecké a ruční práce
170,automobilové díly a příslušenství > díly a příslušenství pro přívěsy
171,automobilové díly a příslušenství > díly a příslušenství pro sportovní vozidla
172,automobilové díly a příslušenství > díly a doplňky pro karavany a obytné vozy
173,automobilové díly a příslušenství > automobilové součástky a příslušenství
174,automobilové díly a příslušenství > díly a příslušenství k lodím
175,automobilové díly a příslušenství > díly a příslušenství pro motocykly
176,automobilové díly a příslušenství > auto-moto nářadí
177,automobilové díly a příslušenství
178,starožitnosti a sběratelství > sběratelské sportovní vzpomínkové předměty
179,starožitnosti a sběratelství > sběratelské potřeby pro domácnost
180,starožitnosti a sběratelství > sběratelská elektronika
181,starožitnosti a sběratelství > sběratelské mince a bankovky
182,starožitnosti a sběratelství > poštovní známky
183,starožitnosti a sběratelství > sběratelský nábytek
184,starožitnosti a sběratelství > sběratelské spotřebiče
185,starožitnosti a sběratelství > sběratelské hračky
186,starožitnosti a sběratelství
187,produkty pro miminka > krmení dětí
188,produkty pro miminka > převoz dětí > dětská nosítka
189,produkty pro miminka > převoz dětí > kočárky a příslušenství
190,produkty pro miminka > převoz dětí > autosedačky a příslušenství
