category_id,category
1,mad og drikke > mad > supper og bouillon
2,mad og drikke > mad > nødder og frø
3,mad og drikke > mad > snacks og chips
4,mad og drikke > mad > køderstatninger
5,mad og drikke > mad > krydderier
6,mad og drikke > mad > pasta og gryn
7,mad og drikke > mad > færdigretter og måltidskasser
8,mad og drikke > mad > slik og chokolade
9,mad og drikke > mad > dip og smørepålæg
10,"mad og drikke > mad > kød, fisk og skaldyr"
11,mad og drikke > mad > brød og bagværk
12,mad og drikke > mad > tilbehør og sovser
13,mad og drikke > mad > mejeriprodukter og æg
14,mad og drikke > mad > frostvarer
15,mad og drikke > mad > bageingredienser
16,mad og drikke > mad > frugt og grønt
17,mad og drikke > mad > morgenmadsprodukter
18,mad og drikke > mad
19,mad og drikke > drikkevarer > sports- og energidrikke
20,mad og drikke > drikkevarer > juice
21,mad og drikke > drikkevarer > pulverdrikke
22,mad og drikke > drikkevarer > sodavand
23,mad og drikke > drikkevarer > vand
24,mad og drikke > drikkevarer > kaffe og te
25,mad og drikke > drikkevarer > alkoholiske drikke
26,mad og drikke > drikkevarer > mælk
27,mad og drikke > drikkevarer
28,mad og drikke
29,legetøj og spil > udendørs legetøj
30,legetøj og spil > tøjdyr og plyslegetøj
31,legetøj og spil > spil > rollespil
32,legetøj og spil > spil > skak
33,legetøj og spil > spil > miniaturespil og krigsspil
34,legetøj og spil > spil > terningespil
35,legetøj og spil > spil > brætspil med brikker
36,legetøj og spil > spil > kortspil
37,legetøj og spil > spil > behændighedsspil
38,legetøj og spil > spil > brætspil
39,legetøj og spil > spil
40,legetøj og spil > puslespil
41,legetøj og spil > legetøjskøretøjer til at sidde i eller på
42,legetøj og spil > rollespil
43,legetøj og spil > legetøjsbiler
44,legetøj og spil > fjernstyret legetøj
45,legetøj og spil > pædagogisk legetøj
46,legetøj og spil > dukker og dukkehuse
47,legetøj og spil > byggelegetøj
48,legetøj og spil > actionfigurer
49,legetøj og spil > elektronisk legetøj
50,legetøj og spil
51,boligfornyelse > opvarmning og afkøling i hjemmet
52,boligfornyelse > byggematerialer og isenkramvarer
53,boligfornyelse > vvs-armaturer
54,boligfornyelse > værktøjer > stiger og stilladser
55,boligfornyelse > værktøjer > maleværktøj
56,boligfornyelse > værktøjer > elektronisk udstyr
57,boligfornyelse > værktøjer > måleværktøjer og -sensorer
58,boligfornyelse > værktøjer > pneumatisk værktøj
59,boligfornyelse > værktøjer > håndværktøj
60,boligfornyelse > værktøjer
61,boligfornyelse
62,sportsartikler > sportudstyr > ishockey og rullehockey
63,sportsartikler > sportudstyr > rugby
64,sportsartikler > sportudstyr > tennis-  og batsport
65,sportsartikler > sportudstyr > volleyball
66,sportsartikler > sportudstyr > golf
67,sportsartikler > sportudstyr > fodbold
68,sportsartikler > sportudstyr > fodbold
69,sportsartikler > sportudstyr > atletik
70,sportsartikler > sportudstyr > cricket
71,sportsartikler > sportudstyr > fieldhockey og lacrosse
72,sportsartikler > sportudstyr > boksning og kampsport
73,sportsartikler > sportudstyr > dans og gymnastik
74,sportsartikler > sportudstyr > baseball og softball
75,sportsartikler > sportudstyr > basketball
76,sportsartikler > sportudstyr
77,sportsartikler > træning og fitness > yoga og pilates
78,sportsartikler > træning og fitness > hjertetræningsudstyr
79,sportsartikler > træning og fitness > udstyr til vægtløftning
80,sportsartikler > træning og fitness
81,sportsartikler > indendørsspil
82,sportsartikler > udendørsaktiviteter > fiskeri
83,sportsartikler > udendørsaktiviteter > vandsport og bådsejlads
84,sportsartikler > udendørsaktiviteter > skateboard
85,sportsartikler > udendørsaktiviteter > udendørs spil
86,sportsartikler > udendørsaktiviteter > cykling
87,sportsartikler > udendørsaktiviteter > vintersport
88,sportsartikler > udendørsaktiviteter > klatring
89,sportsartikler > udendørsaktiviteter > inlineskøjter og rulleskøjter
