category_id,category
1,speisen & getränke > lebensmittel > suppen & brühen
2,speisen & getränke > lebensmittel > nüsse & körner
3,speisen & getränke > lebensmittel > snacks & chips
4,speisen & getränke > lebensmittel > fleischersatz
5,speisen & getränke > lebensmittel > gewürze & würzmittel
6,speisen & getränke > lebensmittel > teigwaren & getreide
7,speisen & getränke > lebensmittel > fertigmahlzeiten
8,speisen & getränke > lebensmittel > süßigkeiten & schokolade
9,speisen & getränke > lebensmittel > dips & aufstriche
10,speisen & getränke > lebensmittel > fleisch & meeresfrüchte
11,speisen & getränke > lebensmittel > backwaren & brot
12,speisen & getränke > lebensmittel > würzmittel & saucen
13,"speisen & getränke > lebensmittel > eier, milch & käse"
14,speisen & getränke > lebensmittel > tiefkühlkost
15,speisen & getränke > lebensmittel > backzutaten
16,speisen & getränke > lebensmittel > obst & gemüse
17,speisen & getränke > lebensmittel > frühstückscerealien
18,speisen & getränke > lebensmittel
19,speisen & getränke > getränke > sportgetränke & energydrinks
20,speisen & getränke > getränke > saft
21,speisen & getränke > getränke > getränkepulvermischungen
22,speisen & getränke > getränke > limonade
23,speisen & getränke > getränke > wasser
24,speisen & getränke > getränke > kaffee & tee
25,speisen & getränke > getränke > alkoholische getränke
26,speisen & getränke > getränke > milch
27,speisen & getränke > getränke
28,speisen & getränke
29,spielzeug & spiele > outdoor-spielzeug
30,spielzeug & spiele > stoff- & plüschtiere
31,spielzeug & spiele > spiele > rollenspiele
32,spielzeug & spiele > spiele > schach
33,spielzeug & spiele > spiele > miniaturspiele & kriegsspiele
34,spielzeug & spiele > spiele > würfelspiele
35,spielzeug & spiele > spiele > legespiele
36,spielzeug & spiele > spiele > kartenspiele
37,spielzeug & spiele > spiele > geschicklichkeitsspiele
38,spielzeug & spiele > spiele > brettspiele
39,spielzeug & spiele > spiele
40,spielzeug & spiele > denk- & geduldspiele
41,spielzeug & spiele > fahrspielzeug
42,spielzeug & spiele > rollenspiele für kinder
43,spielzeug & spiele > spielzeugfahrzeuge
44,spielzeug & spiele > ferngesteuertes spielzeug
45,spielzeug & spiele > lernspielzeug
46,spielzeug & spiele > puppen & puppenhäuser
47,spielzeug & spiele > bau- & konstruktionsspielzeug
48,spielzeug & spiele > action-figuren
49,spielzeug & spiele > elektronisches spielzeug
50,spielzeug & spiele
51,heimwerken > heizung & klimaanlagen (heimbereich)
52,heimwerken > eisenwaren & baubedarf
53,heimwerken > sanitärkeramik & armaturen
54,heimwerken > werkzeug > leitern & gerüste
55,heimwerken > werkzeug > malwerkzeuge
56,heimwerken > werkzeug > elektrowerkzeuge
57,heimwerken > werkzeug > messgeräte & sensoren
58,heimwerken > werkzeug > druckluftwerkzeuge
59,heimwerken > werkzeug > handwerkzeuge
60,heimwerken > werkzeug
61,heimwerken
62,sportartikel > sportausrüstung > eishockey & inlinehockey
63,sportartikel > sportausrüstung > rugby
64,sportartikel > sportausrüstung > tennis & schlägersportarten
65,sportartikel > sportausrüstung > volleyball
66,sportartikel > sportausrüstung > golf
67,sportartikel > sportausrüstung > fußball
68,sportartikel > sportausrüstung > american football
69,sportartikel > sportausrüstung > leichtathletik
70,sportartikel > sportausrüstung > cricket
