category_id,category
1,Φαγητό και ποτά > Φαγητό > Σούπες
2,Φαγητό και ποτά > Φαγητό > Ξηροί καρποί και σπόροι
3,Φαγητό και ποτά > Φαγητό > Σνακ και πατατάκια
4,Φαγητό και ποτά > Φαγητό > Υποκατάστατα κρέατος
5,Φαγητό και ποτά > Φαγητό > Μπαχαρικά και αρτύματα
6,Φαγητό και ποτά > Φαγητό > Ζυμαρικά και όσπρια
7,Φαγητό και ποτά > Φαγητό > Προμαγειρεμένο φαγητό και κιτ γευμάτων
8,Φαγητό και ποτά > Φαγητό > Ζαχαρωτά και σοκολάτα
9,Φαγητό και ποτά > Φαγητό > Ντιπ και αλείμματα
10,Φαγητό και ποτά > Φαγητό > Κρέας και θαλασσινά
11,Φαγητό και ποτά > Φαγητό > Ψωμί και είδη φούρνου
12,Φαγητό και ποτά > Φαγητό > Καρυκεύματα και σάλτσες
13,"Φαγητό και ποτά > Φαγητό > Γαλακτοκομικά, αβγά και τυρί"
14,Φαγητό και ποτά > Φαγητό > Κατεψυγμένα τρόφιμα
15,Φαγητό και ποτά > Φαγητό > Υλικά ψησίματος
16,Φαγητό και ποτά > Φαγητό > Φρούτα και λαχανικά
17,Φαγητό και ποτά > Φαγητό > Πρωϊνό και δημητριακά
18,Φαγητό και ποτά > Φαγητό
19,Φαγητό και ποτά > Ποτά > Αθλητικά και ενεργειακά ποτά
20,Φαγητό και ποτά > Ποτά > Χυμός
21,Φαγητό και ποτά > Ποτά > Μείγματα ποτών σε σκόνη
22,Φαγητό και ποτά > Ποτά > Σόδα
23,Φαγητό και ποτά > Ποτά > Νερό
24,Φαγητό και ποτά > Ποτά > Καφές και τσάι
25,Φαγητό και ποτά > Ποτά > Αλκοολούχα ποτά
26,Φαγητό και ποτά > Ποτά > Γάλα
27,Φαγητό και ποτά > Ποτά
28,Φαγητό και ποτά
29,Παιχνίδια > Παιχνίδια εξωτερικού χώρου
30,Παιχνίδια > Λούτρινα ζωάκια και παιχνίδια
31,Παιχνίδια > Παιχνίδια > Παιχνίδια ρόλων
32,Παιχνίδια > Παιχνίδια > Σκάκι
33,Παιχνίδια > Παιχνίδια > Μινιατούρες για πολεμικά παιχνίδια
34,Παιχνίδια > Παιχνίδια > Παιχνίδια με ζάρια
