category_id,category
1,food and drink > food > soups and broths
2,food and drink > food > nuts and seeds
3,food and drink > food > snacks and crisps
4,food and drink > food > meat substitutes
5,food and drink > food > spices and seasonings
6,food and drink > food > pasta and grains
7,food and drink > food > prepared food and meal kits
8,food and drink > food > chocolate and confectionery
9,food and drink > food > dips and spreads
10,food and drink > food > meat and seafood
11,food and drink > food > bakery and bread
12,food and drink > food > condiments and sauces
13,"food and drink > food > dairy, eggs and cheese"
14,food and drink > food > frozen food
15,food and drink > food > baking ingredients
16,food and drink > food > fruits and vegetables
17,food and drink > food > breakfast and cereal
18,food and drink > food
19,food and drink > beverages > sports and energy drinks
20,food and drink > beverages > juice
21,food and drink > beverages > powdered beverage mixes
22,food and drink > beverages > soda
23,food and drink > beverages > water
24,food and drink > beverages > tea and coffee
25,food and drink > beverages > alcoholic beverages
26,food and drink > beverages > milk
27,food and drink > beverages
28,food and drink
29,toys & games > outdoor toys
30,toys & games > stuffed animals & plush toys
31,toys & games > games > role-playing games
32,toys & games > games > chess
33,toys & games > games > miniature & war games
34,toys & games > games > dice games
35,toys & games > games > tile games
36,toys & games > games > card games
37,toys & games > games > dexterity games
38,toys & games > games > board games
39,toys & games > games
40,toys & games > puzzles
41,toys & games > riding toys
42,toys & games > pretend play
43,toys & games > toy vehicles
44,toys & games > remote control toys
45,toys & games > educational toys
46,toys & games > dolls & doll's houses
47,toys & games > building toys
48,toys & games > action figures
49,toys & games > electronic toys
50,toys & games
51,diy > home heating and cooling
52,diy > building supplies & hardware
53,diy > plumbing & fixtures
54,diy > tools > ladders & scaffolding
55,diy > tools > painting tools
56,diy > tools > power tools
57,diy > tools > measuring tools & sensors
58,diy > tools > air tools
59,diy > tools > hand tools
60,diy > tools
61,diy
62,sporting goods > sports equipment > ice & roller hockey
63,sporting goods > sports equipment > rugby
64,sporting goods > sports equipment > tennis & racket sports
65,sporting goods > sports equipment > volleyball
66,sporting goods > sports equipment > golf
67,sporting goods > sports equipment > football
68,sporting goods > sports equipment > american football
69,sporting goods > sports equipment > athletics
70,sporting goods > sports equipment > cricket
71,sporting goods > sports equipment > hockey & lacrosse
72,sporting goods > sports equipment > boxing & martial arts
73,sporting goods > sports equipment > dance and gymnastics
74,sporting goods > sports equipment > baseball & softball
75,sporting goods > sports equipment > basketball
76,sporting goods > sports equipment
77,sporting goods > exercise & fitness > yoga & pilates
78,sporting goods > exercise & fitness > cardio equipment
79,sporting goods > exercise & fitness > weight-lifting equipment
80,sporting goods > exercise & fitness
81,sporting goods > indoor games
82,sporting goods > outdoor recreation > fishing
83,sporting goods > outdoor recreation > water sports & boating
84,sporting goods > outdoor recreation > skateboarding
85,sporting goods > outdoor recreation > outdoor games
86,sporting goods > outdoor recreation > cycling
87,sporting goods > outdoor recreation > winter sports
88,sporting goods > outdoor recreation > climbing
89,sporting goods > outdoor recreation > inline & roller skating
90,sporting goods > outdoor recreation > camping & hiking
91,sporting goods > outdoor recreation
92,sporting goods
93,pet supplies > pet carriers & containment
94,pet supplies > pet grooming supplies
95,pet supplies > small animal supplies
96,pet supplies > pet feeding & watering supplies
97,pet supplies > reptile & amphibian supplies
98,"pet supplies > pet collars, harnesses & leads"
99,pet supplies > pet steps & ramps
100,pet supplies > bird supplies
101,pet supplies > pet care & health
102,pet supplies > pet beds & bedding
103,pet supplies > fish supplies
104,pet supplies > cat supplies
105,pet supplies > dog supplies
106,pet supplies
107,patio & garden > watering equipment
108,patio & garden > ponds & water features
109,patio & garden > outdoor power equipment
110,patio & garden > outdoor lighting
