category_id,category
1,comida y bebida > comida > sopas y caldos
2,comida y bebida > comida > frutos secos y semillas
3,comida y bebida > comida > snacks y patatas fritas
4,comida y bebida > comida > sustitutos de la carne
5,comida y bebida > comida > especias y condimentos
6,comida y bebida > comida > pasta y cereales
7,comida y bebida > comida > alimentos preparados y kits de comidas
8,comida y bebida > comida > golosinas y chocolate
9,comida y bebida > comida > salsas para mojar y untar
10,comida y bebida > comida > carne y marisco
11,comida y bebida > comida > pastelería y pan
12,comida y bebida > comida > salsas y aderezos
13,"comida y bebida > comida > lácteos, huevos y queso"
14,comida y bebida > comida > comida congelada
15,comida y bebida > comida > ingredientes para hornear
16,comida y bebida > comida > frutas y verduras
17,comida y bebida > comida > desayuno y cereales
18,comida y bebida > comida
19,comida y bebida > bebidas > bebidas isotónicas y energéticas
20,comida y bebida > bebidas > zumo
21,comida y bebida > bebidas > bebidas en polvo
22,comida y bebida > bebidas > refresco
23,comida y bebida > bebidas > agua
24,comida y bebida > bebidas > café y té
25,comida y bebida > bebidas > bebidas alcohólicas
26,comida y bebida > bebidas > leche
27,comida y bebida > bebidas
28,comida y bebida
29,juguetes y juegos > juguetes para exteriores
30,juguetes y juegos > animales y juguetes de peluche
31,juguetes y juegos > juegos > juegos de rol
32,juguetes y juegos > juegos > ajedrez
33,juguetes y juegos > juegos > juegos de guerra y miniatura
34,juguetes y juegos > juegos > juego de dados
35,juguetes y juegos > juegos > juegos de fichas
36,juguetes y juegos > juegos > juegos de cartas
37,juguetes y juegos > juegos > juegos de destreza
38,juguetes y juegos > juegos > juegos de mesa
39,juguetes y juegos > juegos
40,juguetes y juegos > rompecabezas
41,juguetes y juegos > juguetes para montar
42,juguetes y juegos > juguetes de simulación
43,juguetes y juegos > vehículos de juguete
44,juguetes y juegos > juguetes a control remoto
45,juguetes y juegos > juguetes educativos
46,juguetes y juegos > muñecas y casas de muñecas
47,juguetes y juegos > juguetes de construcción
48,juguetes y juegos > figuras de acción
49,juguetes y juegos > juguetes electrónicos
50,juguetes y juegos
51,reformas > climatización del hogar
52,reformas > herramientas y productos de construcción
53,reformas > elementos de plomería
54,reformas > herramientas > escaleras y andamios
55,reformas > herramientas > herramientas de pintura
56,reformas > herramientas > herramientas eléctricas
57,reformas > herramientas > sensores y herramientas de medición
58,reformas > herramientas > herramientas neumáticas
59,reformas > herramientas > herramientas manuales
60,reformas > herramientas
61,reformas
62,artículos deportivos > equipamiento deportivo > hockey sobre hielo y sobre patines
63,artículos deportivos > equipamiento deportivo > rugby
64,artículos deportivos > equipamiento deportivo > tenis y deportes de raqueta
65,artículos deportivos > equipamiento deportivo > voleibol
66,artículos deportivos > equipamiento deportivo > golf
67,artículos deportivos > equipamiento deportivo > fútbol
68,artículos deportivos > equipamiento deportivo > fútbol americano
69,artículos deportivos > equipamiento deportivo > atletismo
70,artículos deportivos > equipamiento deportivo > críquet
71,artículos deportivos > equipamiento deportivo > hockey sobre césped y lacrosse
72,artículos deportivos > equipamiento deportivo > boxeo y artes marciales
73,artículos deportivos > equipamiento deportivo > danza y gimnasia
74,artículos deportivos > equipamiento deportivo > béisbol y sóftbol
75,artículos deportivos > equipamiento deportivo > baloncesto
76,artículos deportivos > equipamiento deportivo
77,artículos deportivos > ejercicio y fitness > yoga y pilates
78,artículos deportivos > ejercicio y fitness > equipos de cardio
79,artículos deportivos > ejercicio y fitness > equipamiento para levantamiento de pesas
80,artículos deportivos > ejercicio y fitness
81,artículos deportivos > juegos de interior
82,artículos deportivos > entretenimiento al aire libre > pesca
83,artículos deportivos > entretenimiento al aire libre > deportes acuáticos y navegación
84,artículos deportivos > entretenimiento al aire libre > monopatinaje
85,artículos deportivos > entretenimiento al aire libre > juegos al aire libre
86,artículos deportivos > entretenimiento al aire libre > ciclismo
87,artículos deportivos > entretenimiento al aire libre > deportes de invierno
88,artículos deportivos > entretenimiento al aire libre > escalada
89,artículos deportivos > entretenimiento al aire libre > patinaje en línea y sobre ruedas
90,artículos deportivos > entretenimiento al aire libre > acampada y senderismo
91,artículos deportivos > entretenimiento al aire libre
92,artículos deportivos
