category_id,category
1,ruoka ja juomat > ruoka > keitot ja liemet
2,ruoka ja juomat > ruoka > pähkinät ja siemenet
3,ruoka ja juomat > ruoka > naposteltavat ja perunalastut
4,ruoka ja juomat > ruoka > lihankorvikkeet
5,ruoka ja juomat > ruoka > mausteet
6,ruoka ja juomat > ruoka > pasta ja viljat
7,ruoka ja juomat > ruoka > valmisruoat ja einekset
8,ruoka ja juomat > ruoka > karkki ja suklaa
9,ruoka ja juomat > ruoka > dipit ja levitteet
10,ruoka ja juomat > ruoka > liha ja kalaruoat
11,ruoka ja juomat > ruoka > leivonta ja leipä
12,ruoka ja juomat > ruoka > lisukkeet ja kastikkeet
13,"ruoka ja juomat > ruoka > maito, muna ja juusto"
14,ruoka ja juomat > ruoka > pakasteruoka
15,ruoka ja juomat > ruoka > leivonta-aineet
16,ruoka ja juomat > ruoka > hedelmät ja vihannekset
17,ruoka ja juomat > ruoka > aamiainen ja murot
18,ruoka ja juomat > ruoka
19,ruoka ja juomat > juomat > urheilu- ja energiajuomat
20,ruoka ja juomat > juomat > mehu
21,ruoka ja juomat > juomat > juomajauheet
22,ruoka ja juomat > juomat > ruokasooda
23,ruoka ja juomat > juomat > vesi
24,ruoka ja juomat > juomat > kahvi ja tee
25,ruoka ja juomat > juomat > alkoholijuomat
26,ruoka ja juomat > juomat > maito
27,ruoka ja juomat > juomat
28,ruoka ja juomat
29,lelut ja pelit > ulkolelut
30,lelut ja pelit > pehmolelut
31,lelut ja pelit > pelit > roolipelit
32,lelut ja pelit > pelit > shakki
33,lelut ja pelit > pelit > miniatyyri- ja sotapelit
34,lelut ja pelit > pelit > noppapelit
35,lelut ja pelit > pelit > ruutupelit
36,lelut ja pelit > pelit > korttipelit
37,lelut ja pelit > pelit > ketteryyspelit
38,lelut ja pelit > pelit > lautapelit
39,lelut ja pelit > pelit
40,lelut ja pelit > palapelit
41,lelut ja pelit > potkumopot ja -autot
42,lelut ja pelit > leikki
43,lelut ja pelit > leikki-autot
44,lelut ja pelit > kaukoohjattavat lelut
45,lelut ja pelit > opetuslelut
46,lelut ja pelit > nuket ja nukkekodit
47,lelut ja pelit > rakennuslelut
48,lelut ja pelit > toimintahahmot
49,lelut ja pelit > elektroniset lelut
50,lelut ja pelit
51,kodin kunnostus > kodin lämmitys ja viilennys
52,kodin kunnostus > rakennustarvikkeet ja työkalut
53,kodin kunnostus > vesijohdot ja liittimet
54,kodin kunnostus > työkalut > tikkaat ja rakennustelineet
55,kodin kunnostus > työkalut > maalaustyökalut
56,kodin kunnostus > työkalut > sähkötyökalut
57,kodin kunnostus > työkalut > mittatyökalut ja -anturit
58,kodin kunnostus > työkalut > ilmatyökalut
59,kodin kunnostus > työkalut > käsityökalut
60,kodin kunnostus > työkalut
61,kodin kunnostus
62,urheiluvälineet > urheilutarvikkeet > jääkiekko ja rullakiekko
63,urheiluvälineet > urheilutarvikkeet > rugby
64,urheiluvälineet > urheilutarvikkeet > tennis- ja mailaurheilu
65,urheiluvälineet > urheilutarvikkeet > lentopallo
66,urheiluvälineet > urheilutarvikkeet > golf
67,urheiluvälineet > urheilutarvikkeet > jalkapallo
68,urheiluvälineet > urheilutarvikkeet > jalkapallo
69,urheiluvälineet > urheilutarvikkeet > yleisurheilu
