category_id,category
1,alimentation et boissons > alimentation > soups & broths
2,alimentation et boissons > alimentation > noix et graines
3,alimentation et boissons > alimentation > snacks et chips
4,alimentation et boissons > alimentation > substituts de viande
5,alimentation et boissons > alimentation > Épices et assaisonnement
6,alimentation et boissons > alimentation > pâtes et céréales
7,alimentation et boissons > alimentation > plats préparés
8,alimentation et boissons > alimentation > candy & chocolate
9,alimentation et boissons > alimentation > sauces et préparations à tartiner
10,alimentation et boissons > alimentation > viande et fruits de mer
11,alimentation et boissons > alimentation > pain et produits de boulangerie
12,alimentation et boissons > alimentation > sauces et condiments
13,"alimentation et boissons > alimentation > produits laitiers, œufs et fromage"
14,alimentation et boissons > alimentation > nourriture surgelée
15,alimentation et boissons > alimentation > ingrédients pour la pâtisserie
16,alimentation et boissons > alimentation > fruits & vegetables
17,alimentation et boissons > alimentation > petit-déjeuner et céréales
18,alimentation et boissons > alimentation
19,alimentation et boissons > boissons > boissons énergisantes et pour le sport
20,alimentation et boissons > boissons > jus
21,alimentation et boissons > boissons > powdered beverage mixes
22,alimentation et boissons > boissons > soda
23,alimentation et boissons > boissons > eau
24,alimentation et boissons > boissons > coffee & tea
25,alimentation et boissons > boissons > boissons alcoolisées
26,alimentation et boissons > boissons > milk
27,alimentation et boissons > boissons
28,alimentation et boissons
29,jouets et jeux > jouets d’extérieur
30,jouets et jeux > peluches et animaux rembourrés
31,jouets et jeux > jeux > jeux de rôles
32,jouets et jeux > jeux > Échecs
33,jouets et jeux > jeux > jeux de guerre et petites figurines
34,jouets et jeux > jeux > jeux de dés
35,jouets et jeux > jeux > jeux à mosaïques
36,jouets et jeux > jeux > jeux de cartes
37,jouets et jeux > jeux > jeux de dextérité
38,jouets et jeux > jeux > jeux de société
39,jouets et jeux > jeux
40,jouets et jeux > casse-têtes
41,jouets et jeux > jouets pour se déplacer
42,jouets et jeux > jouets d’imitation
43,jouets et jeux > véhicules-jouets
44,jouets et jeux > jouets télécommandés
45,jouets et jeux > jouets éducatifs
46,jouets et jeux > poupées et maisons de poupées
47,jouets et jeux > jeux de construction
48,jouets et jeux > figurines
49,jouets et jeux > jouets électroniques
50,jouets et jeux
51,rénovation résidentielle > chauffage et climatisation résidentiels
52,rénovation résidentielle > fournitures et équipement de construction
53,rénovation résidentielle > plomberie et accessoires
54,rénovation résidentielle > outils > Échelles et échafaudages
55,rénovation résidentielle > outils > outils de peinture
56,rénovation résidentielle > outils > outils électriques
57,rénovation résidentielle > outils > outils de mesure et capteurs
58,rénovation résidentielle > outils > outils pneumatiques
59,rénovation résidentielle > outils > outils manuels
60,rénovation résidentielle > outils
61,rénovation résidentielle
62,articles de sport > Équipement de sport > hockey sur glace et sur patins à roulettes
63,articles de sport > Équipement de sport > rugby
64,articles de sport > Équipement de sport > tennis et sports de raquette
65,articles de sport > Équipement de sport > volleyball
66,articles de sport > Équipement de sport > golf
67,articles de sport > Équipement de sport > soccer
68,articles de sport > Équipement de sport > football
69,articles de sport > Équipement de sport > track & field
70,articles de sport > Équipement de sport > cricket
71,articles de sport > Équipement de sport > hockey sur gazon et crosse
72,articles de sport > Équipement de sport > boxe et arts martiaux
73,articles de sport > Équipement de sport > dance & gymnastics
74,articles de sport > Équipement de sport > baseball et balle molle
75,articles de sport > Équipement de sport > basketball
76,articles de sport > Équipement de sport
77,articles de sport > exercices et conditionnement physique > yoga et pilates
78,articles de sport > exercices et conditionnement physique > Équipement cardio
79,articles de sport > exercices et conditionnement physique > Équipement d’haltérophilie
80,articles de sport > exercices et conditionnement physique
81,articles de sport > jeux d’intérieur
82,articles de sport > activités de plein air > pêche
83,articles de sport > activités de plein air > sports nautiques
84,articles de sport > activités de plein air > planches à roulettes
85,articles de sport > activités de plein air > jeux d’extérieur
86,articles de sport > activités de plein air > cyclisme
87,articles de sport > activités de plein air > sports d’hiver
88,articles de sport > activités de plein air > escalade
89,articles de sport > activités de plein air > patin à roues alignées et patin à roulettes
90,articles de sport > activités de plein air > camping et randonnée
91,articles de sport > activités de plein air
92,articles de sport
93,fournitures pour animaux de compagnie > cages et accessoires de transport pour animaux domestiques
94,fournitures pour animaux de compagnie > fournitures de toilettage pour animaux de compagnie
95,fournitures pour animaux de compagnie > fournitures pour petits animaux
96,fournitures pour animaux de compagnie > fournitures pour nourriture et boissons d’animaux domestiques
97,fournitures pour animaux de compagnie > accessoires pour reptiles et amphibiens
98,"fournitures pour animaux de compagnie > colliers, harnais et laisses pour animaux domestiques"
99,fournitures pour animaux de compagnie > escaliers et rampes pour animaux de compagnie
100,fournitures pour animaux de compagnie > fournitures pour oiseaux
101,fournitures pour animaux de compagnie > soins et santé des animaux
102,fournitures pour animaux de compagnie > lits et literie pour animaux domestiques
103,fournitures pour animaux de compagnie > fournitures pour poissons
104,fournitures pour animaux de compagnie > fournitures pour chats
105,fournitures pour animaux de compagnie > fournitures pour chiens
106,fournitures pour animaux de compagnie
107,patio et jardin > Équipement d’arrosage
108,patio et jardin > Étangs et aménagements d’eau
109,patio et jardin > matériel motorisé d’extérieur
110,patio et jardin > Éclairage extérieur
111,patio et jardin > barbecues et cuisine en plein air
112,"patio et jardin > plantes, graines et bulbes"
113,patio et jardin > mobilier d’extérieur
114,patio et jardin > piscines et spas
115,patio et jardin > accessoires pour entretien des plantes et terreau
116,patio et jardin > décor de jardin
117,patio et jardin > outils à main et équipement de jardinage
118,patio et jardin
119,fournitures de bureau > fournitures d’écriture
120,fournitures de bureau > tableaux d’affichage et de présentation
121,fournitures de bureau > agrafeuses et perforatrices
122,fournitures de bureau > projecteurs
123,fournitures de bureau > ruban adhésif et autocollants
124,fournitures de bureau > classement et rangement
125,fournitures de bureau > pinces et attaches
126,fournitures de bureau > Étiquettes
127,fournitures de bureau > calendriers et agendas
128,fournitures de bureau > reliures et accessoires
129,fournitures de bureau > Équipement et appareils de bureau
130,fournitures de bureau > matériel pour envois postaux
131,fournitures de bureau > produits de papier
132,fournitures de bureau
133,instruments de musique > Équipement audio professionnel
134,instruments de musique > accessoires de musique
135,instruments de musique > guitares et basses
136,instruments de musique > cuivres
137,instruments de musique > batteries et instruments de percussion
138,instruments de musique > pianos et claviers
139,instruments de musique > instruments à vent
140,instruments de musique > instruments à cordes
141,instruments de musique
142,contenu multimédia > journaux
