category_id,category
1,alimentation et boissons > alimentation > soupes et bouillons
2,alimentation et boissons > alimentation > noix et graines
3,alimentation et boissons > alimentation > snacks et chips
4,alimentation et boissons > alimentation > substituts de viande
5,alimentation et boissons > alimentation > Épices et assaisonnement
6,alimentation et boissons > alimentation > pâtes et céréales
7,alimentation et boissons > alimentation > plats préparés
8,alimentation et boissons > alimentation > bonbons et chocolat
9,alimentation et boissons > alimentation > sauces et tartinades
10,alimentation et boissons > alimentation > viande et fruits de mer
11,alimentation et boissons > alimentation > pain et produits de boulangerie
12,alimentation et boissons > alimentation > sauces et condiments
13,"alimentation et boissons > alimentation > produits laitiers, œufs et fromage"
14,alimentation et boissons > alimentation > nourriture surgelée
15,alimentation et boissons > alimentation > ingrédients pour la pâtisserie
16,alimentation et boissons > alimentation > fruits et légumes
17,alimentation et boissons > alimentation > petit-déjeuner et céréales
18,alimentation et boissons > alimentation
19,alimentation et boissons > boissons > boissons énergétiques
20,alimentation et boissons > boissons > jus
21,alimentation et boissons > boissons > boissons énergétiques
22,alimentation et boissons > boissons > soda
23,alimentation et boissons > boissons > eau
24,alimentation et boissons > boissons > café et thé
25,alimentation et boissons > boissons > boissons alcoolisées
26,alimentation et boissons > boissons > lait
27,alimentation et boissons > boissons
28,alimentation et boissons
29,jeux et jouets > jouets pour l’extérieur
30,jeux et jouets > peluches et animaux rembourrés
31,jeux et jouets > jeux > jeux de rôles
32,jeux et jouets > jeux > Échecs
33,jeux et jouets > jeux > jeux de guerre et petites figurines
34,jeux et jouets > jeux > jeux de dés
35,jeux et jouets > jeux > jeux de placement
36,jeux et jouets > jeux > jeux de cartes
37,jeux et jouets > jeux > jeux d’adresse
38,jeux et jouets > jeux > jeux de plateau
39,jeux et jouets > jeux
40,jeux et jouets > puzzles
41,jeux et jouets > jouets pour se déplacer
42,jeux et jouets > jeux d’imitation
43,jeux et jouets > véhicules-jouets
44,jeux et jouets > jouets télécommandés
45,jeux et jouets > jouets éducatifs
46,jeux et jouets > poupées et maisons de poupées
47,jeux et jouets > jeux de construction
48,jeux et jouets > figurines
49,jeux et jouets > jouets électroniques
50,jeux et jouets
51,bricolage > chauffage et climatisation pour la maison
52,bricolage > fournitures et équipement de construction
53,bricolage > installations sanitaires
54,bricolage > outils > Échelles et échafaudages
55,bricolage > outils > outils de peinture
56,bricolage > outils > outils électroportatifs
57,bricolage > outils > outils de mesure et détecteurs
58,bricolage > outils > outils pneumatiques
59,bricolage > outils > outils de bricolage
60,bricolage > outils
61,bricolage
62,articles de sport > Équipement sportif > hockey sur glace et sur patins à roulettes
63,articles de sport > Équipement sportif > rugby
64,articles de sport > Équipement sportif > tennis et sports de raquette
65,articles de sport > Équipement sportif > volley-ball
66,articles de sport > Équipement sportif > golf
67,articles de sport > Équipement sportif > football
68,articles de sport > Équipement sportif > football américain
69,articles de sport > Équipement sportif > athlétisme
70,articles de sport > Équipement sportif > cricket
71,articles de sport > Équipement sportif > hockey sur gazon et lacrosse
72,articles de sport > Équipement sportif > boxe et arts martiaux
73,articles de sport > Équipement sportif > danse et gymnastique
74,articles de sport > Équipement sportif > baseball et softball
75,articles de sport > Équipement sportif > basket-ball
76,articles de sport > Équipement sportif
77,articles de sport > sport et fitness > yoga et pilates
78,articles de sport > sport et fitness > accessoires cardio
79,articles de sport > sport et fitness > Équipement d’haltérophilie
