category_id,category
1,food & beverages > abinci > soups & broths
2,food & beverages > abinci > nuts & seeds
3,food & beverages > abinci > snacks & chips
4,food & beverages > abinci > meat substitutes
5,food & beverages > abinci > spices & seasonings
6,food & beverages > abinci > pasta & grains
7,food & beverages > abinci > prepared food & meal kits
8,food & beverages > abinci > candy & chocolate
9,food & beverages > abinci > dips & spreads
10,food & beverages > abinci > meat & seafood
11,food & beverages > abinci > bakery & bread
12,food & beverages > abinci > condiments & sauces
13,"food & beverages > abinci > dairy, eggs & cheese"
14,food & beverages > abinci > frozen food
15,food & beverages > abinci > baking ingredients
16,food & beverages > abinci > fruits & vegetables
17,food & beverages > abinci > breakfast & cereal
18,food & beverages > abinci
19,food & beverages > beverages > sports & energy drinks
20,food & beverages > beverages > juice
21,food & beverages > beverages > powdered beverage mixes
22,food & beverages > beverages > soda
23,food & beverages > beverages > water
24,food & beverages > beverages > koffi da shayi
25,food & beverages > beverages > alcoholic beverages
26,food & beverages > beverages > milk
27,food & beverages > beverages
28,food & beverages
29,kayan wasan yara da wasanni > kayayyakin wasan yara a waje
30,kayan wasan yara da wasanni > dabbobin wasan yara da kayan wasan turawa
31,kayan wasan yara da wasanni > wasanni > matsayi a wurin buga wasanni
32,kayan wasan yara da wasanni > wasanni > chess
33,kayan wasan yara da wasanni > wasanni > Ƙananan abubuwa da na'urorin wasan yaƙi
34,kayan wasan yara da wasanni > wasanni > wasannin lido
35,kayan wasan yara da wasanni > wasanni > wasannin tayil
36,kayan wasan yara da wasanni > wasanni > wasannin kati
37,kayan wasan yara da wasanni > wasanni > wasannin dara
38,kayan wasan yara da wasanni > wasanni > wasannin kan allo
39,kayan wasan yara da wasanni > wasanni
40,kayan wasan yara da wasanni > wasan cinka-cinka
41,kayan wasan yara da wasanni > kayan wasan tuƙawa
42,kayan wasan yara da wasanni > pretend play
43,kayan wasan yara da wasanni > motocin wasan yara
44,kayan wasan yara da wasanni > kayan wasa da ake sarrafawa dage nesa
45,kayan wasan yara da wasanni > kayan wasa na ilmantarwa
46,kayan wasan yara da wasanni > 'yar bebi da gidajen 'yar bebi
47,kayan wasan yara da wasanni > kayan gini na wasan yara
48,kayan wasan yara da wasanni > mutum mutumi
49,kayan wasan yara da wasanni > kayan wasan yara masu aiki da lantarki
50,kayan wasan yara da wasanni
51,inganta gida > kayan Ɗumamawa da sanyayawa gida
52,inganta gida > samara da kayan gini da hardwaya
53,inganta gida > kayan aikin famfo da kayan gyara
54,inganta gida > kayan aiki > tsani da sikafur
55,inganta gida > kayan aiki > kayan aikin yin zane
