category_id,category
1,מזון ומשקאות > אוכל > מרק וציר למרק
2,מזון ומשקאות > אוכל > אגוזים וזרעים
3,מזון ומשקאות > אוכל > חטיפים וצ'יפס
4,מזון ומשקאות > אוכל > תחליפי בשר
5,מזון ומשקאות > אוכל > תבלינים ותיבול
6,מזון ומשקאות > אוכל > פסטה ודגנים
7,מזון ומשקאות > אוכל > מזון חוגן וערכות להכנת ארוחה
8,מזון ומשקאות > אוכל > ממתקים ושוקולד
9,מזון ומשקאות > אוכל > מטבלים וממרחים
10,מזון ומשקאות > אוכל > בשר ופירות ים
11,מזון ומשקאות > אוכל > מאפייה ולחם
12,מזון ומשקאות > אוכל > תבלינים ורטבים
13,"מזון ומשקאות > אוכל > מוצרי חלב, ביצים וגבינות"
14,מזון ומשקאות > אוכל > מזון קפוא
15,מזון ומשקאות > אוכל > מרכיבים לאפיה
16,מזון ומשקאות > אוכל > פירות וירקות
17,מזון ומשקאות > אוכל > ארוחת בוקר ודגני בוקר
18,מזון ומשקאות > אוכל
19,מזון ומשקאות > משקאות > משקאות ספורט ואנרגיה
20,מזון ומשקאות > משקאות > מיץ
21,מזון ומשקאות > משקאות > תערובות משקה באבקה
22,מזון ומשקאות > משקאות > סודה
23,מזון ומשקאות > משקאות > מים
24,מזון ומשקאות > משקאות > קפה ותה
25,מזון ומשקאות > משקאות > משקאות אלכוהוליים
26,מזון ומשקאות > משקאות > חלב
27,מזון ומשקאות > משקאות
28,מזון ומשקאות
29,משחקים וצעצועים > צעצועי גן
30,משחקים וצעצועים > בובות בד וצעצועי פרווה
31,צעצועים ומשחקים > משחקים > משחקי תפקידים
32,משחקים וצעצועים > משחקים > שחמט
33,משחקים וצעצועים > משחקים > משחקים מיניאטורים ומשחקי מלחמה
34,משחקים וצעצועים > משחקים > משחקי קוביות
35,משחקים וצעצועים > משחקים > משחקי אריחים
36,צעצועים ומשחקים > משחקים > משחקי קלפים
37,משחקים וצעצועים > משחקים > משחקי מיומנות
38,משחקים וצעצועים > משחקים > משחקי קופסה
39,משחקים וצעצועים > משחקים
40,משחקים וצעצועים > פאזלים
41,משחקים וצעצועים > צעצועי רכיבה
42,צעצועים ומשחקים > משחקי דמיון
43,צעצועים ומשחקים > מכוניות צעצוע
44,משחקים וצעצועים > צעצועים בשלט רחוק
45,משחקים וצעצועים > צעצועים חינוכיים
46,משחקים וצעצועים > בובות ובתי בובות
47,משחקים וצעצועים > צעצועי בנייה
48,משחקים וצעצועים > בובות פעולה
49,משחקים וצעצועים > צעצועים אלקטרוניים
50,משחקים וצעצועים
51,שיפוץ הבית > חימום וקירור ביתי
52,שיפוץ הבית > ציוד וחומרים לבנייה
53,שיפוץ הבית > צנרת ואינסטלציה
54,שיפוץ הבית > כלים > סולמות ופיגומים
55,שיפוץ הבית > כלים > כלי צביעה
56,שיפוץ הבית > כלים > כלי עבודה חשמליים
57,שיפוץ הבית > כלים > כלי מדידה וחיישנים
58,שיפוץ הבית > כלים > כלים פנאומטיים
59,שיפוץ הבית > כלים > כלים ידניים
60,שיפוץ הבית > כלים
61,שיפוץ הבית
62,ציוד ספורט > ציוד ספורט > הוקי קרח והוקי גלגליות
63,ציוד ספורט > ציוד ספורט > רוגבי
64,ציוד ספורט > ציוד ספורט > טניס וספורט מחבט
65,ציוד ספורט > ציוד ספורט > כדורעף
66,ציוד ספורט > ציוד ספורט > גולף
67,ציוד ספורט > ציוד ספורט > כדורגל
68,ציוד ספורט > ציוד ספורט > פוטבול
69,ציוד ספורט > ציוד ספורט > מסלול ושטח
70,ציוד ספורט > ציוד ספורט > קריקט
71,ציוד ספורט > ציוד ספורט > הוקי שדה ולאקרוס
72,ציוד ספורט > ציוד ספורט > אגרוף ואמנויות לחימה
73,ציוד ספורט > ציוד ספורט > ריקוד והתעמלות
74,ציוד ספורט > ציוד ספורט > בייסבול וסופטבול
75,ציוד ספורט > ציוד ספורט > כדורסל
76,ציוד ספורט > ציוד ספורט
77,ציוד ספורט > ספורט וכושר > יוגה ופילאטיס
78,ציוד ספורט > ספורט וכושר > ציוד קרדיו
79,ציוד ספורט > ספורט וכושר > ציוד להרמת משקולות
80,ציוד ספורט > ספורט וכושר
81,ציוד ספורט > משחקי פנים
82,ציוד ספורט > פעילות פנאי בחוץ > דייג
83,ציוד ספורט > פעילות פנאי בחוץ > ספורט מים ושייט
84,ציוד ספורט > פעילות פנאי בחוץ > סקייטבורדינג
85,ציוד ספורט > פעילות פנאי בחוץ > משחקי חוץ
86,ציוד ספורט > פעילות פנאי בחוץ > רכיבה על אופניים
87,ציוד ספורט > פעילות פנאי בחוץ > ספורט חורף
88,ציוד ספורט > פעילות פנאי בחוץ > טיפוס
89,ציוד ספורט > פעילות פנאי בחוץ > החלקה על גלגיליות ורולרבליידס
90,ציוד ספורט > פעילות פנאי בחוץ > קמפינג והליכה
91,ציוד ספורט > פעילות פנאי בחוץ
92,ציוד ספורט
93,ציוד לחיות מחמד > מנשאים וכלובים לחיות מחמד
94,ציוד לחיות מחמד > ציוד לטיפוח חיות מחמד
95,ציוד לחיות מחמד > מוצרים לחיות קטנות
96,ציוד לחיות מחמד > ציוד להאכלה והשקיה של חיות מחמד
97,ציוד לחיות מחמד > ציוד לזוחלים ולדו-חיים
98,"ציוד לחיות מחמד > קולרים, רתמות ורצועות לחיות מחמד"
99,ציוד לחיות מחמד > מדרגות ושיפועים לחיות מחמד
100,ציוד לחיות מחמד > ציוד לגידול ציפורים
101,ציוד לחיות מחמד > טיפול ובריאות של חיות מחמד
102,ציוד לחיות מחמד > מיטות ומצעים לחיות מחמד
103,ציוד לחיות מחמד > ציוד לגידול דגים
104,ציוד לחיות מחמד > ציוד לגידול חתולים
105,ציוד לחיות מחמד > ציוד לגידול כלבים
106,ציוד לחיות מחמד
107,חצר וגינה > ציוד השקיה
108,חצר וגינה > אגמים וברכות מים
109,חצר וגינה > ציוד לאספקת חשמל בחוץ
