category_id,category
1,hrana i piće > hrana > juhe i temeljci
2,hrana i piće > hrana > orašasti plodovi i sjemenke
3,hrana i piće > hrana > grickalice i čips
4,hrana i piće > hrana > zamjene za meso
5,hrana i piće > hrana > začini
6,hrana i piće > hrana > tjestenina i žitarice
7,hrana i piće > hrana > kompleti s pripremljenom hranom i jelima
8,hrana i piće > hrana > bomboni i čokolada
9,hrana i piće > hrana > umaci i namazi
10,hrana i piće > hrana > meso i plodovi mora
11,hrana i piće > hrana > peciva i kruh
12,hrana i piće > hrana > začini i umaci
13,"hrana i piće > hrana > mliječni proizvodi, jaja i sir"
14,hrana i piće > hrana > smrznuta hrana
15,hrana i piće > hrana > sastojci za pečenje
16,hrana i piće > hrana > voće i povrće
17,hrana i piće > hrana > doručak i žitarice
18,hrana i piće > hrana
19,hrana i piće > piće > sportska i energetska pića
20,hrana i piće > piće > sok
21,hrana i piće > piće > mješavine za napitke u prahu
22,hrana i piće > piće > gazirana voda
23,hrana i piće > piće > voda
24,hrana i piće > piće > kava i čaj
25,hrana i piće > piće > alkoholna pića
26,hrana i piće > piće > mlijeko
27,hrana i piće > piće
28,hrana i piće
29,igračke i igre > igračke za vanjski prostor
30,igračke i igre > plišane životinje i igračke
31,igračke i igre > igre > igre uloga
32,igračke i igre > igre > Šah
33,igračke i igre > igre > ratne igre s minijaturama
34,igračke i igre > igre > igre s kockom
35,igračke i igre > igre > igre s pločicama
36,igračke i igre > igre > kartaške igre
37,igračke i igre > igre > igre spretnosti
38,igračke i igre > igre > igre na ploči
39,igračke i igre > igre
40,igračke i igre > slagalice
41,igračke i igre > dječja vozila
42,igračke i igre > igranje uloga
43,igračke i igre > igračke vozila
44,igračke i igre > igračke na daljinsko upravljanje
45,igračke i igre > edukativne igračke
46,igračke i igre > lutke i kućice za lutke
47,igračke i igre > igračke za gradnju
48,igračke i igre > akcijske figure
49,igračke i igre > elektroničke igračke
50,igračke i igre
51,uređenje doma > grijanje i hlađenje doma
52,uređenje doma > građevinski materijali i proizvodi od metala
53,uređenje doma > vodoinstalacije i oprema
54,uređenje doma > alati > ljestve i skele
55,uređenje doma > alati > alati za bojanje
56,uređenje doma > alati > električni alati
57,uređenje doma > alati > mjerni alati i senzori
58,uređenje doma > alati > zračni alati
59,uređenje doma > alati > ručni alati
60,uređenje doma > alati
61,uređenje doma
62,sportska oprema > sportska oprema > hokej na ledu i hokej na rolama
63,sportska oprema > sportska oprema > ragbi
64,sportska oprema > sportska oprema > tenis i sportovi s reketom
65,sportska oprema > sportska oprema > odbojka
66,sportska oprema > sportska oprema > golf
67,sportska oprema > sportska oprema > nogomet
68,sportska oprema > sportska oprema > nogomet
69,sportska oprema > sportska oprema > atletske staze i borilišta
70,sportska oprema > sportska oprema > kriket
71,sportska oprema > sportska oprema > hokej na travi i lakros
72,sportska oprema > sportska oprema > boks i borilačke vještine
73,sportska oprema > sportska oprema > ples i gumnastika
74,sportska oprema > sportska oprema > bejzbol i softbol
75,sportska oprema > sportska oprema > košarka
76,sportska oprema > sportska oprema
77,sportska oprema > vježbanje i fitnes > joga i pilates
78,sportska oprema > vježbanje i fitnes > oprema za kardio trening
79,sportska oprema > vježbanje i fitnes > oprema za dizanje utega
80,sportska oprema > vježbanje i fitnes
81,sportska oprema > igre za unutarnji prostor
82,sportska oprema > rekreacija na otvorenom > ribolov
83,sportska oprema > rekreacija na otvorenom > vodeni sportovi i veslanje
84,sportska oprema > rekreacija na otvorenom > skateboarding
85,sportska oprema > rekreacija na otvorenom > igre na otvorenom
86,sportska oprema > rekreacija na otvorenom > biciklizam
87,sportska oprema > rekreacija na otvorenom > zimski sportovi
88,sportska oprema > rekreacija na otvorenom > penjanje
89,sportska oprema > rekreacija na otvorenom > koturaljke i role
90,sportska oprema > rekreacija na otvorenom > kampiranje i planinarenje
91,sportska oprema > rekreacija na otvorenom
92,sportska oprema
93,potrepštine za ljubimce > prijevoz i držanje kućnih ljubimaca
94,potrepštine za ljubimce > proizvodi za uređivanje kućnih ljubimaca
95,potrepštine za ljubimce > proizvodi za male životinje
96,potrepštine za ljubimce > pribor za hranjenje i pojenje kućnih ljubimaca
97,potrepštine za ljubimce > proizvodi za gmazove i vodozemce
98,"potrepštine za ljubimce > ogrlice, oprsnice i povodci za kućne ljubimce"
99,potrepštine za ljubimce > stepenice i rampe za kućne ljubimce
100,potrepštine za ljubimce > potrepštine za ptice
101,potrepštine za ljubimce > njega i zdravlje kućnih ljubimaca
102,potrepštine za ljubimce > ležajevi i posteljina za kućne ljubimce
103,potrepštine za ljubimce > potrepštine za ribice
104,potrepštine za ljubimce > potrepštine za mačke
105,potrepštine za ljubimce > potrepštine za pse
106,potrepštine za ljubimce
107,terasa i vrt > oprema za zalijevanje
108,terasa i vrt > vrtna jezerca i fontane
109,terasa i vrt > vrtni električni alati
110,terasa i vrt > vanjska rasvjeta
111,terasa i vrt > roštilji i kuhanje na otvorenom
112,"terasa i vrt > biljke, sjemenke i lukovice"
113,terasa i vrt > namještaj za vanjski prostor
114,terasa i vrt > bazeni i spa
115,"terasa i vrt > njega biljaka, zemlja za sadnju i oprema"
116,terasa i vrt > uređenje vrta
117,terasa i vrt > ručni vrtni alati i oprema
118,terasa i vrt
119,uredski pribor > pribor za pisanje
120,uredski pribor > ploče za prezentaciju i prikaz
121,uredski pribor > klamarice i bušilice za papir
122,uredski pribor > projektori
123,uredski pribor > selotejp i ljepila
124,uredski pribor > odlaganje dokumenata i pohrana
125,uredski pribor > držači i pričvršćivači
126,uredski pribor > oznake
127,uredski pribor > kalendari i planeri
128,uredski pribor > mape za dokumente i oprema
129,uredski pribor > uredska oprema i uređaji
130,uredski pribor > pribor za pakiranje
131,uredski pribor > papirnati proizvodi
132,uredski pribor
133,glazbeni instrumenti > profesionalna audiooprema
134,glazbeni instrumenti > glazbena dodatna oprema
135,glazbeni instrumenti > gitare i bas-gitare
136,glazbeni instrumenti > mjedeni instrumenti
137,glazbeni instrumenti > bubnjevi i udaraljke
138,glazbeni instrumenti > glasoviri i instrumenti s tipkama
139,glazbeni instrumenti > drveni puhački instrumenti
140,glazbeni instrumenti > Žičani instrumenti
141,glazbeni instrumenti
142,medijski sadržaji > novine
143,medijski sadržaji > Časopisi i katalozi
144,medijski sadržaji > knjige
145,medijski sadržaji > filmovi i tv emisije
146,medijski sadržaji > glazba
147,medijski sadržaji
148,putovanje i prtljaga > zaštitne vreće za odjeću
149,putovanje i prtljaga > putne potrepštine
150,putovanje i prtljaga > torbice i novčanici > novčanici
151,putovanje i prtljaga > torbice i novčanici > torbe
152,putovanje i prtljaga > torbice i novčanici > torbe za nošenje preko tijela
153,putovanje i prtljaga > torbice i novčanici > organizatori za stvari
154,putovanje i prtljaga > torbice i novčanici > torbice za nošenje preko ramena
155,putovanje i prtljaga > torbice i novčanici > torbice
156,putovanje i prtljaga > torbice i novčanici > pojasne torbice i bisage
157,putovanje i prtljaga > torbice i novčanici
158,putovanje i prtljaga > kovčezi
159,putovanje i prtljaga > sportske torbe i torbe za teretanu
160,putovanje i prtljaga > kompleti putnih torbi
161,putovanje i prtljaga > aktovke i torbe za prijenosna računala
162,putovanje i prtljaga > ruksaci
163,putovanje i prtljaga
164,umjetnost i obrt > pribor za izradu rukotvorina
165,umjetnost i obrt > Šivanje
166,umjetnost i obrt > ručni rad i predivo
167,umjetnost i obrt > nizanje perlica i izrada nakita
168,umjetnost i obrt > oprema za umjetnost
169,umjetnost i obrt
170,autodijelovi i oprema > dijelovi i oprema za prikolice
171,autodijelovi i oprema > dijelovi i oprema za vozila powersport
172,autodijelovi i oprema > dijelovi i oprema za rekreacijska vozila i kamp-kućice
173,autodijelovi i oprema > automobilski dijelovi i oprema
174,autodijelovi i oprema > brodski dijelovi i oprema
175,autodijelovi i oprema > dijelovi i oprema za motocikle
176,autodijelovi i oprema > alati za automehaničare
177,autodijelovi i oprema
178,antikviteti i kolekcionarski predmeti > kolekcionarski sportski suveniri
179,antikviteti i kolekcionarski predmeti > kolekcionarske kućanske potrepštine
180,antikviteti i kolekcionarski predmeti > kolekcionarska elektronika
181,antikviteti i kolekcionarski predmeti > kolekcionarske kovanice i novčanice
182,antikviteti i kolekcionarski predmeti > kolekcionarske marke
183,antikviteti i kolekcionarski predmeti > kolekcionarski namještaj
184,antikviteti i kolekcionarski predmeti > kolekcionarski kućanski aparati
185,antikviteti i kolekcionarski predmeti > kolekcionarske igračke
186,antikviteti i kolekcionarski predmeti
187,proizvodi za bebe > hranjenje beba
188,proizvodi za bebe > prijevoz beba > nosiljke za bebe
189,proizvodi za bebe > prijevoz beba > kolica i oprema
190,proizvodi za bebe > prijevoz beba > autosjedalice i oprema
191,proizvodi za bebe > prijevoz beba
192,proizvodi za bebe > zdravlje i sigurnost beba
193,proizvodi za bebe > kupanje beba
194,proizvodi za bebe > igračke > dječji centri aktivnosti i proizvodi za zabavu
195,proizvodi za bebe > igračke > igračke za bebe
196,proizvodi za bebe > igračke
197,proizvodi za bebe > pelene i navikavanje djeteta na tutu
198,proizvodi za bebe > dječja soba > dječja posteljina
199,proizvodi za bebe > dječja soba > uređenje dječje sobe
200,proizvodi za bebe > dječja soba > namještaj za bebe
201,proizvodi za bebe > dječja soba
202,proizvodi za bebe
203,elektronika > prijenosni audio i videouređaji
204,elektronika > kućni audio i videosustav
205,elektronika > zaštita i automatizacija doma
206,elektronika > mobiteli i pametni satovi > mobiteli
207,elektronika > mobiteli i pametni satovi > dodaci za mobitele i pametne satove
208,elektronika > mobiteli i pametni satovi > pametni satovi
209,elektronika > mobiteli i pametni satovi
210,elektronika > projektori
211,elektronika > fotoaparati > dvogledi i teleskopi
212,elektronika > fotoaparati > analogni fotoaparati
213,elektronika > fotoaparati > oprema za fotoaparate
214,elektronika > fotoaparati > bespilotne letjelice za kamere
215,elektronika > fotoaparati > digitalni fotoaparati
216,elektronika > fotoaparati > videokamere
217,elektronika > fotoaparati
218,elektronika > televizori i monitori > televizori
219,elektronika > televizori i monitori > računalni monitori
220,elektronika > televizori i monitori
221,elektronika > softver
222,elektronika > pisači i skeneri
223,elektronika > konzole za videoigre i videoigre > oprema za igranje videoigara
224,elektronika > konzole za videoigre i videoigre > konzole za videoigre
225,elektronika > konzole za videoigre i videoigre > videoigre
226,elektronika > konzole za videoigre i videoigre
227,elektronika > računala i tableti > tablet računala i čitači e-knjiga
228,elektronika > računala i tableti > umrežavanje i poslužitelji
229,elektronika > računala i tableti > računalne komponente i hardver
230,elektronika > računala i tableti > prijenosna računala
231,elektronika > računala i tableti > stolna računala
232,elektronika > računala i tableti
233,elektronika > modni dodaci > računalna oprema
234,elektronika > modni dodaci > baterije i napajanje
235,elektronika > modni dodaci > medij za pohranu
236,"elektronika > modni dodaci > kabeli, punjači i prilagodnici"
237,elektronika > modni dodaci
238,elektronika
239,zdravlje i ljepota > zdravlje > njega usne šupljine
240,zdravlje i ljepota > zdravlje > prva pomoć
241,zdravlje i ljepota > zdravlje > Ženska njega
242,zdravlje i ljepota > zdravlje > briga o vidu
243,zdravlje i ljepota > zdravlje > masaža
244,zdravlje i ljepota > zdravlje > brijanje i odstranjivanje dlačica
245,zdravlje i ljepota > zdravlje
246,zdravlje i ljepota > ljepota > njega kože > ulje i losion za samotamnjenje
247,zdravlje i ljepota > ljepota > njega kože > tretmani i balzami za usne
248,zdravlje i ljepota > ljepota > njega kože > maske i pilinzi
249,zdravlje i ljepota > ljepota > njega kože > dredstva za eksfolijaciju i pilinzi
250,zdravlje i ljepota > ljepota > njega kože > losioni i hidratantne kreme za lice
251,zdravlje i ljepota > ljepota > njega kože > trakice za čišćenje pora
252,zdravlje i ljepota > ljepota > njega kože > tretmani za lice
253,zdravlje i ljepota > ljepota > njega kože > krema za sunčanje
254,zdravlje i ljepota > ljepota > njega kože > Četke i aparati za čišćenje lica
255,zdravlje i ljepota > ljepota > njega kože > tretmani za akne i mrlje na koži
256,zdravlje i ljepota > ljepota > njega kože > toneri i proizvodi za čišćenje kože
257,zdravlje i ljepota > ljepota > njega kože
258,zdravlje i ljepota > ljepota > njega noktiju > kamen za njegu stopala
259,zdravlje i ljepota > ljepota > njega noktiju > lakovi za nokte i ukrašavanje noktiju
260,zdravlje i ljepota > ljepota > njega noktiju > alati za uređivanje noktiju
261,zdravlje i ljepota > ljepota > njega noktiju > umjetni nokti i pribor
262,zdravlje i ljepota > ljepota > njega noktiju
263,zdravlje i ljepota > ljepota > Šminka > alati i pribor za šminkanje
