category_id,category
1,Étel és ital > Étel > levesek és levesalapok
2,Étel és ital > Étel > mogyorók és magok
3,Étel és ital > Étel > snack és chips
4,Étel és ital > Étel > húshelyettesítők
5,Étel és ital > Étel > fűszerek és ízesítőszerek
6,Étel és ital > Étel > tészta és magvak
7,Étel és ital > Étel > készételek és konyhakész ételek
8,Étel és ital > Étel > cukor és csokoládé
9,Étel és ital > Étel > mártogatós és kenhető krémek
10,Étel és ital > Étel > hús és tenger gyümölcsei
11,Étel és ital > Étel > pékáru és kenyér
12,Étel és ital > Étel > fűszerek és mártások
13,"Étel és ital > Étel > tejtermék, tojás és sajt"
14,Étel és ital > Étel > mirelit élelmiszer
15,Étel és ital > Étel > sütési hozzávalók
16,Étel és ital > Étel > zöldségek és gyümölcsök
17,Étel és ital > Étel > reggeli és gabonapelyhek
18,Étel és ital > Étel
19,Étel és ital > italok > sport- és energiaitalok
20,Étel és ital > italok > dzsúsz
21,Étel és ital > italok > porított üdítőkeverékek
22,Étel és ital > italok > Üdítőital
23,Étel és ital > italok > víz
24,Étel és ital > italok > kávé és tea
25,Étel és ital > italok > szeszes italok
26,Étel és ital > italok > tej
27,Étel és ital > italok
28,Étel és ital
29,játékok > szabadtéri játékok
30,játékok > kitömött állatok és plüssjátékok
31,játékok > játékok > szerepjátékos játékok
32,játékok > játékok > sakk
33,játékok > játékok > katonai játékszettek
34,játékok > játékok > kockajátékok
35,játékok > játékok > lapkás játékok
36,játékok > játékok > kártyajátékok
37,játékok > játékok > Ügyességi játékok
38,játékok > játékok > társasjátékok
39,játékok > játékok
40,játékok > fejtörők
41,játékok > ráülős játékok
42,játékok > szerepjáték
43,játékok > játékjárművek
44,játékok > távirányítós játékok
45,játékok > oktató jellegű játékok
46,játékok > babák és babaházak
47,játékok > Építőjátékok
48,játékok > akcióbábuk
49,játékok > elektronikus játékok
50,játékok
51,lakásfelújítás > lakásfűtés és -hűtés
52,lakásfelújítás > Építési kellékek és vasáru
53,lakásfelújítás > vízvezetékek és szerelvények
54,lakásfelújítás > eszközök > létrák és állványok
55,lakásfelújítás > eszközök > festőeszközök
56,lakásfelújítás > eszközök > elektromos szerszámok
57,lakásfelújítás > eszközök > mérőeszközök és érzékelők
58,lakásfelújítás > eszközök > pneumatikus szerszámok
59,lakásfelújítás > eszközök > kézi szerszámok
60,lakásfelújítás > eszközök
61,lakásfelújítás
62,sportszerek > sportfelszerelés > jég-és görhoki
