category_id,category
1,makanan & minuman > makanan > sup & kaldu
2,makanan & minuman > makanan > kacang & biji
3,makanan & minuman > makanan > camilan & keripik
4,makanan & minuman > makanan > pengganti daging
5,makanan & minuman > makanan > rempah & bumbu
6,makanan & minuman > makanan > pasta & biji-bijian
7,makanan & minuman > makanan > kit makanan jadi
8,makanan & minuman > makanan > permen & cokelat
9,makanan & minuman > makanan > olesan & cocolan
10,makanan & minuman > makanan > daging & makanan laut
11,makanan & minuman > makanan > roti
12,makanan & minuman > makanan > kondimen & saus
13,"makanan & minuman > makanan > susu, telur & keju"
14,makanan & minuman > makanan > makanan beku
15,makanan & minuman > makanan > bahan kue
16,makanan & minuman > makanan > buah & sayur
17,makanan & minuman > makanan > sarapan & sereal
18,makanan & minuman > makanan
19,makanan & minuman > minuman > minuman olahraga & energi
20,makanan & minuman > minuman > jus
21,makanan & minuman > minuman > minuman bubuk instan
22,makanan & minuman > minuman > soda
23,makanan & minuman > minuman > air
24,makanan & minuman > minuman > kopi & teh
25,makanan & minuman > minuman > minuman beralkohol
26,makanan & minuman > minuman > susu
27,makanan & minuman > minuman
28,makanan & minuman
29,mainan & game > mainan luar ruangan
30,mainan & game > boneka binatang & mainan mewah
31,mainan & game > game > game role playing
32,mainan & game > game > catur
33,mainan & game > game > miniatur & game perang
34,mainan & game > game > game dadu
35,mainan & game > game > game tile
36,mainan & game > game > game kartu
37,mainan & game > game > game ketangkasan
38,mainan & game > game > board game
39,mainan & game > game
40,mainan & game > puzzle
41,mainan & game > mainan yang bisa dikendarai
42,mainan & game > bermain pura-pura
43,mainan & game > kendaraan mainan
44,mainan & game > mainan kontrol jarak jauh
45,mainan & game > mainan edukasi
46,mainan & game > rumah boneka & boneka
47,mainan & game > mainan konstruksi
48,mainan & game > figur karakter
49,mainan & game > mainan elektronik
50,mainan & game
51,renovasi rumah > pemanas & pendingin rumah
52,renovasi rumah > persediaan bangunan & perangkat keras
53,renovasi rumah > perlengkapan pipa
54,renovasi rumah > peralatan > tangga & perancah
55,renovasi rumah > peralatan > peralatan lukis
56,renovasi rumah > peralatan > alat listrik
57,renovasi rumah > peralatan > alat & sensor pengukuran
58,renovasi rumah > peralatan > alat udara
59,renovasi rumah > peralatan > perkakas
60,renovasi rumah > peralatan
