category_id,category
1,cibo e bevande > cibo > zuppe e brodi
2,cibo e bevande > cibo > noci e semi
3,cibo e bevande > cibo > snack e patatine
4,cibo e bevande > cibo > sostituti della carne
5,cibo e bevande > cibo > spezie e condimenti
6,cibo e bevande > cibo > pasta e cereali
7,cibo e bevande > cibo > kit di alimenti e pasti pronti
8,cibo e bevande > cibo > caramelle e cioccolato
9,cibo e bevande > cibo > salse e creme spalmabili
10,cibo e bevande > cibo > carne e frutti di mare
11,cibo e bevande > cibo > panetteria e pane
12,cibo e bevande > cibo > salse e condimenti
13,"cibo e bevande > cibo > latticini, uova e formaggio"
14,cibo e bevande > cibo > cibo surgelato
15,cibo e bevande > cibo > ingredienti
16,cibo e bevande > cibo > frutta e verdura
17,cibo e bevande > cibo > colazione e cereali
18,cibo e bevande > cibo
19,cibo e bevande > bevande > bevande per sportivi ed energy drink
20,cibo e bevande > bevande > succhi
21,cibo e bevande > bevande > miscele di bevande in polvere
22,cibo e bevande > bevande > acqua frizzante
23,cibo e bevande > bevande > acqua
24,cibo e bevande > bevande > caffè e tè
25,cibo e bevande > bevande > bevande alcoliche
26,cibo e bevande > bevande > latte
27,cibo e bevande > bevande
28,cibo e bevande
29,giocattoli e videogiochi > giocattoli da esterni
30,giocattoli e videogiochi > animali e pupazzi di peluche
31,giocattoli e videogiochi > giochi > giochi di ruolo
32,giocattoli e videogiochi > giochi > scacchi
33,giocattoli e videogiochi > giochi > giochi di guerra e con miniature
34,giocattoli e videogiochi > giochi > giochi di dadi
35,giocattoli e videogiochi > giochi > giochi di società
36,giocattoli e videogiochi > giochi > giochi di carte
37,giocattoli e videogiochi > giochi > giochi di abilità
38,giocattoli e videogiochi > giochi > giochi da tavolo
39,giocattoli e videogiochi > giochi
40,giocattoli e videogiochi > puzzle
41,giocattoli e videogiochi > giocattoli a cavalcioni
42,giocattoli e videogiochi > giochi di simulazione
43,giocattoli e videogiochi > veicoli giocattolo
44,giocattoli e videogiochi > giocattoli telecomandati
45,giocattoli e videogiochi > giocattoli educativi
46,giocattoli e videogiochi > bambole e case delle bambole
47,giocattoli e videogiochi > mattoncini e costruzioni
48,giocattoli e videogiochi > action figure
49,giocattoli e videogiochi > giocattoli elettrionici
50,giocattoli e videogiochi
51,ristrutturazioni edili > riscaldamento e climatizzazione per la casa
52,ristrutturazioni edili > materiali da costruzione e di ferramenta
53,ristrutturazioni edili > articoli idraulici
54,ristrutturazioni edili > strumenti > scale e ponteggi
55,ristrutturazioni edili > strumenti > strumenti per la pittura
56,ristrutturazioni edili > strumenti > utensili elettrici
57,ristrutturazioni edili > strumenti > strumenti di misurazione e sensori
58,ristrutturazioni edili > strumenti > strumenti ad aria
59,ristrutturazioni edili > strumenti > strumenti manuali
60,ristrutturazioni edili > strumenti
61,ristrutturazioni edili
62,articoli sportivi > attrezzatura per lo sport > hockey su ghiaccio e su pista
63,articoli sportivi > attrezzatura per lo sport > rugby
64,articoli sportivi > attrezzatura per lo sport > tennis e sport con racchette
65,articoli sportivi > attrezzatura per lo sport > pallavolo
66,articoli sportivi > attrezzatura per lo sport > golf
67,articoli sportivi > attrezzatura per lo sport > calcio
68,articoli sportivi > attrezzatura per lo sport > football
69,articoli sportivi > attrezzatura per lo sport > atletica leggera
70,articoli sportivi > attrezzatura per lo sport > cricket
71,articoli sportivi > attrezzatura per lo sport > hockey su prato e lacrosse
72,articoli sportivi > attrezzatura per lo sport > boxe e arti marziali
73,articoli sportivi > attrezzatura per lo sport > danza e ginnastica
74,articoli sportivi > attrezzatura per lo sport > baseball e softball
75,articoli sportivi > attrezzatura per lo sport > basket
76,articoli sportivi > attrezzatura per lo sport
77,articoli sportivi > esercizi e fitness > yoga e pilates
78,articoli sportivi > esercizi e fitness > attrezzi cardio
79,articoli sportivi > esercizi e fitness > attrezzatura per sollevamento pesi
80,articoli sportivi > esercizi e fitness
81,articoli sportivi > giochi indoor
82,articoli sportivi > attività ricreative all'aperto > pesca
83,articoli sportivi > attività ricreative all'aperto > sport acquatici e nautica
84,articoli sportivi > attività ricreative all'aperto > skateboard
85,articoli sportivi > attività ricreative all'aperto > giochi all'aperto
86,articoli sportivi > attività ricreative all'aperto > ciclismo
87,articoli sportivi > attività ricreative all'aperto > sport invernali
88,articoli sportivi > attività ricreative all'aperto > arrampicata
89,articoli sportivi > attività ricreative all'aperto > pattini in linea e a rotelle
90,articoli sportivi > attività ricreative all'aperto > campeggio ed escursionismo
91,articoli sportivi > attività ricreative all'aperto
92,articoli sportivi
93,articoli per animali > trasportini e sistemi di contenimento per animali
94,articoli per animali > articoli per la cura dell'aspetto degli animali domestici
95,articoli per animali > prodotti per animali di piccola taglia
96,articoli per animali > prodotti relativi a cibo e bevande per animali
97,articoli per animali > prodotti per rettili e anfibi
98,"articoli per animali > collari, pettorine e guinzagli"
99,articoli per animali > scale per animali
100,articoli per animali > articoli per uccelli
101,articoli per animali > cura e salute degli animali
102,articoli per animali > cucce e giacigli per animali
103,articoli per animali > articoli per pesci
104,articoli per animali > articoli per gatti
105,articoli per animali > articoli per cani
106,articoli per animali
107,veranda e giardino > attrezzatura per l'innaffiamento
108,veranda e giardino > laghetti e specchi d'acqua
109,veranda e giardino > attrezzatura a motore per esterni
110,veranda e giardino > illuminazione per esterni
111,veranda e giardino > barbecue e cucina all'aperto
112,"veranda e giardino > piante, semi e bulbi"
113,veranda e giardino > arredamento da esterni
114,veranda e giardino > piscine e spa
115,"veranda e giardino > cura delle piante, del terreno e accessori"
116,veranda e giardino > decorazioni per giardino
117,veranda e giardino > strumenti e attrezzatura manuale per il giardinaggio
118,veranda e giardino
119,articoli per ufficio > prodotti per la scrittura
120,articoli per ufficio > pannelli di visualizzazione e presentazione
121,articoli per ufficio > graffettatrici e perforatrici
122,articoli per ufficio > proiettori
123,articoli per ufficio > nastro e adesivi
124,articoli per ufficio > archiviazione e deposito
125,articoli per ufficio > clip e chiusure
126,articoli per ufficio > etichette
127,articoli per ufficio > calendari e agende
128,articoli per ufficio > raccoglitori e accessori
129,articoli per ufficio > dotazione e macchine per l'ufficio
130,articoli per ufficio > prodotti per la posta
131,articoli per ufficio > prodotti di carta
132,articoli per ufficio
133,strumenti musicali > attrezzatura audio professionale
134,strumenti musicali > accessori musicali
135,strumenti musicali > chitarre e bassi
136,strumenti musicali > ottoni
137,strumenti musicali > tamburi e strumenti a percussione
