category_id,category
1,フード・ドリンク > 食品 > スープ・ブロス
2,フード・ドリンク > 食品 > ナッツ・種
3,フード・ドリンク > 食品 > スナック・チップ
4,フード・ドリンク > 食品 > 肉の代用食品
5,フード・ドリンク > 食品 > スパイス・調味料
6,フード・ドリンク > 食品 > パスタ・穀物
7,フード・ドリンク > 食品 > 調理済み食品・料理キット
8,フード・ドリンク > 食品 > キャンディ・チョコレート
9,フード・ドリンク > 食品 > ディップ・スプレッド
10,フード・ドリンク > 食品 > 肉・シーフード
11,フード・ドリンク > 食品 > ベーカリー・パン
12,フード・ドリンク > 食品 > 調味料・ソース
13,フード・ドリンク > 食品 > 乳製品・卵・チーズ
14,フード・ドリンク > 食品 > 冷凍食品
15,フード・ドリンク > 食品 > ベーキング用材料
16,フード・ドリンク > 食品 > フルーツ・野菜
17,フード・ドリンク > 食品 > 朝食・シリアル
18,フード・ドリンク > 食品
19,フード・ドリンク > 飲料品 > スポーツ・エネルギードリンク
20,フード・ドリンク > 飲料品 > ジュース
21,フード・ドリンク > 飲料品 > 粉末飲料
22,フード・ドリンク > 飲料品 > ソーダ
23,フード・ドリンク > 飲料品 > 水
24,フード・ドリンク > 飲料品 > コーヒー・お茶
25,フード・ドリンク > 飲料品 > お酒
26,フード・ドリンク > 飲料品 > ミルク
27,フード・ドリンク > 飲料品
28,フード・ドリンク
29,おもちゃ・ゲーム > アウトドア玩具
30,おもちゃ・ゲーム > ぬいぐるみ・人形
31,おもちゃ・ゲーム > ゲーム > ロールプレイングゲーム
32,おもちゃ・ゲーム > ゲーム > チェス
33,おもちゃ・ゲーム > ゲーム > ミニチュア・戦争ゲーム
34,おもちゃ・ゲーム > ゲーム > ダイスゲーム
35,おもちゃ・ゲーム > ゲーム > タイルゲーム
36,おもちゃ・ゲーム > ゲーム > カードゲーム
37,おもちゃ・ゲーム > ゲーム > 器用ゲーム
38,おもちゃ・ゲーム > ゲーム > ボードゲーム
39,おもちゃ・ゲーム > ゲーム
40,おもちゃ・ゲーム > パズル
41,おもちゃ・ゲーム > 乗り物おもちゃ
42,おもちゃ・ゲーム > ままごと
43,おもちゃ・ゲーム > おもちゃの車
44,おもちゃ・ゲーム > リモコンおもちゃ
45,おもちゃ・ゲーム > 教育玩具
46,おもちゃ・ゲーム > 人形・ドールハウス
47,おもちゃ・ゲーム > 組み立て式のおもちゃ
48,おもちゃ・ゲーム > アクションフィギュア
49,おもちゃ・ゲーム > 電子玩具
50,おもちゃ・ゲーム
51,自宅の改装 > 家庭用冷暖房
52,自宅の改装 > 建築用品・金物
53,自宅の改装 > 配管・取付
54,自宅の改装 > 工具類 > はしご・足場
55,自宅の改装 > 工具類 > 画材道具
56,自宅の改装 > 工具類 > 電動工具
57,自宅の改装 > 工具類 > 測定器・センサー
58,自宅の改装 > 工具類 > エアツール
59,自宅の改装 > 工具類 > 手工具
60,自宅の改装 > 工具類
61,自宅の改装
62,スポーツ用品 > スポーツ用品 > アイスホッケー・ローラーホッケー
63,スポーツ用品 > スポーツ用品 > ラグビー
