category_id,category
1,អាហារ និង​ភេសជ្ជៈ > អាហារ > ទឺកស៊ុប និង​ការ​រំងាស់
2,អាហារ និង​ភេសជ្ជៈ > អាហារ > គ្រាប់​ធញ្ញជាតិ និង​គ្រាប់​សណ្ដែក
3,អាហារ និង​ភេសជ្ជៈ > អាហារ > អាហារ​សម្រន់ និង​ចំណិត​ដំឡូង
4,អាហារ និង​ភេសជ្ជៈ > អាហារ > ការ​ជំនួស​សាច់
5,អាហារ និង​ភេសជ្ជៈ > អាហារ > គ្រឿង​ទេស និង​គ្រឿង​ផ្សេងៗ
6,អាហារ និង​ភេសជ្ជៈ > អាហារ > ប៉ាស្តា និង​ធញ្ញជាតិ
7,អាហារ និង​ភេសជ្ជៈ > អាហារ > អាហារ និង​ឈុត​អាហារ​ដែល​បាន​រៀបចំ
8,អាហារ និង​ភេសជ្ជៈ > អាហារ > ស្ករគ្រាប់ និង​សូកូឡា
9,អាហារ និង​ភេសជ្ជៈ > អាហារ > រូបមន្តអាហារជ្រលក់ជាមួយនំស្រួយ
10,អាហារ និង​ភេសជ្ជៈ > អាហារ > សាច់ និង​គ្រឿងសមុទ្រ
11,អាហារ និង​ភេសជ្ជៈ > អាហារ > នំប៉័ង និង​ការ​ដុត​នំ
12,អាហារ និង​ភេសជ្ជៈ > អាហារ > គ្រឿង​ផ្សំរស និង​ទឹកជ្រលក់
13,អាហារ និង​ភេសជ្ជៈ > អាហារ > ការ​តមអាហារ ស៊ុត និង​ឈីស
14,អាហារ និង​ភេសជ្ជៈ > អាហារ > អាហារ​កក
15,អាហារ និង​ភេសជ្ជៈ > អាហារ > គ្រឿង​ផ្សំ​ដុត​នំ
16,អាហារ និង​ភេសជ្ជៈ > អាហារ > បន្លែ និង​ផ្លែឈើ
17,អាហារ និង​ភេសជ្ជៈ > អាហារ > អាហារពេលព្រឹក និង​គ្រាប់​ធញ្ញជាតិ
18,អាហារ និង​ភេសជ្ជៈ > អាហារ
19,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > កីឡា និង​ភេសជ្ជៈ​ថាមពល
20,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > ទឹកក្រូច
21,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > ភេសជ្ជៈ​លាយ​ម្ស៉ៅ
22,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > សូដា
23,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > ទឹក
24,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > កាហ្វេ និងតែ
25,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > ភេសជ្ជៈ​មាន​ជាតិ​អាល់កុល
26,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ > ទឹកដោះគោ
27,អាហារ និង​ភេសជ្ជៈ > ភេសជ្ជៈ
28,អាហារ និង​ភេសជ្ជៈ
29,របស់ក្មេងលេង និងហ្គេម > សម្ភារ​សម្រាប់លេងក្រៅផ្ទះ
30,របស់ក្មេងលេង និងហ្គេម > វត្ថុ​សម្រាប់​សត្វពាហនៈ និង​ឧបករណ៍​​ប្រណិត
31,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ហ្គេម​លេងដើរតួ
32,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ល្បែងអុក
33,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ហ្គេម​សង្គ្រាម និង​ប្រភេទ​តូចៗ
34,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ហ្គេម​ឡុកឡាក់
35,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ហ្គេម​រៀបក្រឡា
36,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ហ្គេមបៀ
37,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ហ្គេម​ស្ទាត់​ជំនាញ
38,របស់ក្មេងលេង និងហ្គេម > ហ្គេម > ល្បែងក្ដារ
39,របស់ក្មេងលេង និងហ្គេម > ហ្គេម
40,របស់ក្មេងលេង និងហ្គេម > ល្បែង​ដោះស្រាយ​បញ្ហា
41,របស់ក្មេងលេង និងហ្គេម > សម្ភារ​សម្រាប់​ជិះ
42,របស់ក្មេងលេង និងហ្គេម > ការ​លេង​ធ្វើ​ពត់
43,របស់ក្មេងលេង និងហ្គេម > យានយន្ដ​សម្រាប់​ក្មេង​លេង
44,របស់ក្មេងលេង និងហ្គេម > ឧបករណ៍​បញ្ជា​ពី​ចម្ងាយ
45,របស់ក្មេងលេង និងហ្គេម > សម្ភារ​ក្មេង​លេងសម្រាប់ការអប់រំ
46,របស់ក្មេងលេង និងហ្គេម > តុក្កតា និង​ផ្ទះ​តុក្កតា
47,របស់ក្មេងលេង និងហ្គេម > សម្ភារ​ក្មេង​លេង​សម្រាប់ការ​សាងសង់
48,របស់ក្មេងលេង និងហ្គេម > តួលេខសកម្មភាព
49,របស់ក្មេងលេង និងហ្គេម > សម្ភារ​អេឡិចត្រូនិក
50,របស់ក្មេងលេង និងហ្គេម
51,ការកែលម្អ​ផ្ទះ > ការកម្ដៅ និងការធ្វើឲ្យត្រជាក់នៅ​ផ្ទះ
52,ការកែលម្អ​ផ្ទះ > សម្ភារ​សម្រាប់​ការសាងសង់ និង​ឧបករណ៍​ផ្សេង
53,ការកែលម្អ​ផ្ទះ > ការ​បូម និង​ល្បាយ
54,ការកែលម្អ​ផ្ទះ > ឧបករណ៍ > ជណ្ដើរ និង​រន្ធា
55,ការកែលម្អ​ផ្ទះ > ឧបករណ៍ > ឧបករណ៍​គូរ
56,ការកែលម្អ​ផ្ទះ > ឧបករណ៍ > ឧបករណ៍​ថាមពល
57,ការកែលម្អ​ផ្ទះ > ឧបករណ៍ > ឧបករណ៍​ចាប់សញ្ញា និង​ឧបករណ៍​វាស់វែង
58,ការកែលម្អ​ផ្ទះ > ឧបករណ៍ > ឧបករណ៍​បាញ់ខ្យល់
59,ការកែលម្អ​ផ្ទះ > ឧបករណ៍ > ឧបករណ៍​ប្រើ​ដោយ​ដៃ
60,ការកែលម្អ​ផ្ទះ > ឧបករណ៍
61,ការកែលម្អ​ផ្ទះ
62,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > កីឡា​លើក​ទឹកកក និង​បង្វិល
63,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > កីឡាបាល់អោប
64,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > កីឡា​តេនីស
65,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > បាល់ទះ
66,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > កីឡាវាយកូនហ្គោល
67,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > កីឡាបាល់ទាត់
68,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > បាល់ទាត់
69,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > តាមដាន និង​វាល
70,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > កីឡាវាយបាល់គ្រីកឃីត
71,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > ឡាក្រូស និង​កីឡា​លេង​បាល់​លើ​ទឹកកក
72,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > ការប្រដាល់ និងក្បាច់គុន
73,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > ការ​រាំ និង​ការ​ហាត់ប្រាណ
74,សម្ភារ​កីឡា > បរិក្ខារ​កីឡា > បាល់អោប និង​បាល់​ទន់
