category_id,category
1,खाद्य व पेय > खाद्यपदार्थ > सूप आणि ब्रॉथ
2,खाद्य व पेय > खाद्यपदार्थ > नट्स आणि सीड्स
3,खाद्य व पेय > खाद्यपदार्थ > स्नॅक्स आणि चिप्स
4,खाद्य व पेय > खाद्यपदार्थ > मीट सबस्टिट्यूट
5,खाद्य व पेय > खाद्यपदार्थ > मसाले आणि सिझनिंग
6,खाद्य व पेय > खाद्यपदार्थ > पास्ता आणि धान्ये
7,खाद्य व पेय > खाद्यपदार्थ > तैयार खाद्यपदार्थ आणि भोजन कीट
8,खाद्य व पेय > खाद्यपदार्थ > कॅंडी आणि चॉकलेट
9,खाद्य व पेय > खाद्यपदार्थ > डीप्स आणि स्प्रेड
10,खाद्य व पेय > खाद्यपदार्थ > मटण आणि सीफूड
11,खाद्य व पेय > खाद्यपदार्थ > बेकरी आणि ब्रेड
12,खाद्य व पेय > खाद्यपदार्थ > मसाले आणि सॉस
13,"खाद्य व पेय > खाद्यपदार्थ > डेअरी, अंडी आणि चिझ"
14,खाद्य व पेय > खाद्यपदार्थ > फ्रोझन फूड
15,खाद्य व पेय > खाद्यपदार्थ > बेकिंग सामग्री
16,खाद्य व पेय > खाद्यपदार्थ > फळे आणि भाज्या
17,खाद्य व पेय > खाद्यपदार्थ > नाश्ता आणि सिरील
18,खाद्य व पेय > खाद्यपदार्थ
19,खाद्य व पेय > पेय > स्पोर्ट्स आणि अनर्जी ड्रिंक्स
20,खाद्य व पेय > पेय > रस
21,खाद्य व पेय > पेय > पेय बनवण्यासाठीच्या मिक्स पावडर
22,खाद्य व पेय > पेय > सोडा
23,खाद्य व पेय > पेय > पाणी
24,खाद्य व पेय > पेय > कॉफी आणि चहा
25,खाद्य व पेय > पेय > मद्य असलेली पेये
26,खाद्य व पेय > पेय > दुध
27,खाद्य व पेय > पेय
28,खाद्य व पेय
29,खेळणी आणि गेम > आउटडोअर खेळणी
30,खेळणी आणि गेम > स्टफ केलेले प्राणी आणि मऊ खेळणी
31,खेळणी आणि गेम > खेळ > भूमिका बजाविण्याचे खेळ
32,खेळणी आणि गेम > खेळ > बुध्दिबळ
33,खेळणी आणि गेम > खेळ > मिनिएचर आणि वॉर गेम
34,खेळणी आणि गेम > खेळ > डाइस गेम्स
35,खेळणी आणि गेम > खेळ > टाइल गेम्स
36,खेळणी आणि गेम > खेळ > पत्त्यांचे खेळ
37,खेळणी आणि गेम > खेळ > डेस्कटिरीटी गेम्स
38,खेळणी आणि गेम > खेळ > बोर्ड गेम
39,खेळणी आणि गेम > खेळ
40,खेळणी आणि गेम > कोडे
41,खेळणी आणि गेम > रायडींग खेळणी
42,खेळणी आणि गेम > प्रीटेंड प्ले
43,खेळणी आणि गेम > खेळण्यातील वाहने
44,खेळणी आणि गेम > रिमोट कंट्रेलची खेळणी
45,खेळणी आणि गेम > शैक्षणिक खेळणी
46,खेळणी आणि गेम > डॉल आणि डॉल हाउसेस
47,खेळणी आणि गेम > जोडून बनणारी खेळणी
48,खेळणी आणि गेम > ॲक्शन फिगर
49,खेळणी आणि गेम > इलेक्ट्रॉनिक खेळणी
50,खेळणी आणि गेम
51,गृहसजावट > होम हिटिंग आणि कुलिंग
52,गृहसजावट > इमारत बांधणी सप्लाइज आणि हार्डवेअर
53,गृहसजावट > प्लम्बिंग आणि फिक्स्चर
54,गृहसजावट > टूल्स > शिड्या आणि मचान
55,गृहसजावट > टूल्स > पेंटिंग टूल्स
56,गृहसजावट > टूल्स > पावर टूल्स
57,गृहसजावट > टूल्स > मापन टूल्स आणि सेंसर
58,गृहसजावट > टूल्स > एअर टूल्स
59,गृहसजावट > टूल्स > हातातील टूल्स
60,गृहसजावट > टूल्स
61,गृहसजावट
62,खेळासंबंधित सामान > क्रीडा साधने > आईस आणि रोलर हॉकी
63,खेळासंबंधित सामान > क्रीडा साधने > रग्बी
64,खेळासंबंधित सामान > क्रीडा साधने > टेनिस आणि रॅकेट स्पोर्ट्स
65,खेळासंबंधित सामान > क्रीडा साधने > व्हॉलीबॉल
66,खेळासंबंधित सामान > क्रीडा साधने > गोल्फ
67,खेळासंबंधित सामान > क्रीडा साधने > सॉकर
68,खेळासंबंधित सामान > क्रीडा साधने > फुटबॉल
69,खेळासंबंधित सामान > क्रीडा साधने > ट्रॅक अँड फिल्‍ड
70,खेळासंबंधित सामान > क्रीडा साधने > क्रिकेट
71,खेळासंबंधित सामान > क्रीडा साधने > फील्ड हॉकी आणि लॅक्रोस
72,खेळासंबंधित सामान > क्रीडा साधने > बॉक्सिंग आणि मार्शल आर्ट
73,खेळासंबंधित सामान > क्रीडा साधने > नृत्य आणि जिमनॅस्टिक
74,खेळासंबंधित सामान > क्रीडा साधने > बेसबॉल आणि सॉफ्टबॉल
75,खेळासंबंधित सामान > क्रीडा साधने > बास्केटबॉल
76,खेळासंबंधित सामान > क्रीडा साधने
77,खेळासंबंधित सामान > व्यायाम आणि फिटनेस > योगा आणि व्यायाम
78,खेळासंबंधित सामान > व्यायाम आणि फिटनेस > कार्डियो उपकरणे
79,खेळासंबंधित सामान > व्यायाम आणि फिटनेस > वेट लिफ्टिंग उपकरणे
80,खेळासंबंधित सामान > व्यायाम आणि फिटनेस
81,खेळासंबंधित सामान > इंडोअर गेम्स
82,खेळासंबंधित सामान > बाहेरील मनोरंजन > मासेमारी
83,खेळासंबंधित सामान > बाहेरील मनोरंजन > वॉटर स्पोर्ट्स आणि बोटिंग
84,खेळासंबंधित सामान > बाहेरील मनोरंजन > स्केटबोर्डिंग
85,खेळासंबंधित सामान > बाहेरील मनोरंजन > आउटडोअर गेम्स
86,खेळासंबंधित सामान > बाहेरील मनोरंजन > सायकलिंग
87,खेळासंबंधित सामान > बाहेरील मनोरंजन > हिवाळ्यातील खेळ
88,खेळासंबंधित सामान > बाहेरील मनोरंजन > चढणे
89,खेळासंबंधित सामान > बाहेरील मनोरंजन > इनलाइन आणि रोलर स्केटिंग
90,खेळासंबंधित सामान > बाहेरील मनोरंजन > पर्वतारोहण आणि कॅम्पिंग
91,खेळासंबंधित सामान > बाहेरील मनोरंजन
92,खेळासंबंधित सामान
93,पाळीव प्राणी साहित्य > पाळीव प्राण्यांचे कॅरियर आणि कंटेनमेंट
94,पाळीव प्राणी साहित्य > पाळीव प्राण्यांची स्वच्छता सप्लाइज
95,पाळीव प्राणी साहित्य > लहान प्राण्यांसाठीचे सप्लाइज
96,पाळीव प्राणी साहित्य > पाळीव प्राण्यांचे फीडींग आणि वॉटरींग सप्लाइज
97,पाळीव प्राणी साहित्य > सरपटणारे आणि उभयचर प्राण्यांसाठीचे सप्लाइज
98,"पाळीव प्राणी साहित्य > पाळीव प्राण्यांसाठी कॉलर, सजावट आणि पट्टे"
99,पाळीव प्राणी साहित्य > पाळीव प्राण्यांसाठी स्टेप्स आणि रॅम्प
100,पाळीव प्राणी साहित्य > पक्ष्यांचा पुरवठा करणे
101,पाळीव प्राणी साहित्य > पाळीव प्राण्यांची देखभाल आणि आरोग्य
102,पाळीव प्राणी साहित्य > पाळीव प्राण्यांचे बेड आणि बेडिंग
103,पाळीव प्राणी साहित्य > माशांचा पुरवठ करणे
104,पाळीव प्राणी साहित्य > कॅट सप्लाय
105,पाळीव प्राणी साहित्य > डॉग सप्लाईज
106,पाळीव प्राणी साहित्य
107,अंगण आणि बगीचा > पाण्यासाठीची उपकरणे
108,अंगण आणि बगीचा > तलाव आणि पाण्याची वैशिष्ट्ये
109,अंगण आणि बगीचा > आउटडोअर पॉवर साधन
110,अंगण आणि बगीचा > बाहेरील रोषणाई
111,अंगण आणि बगीचा > बार्बेक्सू आणि आउटडोअर कुकींग
112,"अंगण आणि बगीचा > रोपटी, बीयाणे आणि बल्ब"
113,अंगण आणि बगीचा > आउटडोअर फर्नीचर
114,अंगण आणि बगीचा > पूल आणि स्पा
115,"अंगण आणि बगीचा > रोपट्यांची देखभाल, माती आणि अॅक्सेसरीज"
116,अंगण आणि बगीचा > बागेची सजावट
117,अंगण आणि बगीचा > बागकाम साधने आणि उपकरणे
118,अंगण आणि बगीचा
119,ऑफिस सप्लाइज > लिखाणाचे सप्लाइज
120,ऑफिस सप्लाइज > सादरीकरण आणि प्रदर्शन बोर्ड
121,ऑफिस सप्लाइज > स्टेपलर्स आणि पंचेस
122,ऑफिस सप्लाइज > प्रोजेक्टर
123,ऑफिस सप्लाइज > टेप आणि चिकटवण्‍याची सामग्री
124,ऑफिस सप्लाइज > फायलिंग आणि स्टोरेज
125,ऑफिस सप्लाइज > क्लिप्स आणि फास्टनर्स
126,ऑफिस सप्लाइज > लेबल्‍स
127,ऑफिस सप्लाइज > कॅलेंडर्स आणि प्लॅनर
128,ऑफिस सप्लाइज > बाइंडर्स आणि अॅक्सेसरीज
129,ऑफिस सप्लाइज > कार्यालय उपकरणे आणि मशीन
130,ऑफिस सप्लाइज > मेलिंग सप्लाइज
131,ऑफिस सप्लाइज > पेपर प्रॉडक्ट्स
132,ऑफिस सप्लाइज
133,संगीत वाद्ये > प्रो ऑडिओ उपकरणे
