category_id,category
1,ikel u xorb > ikel > soups & broths
2,ikel u xorb > ikel > nuts & seeds
3,ikel u xorb > ikel > snacks & chips
4,ikel u xorb > ikel > meat substitutes
5,ikel u xorb > ikel > spices & seasonings
6,ikel u xorb > ikel > pasta & grains
7,ikel u xorb > ikel > prepared food & meal kits
8,ikel u xorb > ikel > candy & chocolate
9,ikel u xorb > ikel > dips & spreads
10,ikel u xorb > ikel > meat & seafood
11,ikel u xorb > ikel > bakery & bread
12,ikel u xorb > ikel > condiments & sauces
13,"ikel u xorb > ikel > dairy, eggs & cheese"
14,ikel u xorb > ikel > frozen food
15,ikel u xorb > ikel > baking ingredients
16,ikel u xorb > ikel > fruits & vegetables
17,ikel u xorb > ikel > breakfast & cereal
18,ikel u xorb > ikel
19,ikel u xorb > beverages > sports & energy drinks
20,ikel u xorb > beverages > juice
21,ikel u xorb > beverages > powdered beverage mixes
22,ikel u xorb > beverages > soda
23,ikel u xorb > beverages > water
24,ikel u xorb > beverages > kafè u te
25,ikel u xorb > beverages > alcoholic beverages
26,ikel u xorb > beverages > milk
27,ikel u xorb > beverages
28,ikel u xorb
29,Ġugarelli u logħob > Ġugarelli għal barra
30,Ġugarelli u logħob > soft toys u Ġugarelli tal-filpa
31,Ġugarelli u logħob > logħob > logħob fejn wieħed jilgħab parti
32,Ġugarelli u logħob > logħob > Ċess
33,Ġugarelli u logħob > logħob > logħob bil-minjaturi u tal-gwerra
34,Ġugarelli u logħob > logħob > logħob bid-dadi
35,Ġugarelli u logħob > logħob > tile games
36,Ġugarelli u logħob > logħob > logħob tal-karti
37,Ġugarelli u logħob > logħob > logħob tad-desterità
38,Ġugarelli u logħob > logħob > logħob li jintlagħbu fuq il-bords
39,Ġugarelli u logħob > logħob
40,Ġugarelli u logħob > puzzles
41,Ġugarelli u logħob > Ġugarelli għall-irkib
42,Ġugarelli u logħob > pretend play
43,Ġugarelli u logħob > vetturi tal-logħob
44,Ġugarelli u logħob > Ġugarelli kkontrollati mill-bogħod
45,Ġugarelli u logħob > Ġugarelli edukattivi
46,Ġugarelli u logħob > pupi u djar tal-pupi
47,Ġugarelli u logħob > Ġugarelli tal-kostruzzjoni
48,Ġugarelli u logħob > figuri tal-azzjoni
49,Ġugarelli u logħob > logħob elettroniku
50,Ġugarelli u logħob
51,titjib tad-dar > tisħin u tkessiħ fid-dar
52,titjib tad-dar > provvisti u hardward tal-kostruzzjoni
53,titjib tad-dar > plaming u installazzjonijiet tal-kamra tal-banju
54,titjib tad-dar > għodda > slielem u scaffolding
55,titjib tad-dar > għodda > għodda għall-pittura
56,titjib tad-dar > għodda > għodda tal-elettriku
57,titjib tad-dar > għodda > għodda tal-kejl u sensers
58,titjib tad-dar > għodda > għodda tal-arja
59,titjib tad-dar > għodda > għodda tal-idejn
60,titjib tad-dar > għodda
61,titjib tad-dar
62,oġġetti sportivi > tagħmir tal-isports > roller hockey u hockey fuq is-silġ
63,oġġetti sportivi > tagħmir tal-isports > rugby
64,oġġetti sportivi > tagħmir tal-isports > tennis u sports tar-rakketta
65,oġġetti sportivi > tagħmir tal-isports > volleyball
66,oġġetti sportivi > tagħmir tal-isports > golf
67,oġġetti sportivi > tagħmir tal-isports > soccer
68,oġġetti sportivi > tagħmir tal-isports > football
69,oġġetti sportivi > tagħmir tal-isports > track & field
70,oġġetti sportivi > tagħmir tal-isports > cricket
71,oġġetti sportivi > tagħmir tal-isports > hockey fil-grawnd u lacrosse
72,oġġetti sportivi > tagħmir tal-isports > boxing u arti marzjali
73,oġġetti sportivi > tagħmir tal-isports > dance & gymnastics
