category_id,category
1,mat og drikke > mat > suppe og buljong
2,mat og drikke > mat > nøtter og frø
3,mat og drikke > mat > snacks og chips
4,mat og drikke > mat > kjøtterstatninger
5,mat og drikke > mat > krydder
6,mat og drikke > mat > pasta og korn
7,mat og drikke > mat > tilberedt mat og måltidspakker
8,mat og drikke > mat > godterier og sjokolade
9,mat og drikke > mat > dipp og smørepålegg
10,mat og drikke > mat > kjøtt og sjømat
11,mat og drikke > mat > bakeri og brød
12,mat og drikke > mat > sauser og tilbehør
13,mat og drikke > mat > meierivarer og egg
14,mat og drikke > mat > frossenmat
15,mat og drikke > mat > bakeingredienser
16,mat og drikke > mat > frukt og grønnsaker
17,mat og drikke > mat > frokostblanding
18,mat og drikke > mat
19,mat og drikke > drikkevarer > sports- og energidrikker
20,mat og drikke > drikkevarer > juice
21,mat og drikke > drikkevarer > pulverdrikker
22,mat og drikke > drikkevarer > mineralvann
23,mat og drikke > drikkevarer > vann
24,mat og drikke > drikkevarer > kaffe og te
25,mat og drikke > drikkevarer > alkoholholdige drikker
26,mat og drikke > drikkevarer > melk
27,mat og drikke > drikkevarer
28,mat og drikke
29,leker og spill > utendørsleker
30,leker og spill > teddybjørner og kosedyr
31,leker og spill > spill > rollespill
32,leker og spill > spill > sjakk
33,leker og spill > spill > miniatyrspill og krigsspill
34,leker og spill > spill > terningspill
35,leker og spill > spill > brikkespill
36,leker og spill > spill > kortspill
37,leker og spill > spill > fingerferdighetsspill
38,leker og spill > spill > brettspill
39,leker og spill > spill
40,leker og spill > puslespill
41,leker og spill > rideleketøy
42,leker og spill > fantasileker
43,leker og spill > lekebiler
44,leker og spill > fjernstyrte leketøy
45,leker og spill > pedagogiske leker
46,leker og spill > dukker og dukkehus
47,leker og spill > byggeleker
48,leker og spill > actionfigurer
49,leker og spill > elektroniske leker
50,leker og spill
51,interiør og oppussing > oppvarming og kjøling i hjemmet
52,interiør og oppussing > bygningsutstyr og jernvare
53,interiør og oppussing > vvs-armaturer
54,interiør og oppussing > verktøy > stiger og stillaser
55,interiør og oppussing > verktøy > maleverktøy
56,interiør og oppussing > verktøy > elektroverktøy
57,interiør og oppussing > verktøy > måleverktøy og -sensorer
58,interiør og oppussing > verktøy > luftverktøy
59,interiør og oppussing > verktøy > håndverktøy
60,interiør og oppussing > verktøy
61,interiør og oppussing
62,sportsutstyr > sportsutstyr > ishockey og rullehockey
63,sportsutstyr > sportsutstyr > rugby
64,sportsutstyr > sportsutstyr > tennis- og racketsport
65,sportsutstyr > sportsutstyr > volleyball
66,sportsutstyr > sportsutstyr > golf
67,sportsutstyr > sportsutstyr > fotball
68,sportsutstyr > sportsutstyr > amerikansk fotball
69,sportsutstyr > sportsutstyr > friidrett
70,sportsutstyr > sportsutstyr > cricket
71,sportsutstyr > sportsutstyr > landhockey og lacrosse
72,sportsutstyr > sportsutstyr > boksing og kampsport
73,sportsutstyr > sportsutstyr > dans og turn
74,sportsutstyr > sportsutstyr > baseball og softball
75,sportsutstyr > sportsutstyr > basketball
76,sportsutstyr > sportsutstyr
77,sportsutstyr > trening og fitness > yoga og pilates
78,sportsutstyr > trening og fitness > kondisjonsutstyr
79,sportsutstyr > trening og fitness > vektløftingsutstyr
80,sportsutstyr > trening og fitness
81,sportsutstyr > innendørsspill
82,sportsutstyr > friluftsliv > fiske
83,sportsutstyr > friluftsliv > vannsport og båtliv
84,sportsutstyr > friluftsliv > skateboard
85,sportsutstyr > friluftsliv > utendørsspill
86,sportsutstyr > friluftsliv > sykling
87,sportsutstyr > friluftsliv > vintersport
88,sportsutstyr > friluftsliv > klatring
89,sportsutstyr > friluftsliv > inline- og rulleskøyter
90,sportsutstyr > friluftsliv > camping- og fotturer
91,sportsutstyr > friluftsliv
92,sportsutstyr
93,kjæledyrutstyr > dyrebur og transportkasser
94,kjæledyrutstyr > utstyr til pleie av kjæledyr
95,kjæledyrutstyr > utstyr for små kjæledyr
96,kjæledyrutstyr > kjæledyrmating og vanningsutstyr
97,kjæledyrutstyr > utstyr til krypdyr og amfibier
98,"kjæledyrutstyr > halsbånd, seler og bånd til kjæledyr"
99,kjæledyrutstyr > trinn og ramper til kjæledyr
100,kjæledyrutstyr > fuglemat og -tilbehør
101,kjæledyrutstyr > stell og pleie av kjæledyr
102,kjæledyrutstyr > senger og sengetøy til kjæledyr
103,kjæledyrutstyr > fiskemat og -tilbehør
104,kjæledyrutstyr > kattemat og -tilbehør
105,kjæledyrutstyr > hundemat og -tilbehør
106,kjæledyrutstyr
107,terrasse og hage > vanningsutstyr
108,terrasse og hage > dammer og vanndekorasjoner
109,terrasse og hage > hagemaskiner
110,terrasse og hage > utendørsbelysning
111,terrasse og hage > grilling og utendørs matlaging
112,"terrasse og hage > planter, frø og løker"
113,terrasse og hage > utemøbler
114,terrasse og hage > svømmebasseng og spa
115,"terrasse og hage > plantestell, jord og tilbehør"
116,terrasse og hage > hagedekor
117,terrasse og hage > manuelle hageredskaper og -utstyr
118,terrasse og hage
119,kontorrekvisita > skriveutstyr
120,kontorrekvisita > presentasjons- og utstillingstavler
121,kontorrekvisita > stifte- og hullemaskiner
122,kontorrekvisita > projektorer
123,kontorrekvisita > tape og klebemiddel
124,kontorrekvisita > arkivering og lagring
125,kontorrekvisita > klips og fester
126,kontorrekvisita > etiketter
127,kontorrekvisita > kalendere og planleggere
128,kontorrekvisita > permer og tilbehør
129,kontorrekvisita > kontorutstyr og maskiner
130,kontorrekvisita > brevutstyr
131,kontorrekvisita > papirprodukter
132,kontorrekvisita
133,musikkinstrumenter > profesjonelt lydutstyr
134,musikkinstrumenter > tilbehør til musikk
135,musikkinstrumenter > gitarer og bassgitarer
136,musikkinstrumenter > messinginstrumenter
137,musikkinstrumenter > trommer og slagverk
138,musikkinstrumenter > piano- og keyboardinstrumenter
139,musikkinstrumenter > treblåseinstrumenter
140,musikkinstrumenter > strengeinstrumenter
141,musikkinstrumenter
142,medier > aviser
143,medier > magasiner og kataloger
144,medier > bøker
145,medier > filmer og tv-serier
146,medier > musikk
147,medier
148,reise og bagasje > klesposer
149,reise og bagasje > reiseutstyr
150,reise og bagasje > håndvesker og lommebøker > lommebøker
151,reise og bagasje > håndvesker og lommebøker > vesker
152,reise og bagasje > håndvesker og lommebøker > skuldervesker
153,reise og bagasje > håndvesker og lommebøker > tote-vesker
154,reise og bagasje > håndvesker og lommebøker > skuldervesker
155,reise og bagasje > håndvesker og lommebøker > konvoluttvesker
156,reise og bagasje > håndvesker og lommebøker > beltevesker og magetasker
157,reise og bagasje > håndvesker og lommebøker
158,reise og bagasje > kofferter
159,reise og bagasje > tøybager og treningsbager
160,reise og bagasje > bagasjesett
161,reise og bagasje > dokumentmapper og bager til bærbare datamaskiner
162,reise og bagasje > ryggsekker
163,reise og bagasje
164,kunst og håndverk > hobbyartikler
165,kunst og håndverk > sømtjenester
166,kunst og håndverk > håndarbeid og garn
167,kunst og håndverk > perle- og smykkeproduksjon
168,kunst og håndverk > kunsttilbehør
169,kunst og håndverk
170,bildeler og tilbehør > deler og tilbehør til trailer
171,bildeler og tilbehør > deler og tilbehør til motorsport
172,bildeler og tilbehør > deler og tilbehør for bobil og campingvogn
173,bildeler og tilbehør > bildeler og -tilbehør
174,bildeler og tilbehør > båtdeler og -tilbehør
175,bildeler og tilbehør > mc-deler og tilbehør
176,bildeler og tilbehør > bilverktøy
177,bildeler og tilbehør
178,antikviteter og samlerobjekter > samlerobjekter innen sport
179,antikviteter og samlerobjekter > samlerobjekter innen interiør
180,antikviteter og samlerobjekter > samlerobjekter innen elektronikk
181,antikviteter og samlerobjekter > mynter og papirpenger som samlerobjekter
182,antikviteter og samlerobjekter > samlefrimerker
183,antikviteter og samlerobjekter > samlerobjekter innen møbler
184,antikviteter og samlerobjekter > samlerobjekter innen apparater
185,antikviteter og samlerobjekter > samlerobjekter innen leketøy
186,antikviteter og samlerobjekter
187,babyprodukter > babymat
188,babyprodukter > babytransport > bæreseler
189,babyprodukter > babytransport > sportsvogner og tilbehør
190,babyprodukter > babytransport > bilseter og tilbehør
191,babyprodukter > babytransport
192,babyprodukter > helse og sikkerhet for babyer
193,babyprodukter > babybad
194,babyprodukter > leker > aktivitetssentre og underholdere
195,babyprodukter > leker > babyleker
196,babyprodukter > leker
197,babyprodukter > bleier og pottetrening
198,babyprodukter > barnerom > sengesett til barnerom
199,babyprodukter > barnerom > interiør til barnerom
200,babyprodukter > barnerom > møbler til barnerom
201,babyprodukter > barnerom
202,babyprodukter
203,elektronikk > bærbar lyd og video
204,elektronikk > lyd og video til hjemmet
205,elektronikk > boligsikkerhet og automatisering
206,elektronikk > mobiltelefoner og smartklokker > mobiltelefoner
207,elektronikk > mobiltelefoner og smartklokker > tilbehør til mobiltelefon og smartklokke
208,elektronikk > mobiltelefoner og smartklokker > smartklokker
209,elektronikk > mobiltelefoner og smartklokker
210,elektronikk > projektorer
211,elektronikk > kameraer > kikkerter og teleskop
212,elektronikk > kameraer > filmkameraer
213,elektronikk > kameraer > kameratilbehør
214,elektronikk > kameraer > kameradroner
215,elektronikk > kameraer > digitale kameraer
216,elektronikk > kameraer > videokameraer
217,elektronikk > kameraer
218,elektronikk > tv-er og skjermer > tv-er
219,elektronikk > tv-er og skjermer > dataskjermer
220,elektronikk > tv-er og skjermer
221,elektronikk > programvare
222,elektronikk > skrivere og skannere
223,elektronikk > videospillkonsoller og videospill > videospilltilbehør
224,elektronikk > videospillkonsoller og videospill > videospillkonsoller
225,elektronikk > videospillkonsoller og videospill > videospill
226,elektronikk > videospillkonsoller og videospill
227,elektronikk > datamaskiner og nettbrett > nettbrett og lesebrett
228,elektronikk > datamaskiner og nettbrett > nettverk og servere
229,elektronikk > datamaskiner og nettbrett > datakomponenter og maskinvare
230,elektronikk > datamaskiner og nettbrett > bærbare datamaskiner
231,elektronikk > datamaskiner og nettbrett > datamaskiner
232,elektronikk > datamaskiner og nettbrett
233,elektronikk > tilbehør > datautstyr
234,elektronikk > tilbehør > batterier og strømforsyninger
235,elektronikk > tilbehør > tomt medie
236,"elektronikk > tilbehør > kabler, ladere og overganger"
237,elektronikk > tilbehør
238,elektronikk
239,helse og skjønnhet > helse > tannpleie
240,helse og skjønnhet > helse > førstehjelp
241,helse og skjønnhet > helse > intimpleie til kvinner
242,helse og skjønnhet > helse > tilbehør til briller og kontaktlinser
243,helse og skjønnhet > helse > massasje
244,helse og skjønnhet > helse > barbering og hårfjerning
245,helse og skjønnhet > helse
246,helse og skjønnhet > skjønnhet > hudpleie > selvbruningsolje og -krem
247,helse og skjønnhet > skjønnhet > hudpleie > leppepomade og pleiende leppestift
248,helse og skjønnhet > skjønnhet > hudpleie > ansiktsmasker og peeling
249,helse og skjønnhet > skjønnhet > hudpleie > skrubbemidler
250,helse og skjønnhet > skjønnhet > hudpleie > ansiktskrem og fuktighetskrem
251,helse og skjønnhet > skjønnhet > hudpleie > porerens
252,helse og skjønnhet > skjønnhet > hudpleie > nattbehandlinger
253,helse og skjønnhet > skjønnhet > hudpleie > solbeskyttelse
254,helse og skjønnhet > skjønnhet > hudpleie > børster og systemer til rensing av hud
255,helse og skjønnhet > skjønnhet > hudpleie > behandling av akne og blemmer
256,helse og skjønnhet > skjønnhet > hudpleie > rensemidler og tonere
257,helse og skjønnhet > skjønnhet > hudpleie
258,helse og skjønnhet > skjønnhet > neglpleie > pimpesteiner
259,helse og skjønnhet > skjønnhet > neglpleie > neglelakk og neglekunst
260,helse og skjønnhet > skjønnhet > neglpleie > negleredskaper
261,helse og skjønnhet > skjønnhet > neglpleie > løsnegler og tilbehør
262,helse og skjønnhet > skjønnhet > neglpleie
263,helse og skjønnhet > skjønnhet > sminke > utstyr og tilbehør til sminke
264,helse og skjønnhet > skjønnhet > sminke > leppesminke > lip-plumpere
265,helse og skjønnhet > skjønnhet > sminke > leppesminke > lipgloss
266,helse og skjønnhet > skjønnhet > sminke > leppesminke > liplinere
267,helse og skjønnhet > skjønnhet > sminke > leppesminke > leppemerker
268,helse og skjønnhet > skjønnhet > sminke > leppesminke > leppestift
269,helse og skjønnhet > skjønnhet > sminke > leppesminke
270,helse og skjønnhet > skjønnhet > sminke > sminkesett
271,helse og skjønnhet > skjønnhet > sminke > ansiktssminke > foundations
272,helse og skjønnhet > skjønnhet > sminke > ansiktssminke > ansiktspudder
273,helse og skjønnhet > skjønnhet > sminke > ansiktssminke > blushere
274,helse og skjønnhet > skjønnhet > sminke > ansiktssminke > solpudder og highlighter
275,helse og skjønnhet > skjønnhet > sminke > ansiktssminke > primere til ansikt
276,helse og skjønnhet > skjønnhet > sminke > ansiktssminke > concealere
277,"helse og skjønnhet > skjønnhet > sminke > ansiktssminke > bb, cc og alfabetkremer"
278,helse og skjønnhet > skjønnhet > sminke > ansiktssminke
279,helse og skjønnhet > skjønnhet > sminke > Øyesminke > Øyenbrynsprodukter
280,helse og skjønnhet > skjønnhet > sminke > Øyesminke > eyelinere
281,helse og skjønnhet > skjønnhet > sminke > Øyesminke > maskara
282,helse og skjønnhet > skjønnhet > sminke > Øyesminke > Øyenskygger
283,helse og skjønnhet > skjønnhet > sminke > Øyesminke > falske øyevipper og lim
284,helse og skjønnhet > skjønnhet > sminke > Øyesminke > primere til øye
285,helse og skjønnhet > skjønnhet > sminke > Øyesminke
286,helse og skjønnhet > skjønnhet > sminke
287,helse og skjønnhet > skjønnhet > hårpleie og -styling > sjampoer og balsamer
288,helse og skjønnhet > skjønnhet > hårpleie og -styling > hårruller
289,helse og skjønnhet > skjønnhet > hårpleie og -styling > rette- og krølltenger
290,helse og skjønnhet > skjønnhet > hårpleie og -styling > stylingprodukter
291,helse og skjønnhet > skjønnhet > hårpleie og -styling > håroljer og -beskyttelse
292,helse og skjønnhet > skjønnhet > hårpleie og -styling > hårstrikker og tilbehør til hårstyling
293,helse og skjønnhet > skjønnhet > hårpleie og -styling > frisørsakser
294,helse og skjønnhet > skjønnhet > hårpleie og -styling > hårfønere
295,helse og skjønnhet > skjønnhet > hårpleie og -styling > løshår og parykker
296,helse og skjønnhet > skjønnhet > hårpleie og -styling > børster og kammer
297,helse og skjønnhet > skjønnhet > hårpleie og -styling > hårfarging
298,helse og skjønnhet > skjønnhet > hårpleie og -styling
299,helse og skjønnhet > skjønnhet > parfymer > parfymer til menn
300,helse og skjønnhet > skjønnhet > parfymer > parfymer til damer
301,helse og skjønnhet > skjønnhet > parfymer > parfymer til barn
302,helse og skjønnhet > skjønnhet > parfymer
303,helse og skjønnhet > skjønnhet > bad og kropp > boblebad
304,helse og skjønnhet > skjønnhet > bad og kropp > badesalt
305,helse og skjønnhet > skjønnhet > bad og kropp > fuktighetskremer til kroppen
306,helse og skjønnhet > skjønnhet > bad og kropp > kroppsvask og såper
307,helse og skjønnhet > skjønnhet > bad og kropp > svamper og børster
308,helse og skjønnhet > skjønnhet > bad og kropp > skrubb og eksfoliering
309,helse og skjønnhet > skjønnhet > bad og kropp > badeoljer
310,helse og skjønnhet > skjønnhet > bad og kropp > badebomber
311,helse og skjønnhet > skjønnhet > bad og kropp
312,helse og skjønnhet > skjønnhet
313,helse og skjønnhet
314,smykker og klokker > klokker > tilbehør til klokke
315,smykker og klokker > klokker > barneklokker
316,smykker og klokker > klokker > klokker til menn
317,smykker og klokker > klokker > klokker til damer
318,smykker og klokker > klokker
319,smykker og klokker > smykker > ringer
320,smykker og klokker > smykker > halskjeder
321,smykker og klokker > smykker > smykkesett
322,smykker og klokker > smykker > pins og brosjer
323,smykker og klokker > smykker > ankelkjeder
324,smykker og klokker > smykker > utsmykninger
325,smykker og klokker > smykker > Øreringer
326,smykker og klokker > smykker > kroppssmykker
327,smykker og klokker > smykker > armbånd
328,smykker og klokker > smykker
329,smykker og klokker
330,bolig > rengjøringsmidler > rengjøringsmidler og kjemikalier
331,bolig > rengjøringsmidler > støvsugere og gulvrensemaskiner
332,bolig > rengjøringsmidler > utstyr til klesvask
333,bolig > rengjøringsmidler
334,bolig > store apparater > komfyrer og ovner
335,bolig > store apparater > kjøleskap og frysere
336,bolig > store apparater > vaskemaskiner og tørketromler
337,bolig > store apparater > mikrobølgeovner
