category_id,category
1,eten en drinken > eten > soep en bouillon
2,eten en drinken > eten > noten en zaden
3,eten en drinken > eten > snacks en chips
4,eten en drinken > eten > vleesvervangers
5,eten en drinken > eten > kruiden en kruidenmixen
6,eten en drinken > eten > pasta en granen
7,eten en drinken > eten > bereide maaltijden
8,eten en drinken > eten > snoep en chocolade
9,eten en drinken > eten > dips en spreads
10,eten en drinken > eten > vlees en vis
11,eten en drinken > eten > bakkerij en brood
12,eten en drinken > eten > kruiden en sauzen
13,"eten en drinken > eten > melkproducten, eieren en kaas"
14,eten en drinken > eten > diepgevroren voedsel
15,eten en drinken > eten > ingrediënten voor bakken
16,eten en drinken > eten > groente en fruit
17,eten en drinken > eten > ontbijt en ontbijtgranen
18,eten en drinken > eten
19,eten en drinken > dranken > sport- en energiedranken
20,eten en drinken > dranken > sappen
21,eten en drinken > dranken > mixen voor poederdranken
22,eten en drinken > dranken > frisdrank
23,eten en drinken > dranken > water
24,eten en drinken > dranken > koffie en thee
25,eten en drinken > dranken > alcoholhoudende dranken
26,eten en drinken > dranken > melk
27,eten en drinken > dranken
28,eten en drinken
29,speelgoed en games > buitenspeelgoed
30,speelgoed en games > pluche dieren en speelgoed
31,speelgoed en games > games > rollenspellen
32,speelgoed en games > games > schaken
33,speelgoed en games > games > miniaturen en oorlogsspellen
34,speelgoed en games > games > dobbelspellen
35,speelgoed en games > games > tegelspellen
36,speelgoed en games > games > kaartspellen
37,speelgoed en games > games > behendigheidsspellen
38,speelgoed en games > games > bordspellen
39,speelgoed en games > games
40,speelgoed en games > puzzels
41,speelgoed en games > loopwagentjes (speelgoed)
42,speelgoed en games > speelgoed om 'te doen alsof'
43,speelgoed en games > speelgoedauto's
44,speelgoed en games > afstandbestuurbaar speelgoed
45,speelgoed en games > educatief speelgoed
46,speelgoed en games > poppen en poppenhuizen
47,speelgoed en games > bouwspeelgoed
48,speelgoed en games > actiefiguren
49,speelgoed en games > elektronisch speelgoed
50,speelgoed en games
51,verbouwingen > verwarming en koeling in huis
52,verbouwingen > bouwbenodigdheden en gereedschappen
53,verbouwingen > sanitair
54,verbouwingen > hulpprogramma's > ladders en steigers
55,verbouwingen > hulpprogramma's > schildergereedschap
56,verbouwingen > hulpprogramma's > elektrisch gereedschap
57,verbouwingen > hulpprogramma's > meetgereedschap en -sensoren
58,verbouwingen > hulpprogramma's > luchtgereedschap
59,verbouwingen > hulpprogramma's > handgereedschap
60,verbouwingen > hulpprogramma's
61,verbouwingen
62,sportartikelen > sportuitrusting > ijs- en rolschaatshockey
63,sportartikelen > sportuitrusting > rugby
64,sportartikelen > sportuitrusting > tennis en racketsporten
65,sportartikelen > sportuitrusting > volleybal
66,sportartikelen > sportuitrusting > golf
67,sportartikelen > sportuitrusting > voetbal
68,sportartikelen > sportuitrusting > football
69,sportartikelen > sportuitrusting > atletiek
70,sportartikelen > sportuitrusting > cricket
71,sportartikelen > sportuitrusting > hockey en lacrosse
72,sportartikelen > sportuitrusting > boksen en vechtsporten
73,sportartikelen > sportuitrusting > dans en gymnastiek
74,sportartikelen > sportuitrusting > honkbal en softbal
75,sportartikelen > sportuitrusting > basketbal
76,sportartikelen > sportuitrusting
77,sportartikelen > sport en fitness > yoga en pilates
78,sportartikelen > sport en fitness > cardioapparaten
79,sportartikelen > sport en fitness > apparatuur voor gewichtheffen
80,sportartikelen > sport en fitness
81,sportartikelen > spellen om binnen te spelen
82,sportartikelen > openluchtrecreatie > hengelsport
83,sportartikelen > openluchtrecreatie > watersport en boten
84,sportartikelen > openluchtrecreatie > skateboarden
85,sportartikelen > openluchtrecreatie > buitenspellen
86,sportartikelen > openluchtrecreatie > fietsen
87,sportartikelen > openluchtrecreatie > wintersport
88,sportartikelen > openluchtrecreatie > klimmen
89,sportartikelen > openluchtrecreatie > inlineskaten en rolschaatsen
90,sportartikelen > openluchtrecreatie > kamperen en hiken
91,sportartikelen > openluchtrecreatie
92,sportartikelen
93,artikelen voor huisdieren > reismanden en benches voor huisdieren
94,artikelen voor huisdieren > artikelen voor huisdierenverzorging
95,artikelen voor huisdieren > artikelen voor kleine dieren
96,artikelen voor huisdieren > eet- en drinkbenodigdheden voor huisdieren
97,artikelen voor huisdieren > artikelen voor reptielen en amfibieën
98,"artikelen voor huisdieren > halsbanden, tuigjes en riemen voor huisdieren"
99,artikelen voor huisdieren > trappen voor huisdieren
100,artikelen voor huisdieren > benodigdheden voor vogels
101,artikelen voor huisdieren > huisdierenzorg en -gezondheid
102,artikelen voor huisdieren > bedden en strooisel voor dieren
103,artikelen voor huisdieren > benodigdheden voor vissen
104,artikelen voor huisdieren > benodigdheden voor katten
105,artikelen voor huisdieren > benodigdheden voor honden
106,artikelen voor huisdieren
107,veranda en tuin > bewateringsapparatuur
108,veranda en tuin > vijvers en waterpartijen
109,veranda en tuin > elektrische apparaten voor buiten
110,veranda en tuin > buitenverlichting
111,veranda en tuin > barbecues en buitenkeukens
112,"veranda en tuin > planten, zaden en bloembollen"
113,veranda en tuin > tuinmeubelen
114,veranda en tuin > zwembaden en spa's
115,"veranda en tuin > plantverzorging, grond en accessoires"
116,veranda en tuin > tuindecoratie
117,veranda en tuin > handgereedschap en apparatuur voor tuinieren
118,veranda en tuin
119,kantoorbenodigdheden > schijfgerei
120,kantoorbenodigdheden > presentatie- en informatieborden
121,kantoorbenodigdheden > niet- en perforeermachines
122,kantoorbenodigdheden > projectoren
123,kantoorbenodigdheden > tape en plakproducten
124,kantoorbenodigdheden > archiveren en opslag
125,kantoorbenodigdheden > clips en sluitingen
126,kantoorbenodigdheden > labels
127,kantoorbenodigdheden > kalenders en planners
128,kantoorbenodigdheden > mappen en accessoires
129,kantoorbenodigdheden > kantoorapparatuur en -machines
130,kantoorbenodigdheden > benodigdheden voor postverzending
131,kantoorbenodigdheden > papierproducten
132,kantoorbenodigdheden
133,muziekinstrumenten > professionele audioapparatuur
134,muziekinstrumenten > muziekaccessoires
135,muziekinstrumenten > gitaren en basgitaren
136,muziekinstrumenten > koperblaasinstrumenten
137,muziekinstrumenten > drum- en percussie-instrumenten
138,muziekinstrumenten > piano's en keyboards
139,muziekinstrumenten > houtblaasinstrumenten
140,muziekinstrumenten > snaarinstrumenten
141,muziekinstrumenten
142,media > kranten
143,media > tijdschriften en catalogi
144,media > boeken
145,media > films en tv-series
146,media > muziek
147,media
148,reizen en bagage > kledingtassen
149,reizen en bagage > reisaccessoires
150,reizen en bagage > handtassen en portemonnees > portemonnees
151,reizen en bagage > handtassen en portemonnees > boekentassen
152,reizen en bagage > handtassen en portemonnees > crossbodytassen
153,reizen en bagage > handtassen en portemonnees > totes
154,reizen en bagage > handtassen en portemonnees > schoudertassen
155,reizen en bagage > handtassen en portemonnees > clutches
156,reizen en bagage > handtassen en portemonnees > riem- en heuptassen
157,reizen en bagage > handtassen en portemonnees
158,reizen en bagage > koffers
159,reizen en bagage > sporttassen
160,reizen en bagage > bagagesets
161,reizen en bagage > aktetassen en laptoptassen
162,reizen en bagage > rugzakken
163,reizen en bagage
164,kunst en handwerk > hobbyartikelen
165,kunst en handwerk > naaien
166,kunst en handwerk > handwerken en garen
167,kunst en handwerk > kralen en sieraden maken
168,kunst en handwerk > kunstenaarsbenodigdheden
169,kunst en handwerk
170,auto-onderdelen en -accessoires > traileronderdelen en -accessoires
171,auto-onderdelen en -accessoires > onderdelen en accessoires voor powersports
172,auto-onderdelen en -accessoires > onderdelen en accessoires voor recreatievoertuigen en campers
173,auto-onderdelen en -accessoires > auto-onderdelen en -accessoires
174,auto-onderdelen en -accessoires > bootonderdelen en accessoires
175,auto-onderdelen en -accessoires > motoronderdelen en -accessoires
176,auto-onderdelen en -accessoires > autogereedschap
177,auto-onderdelen en -accessoires
178,antiek en verzamelitems > verzamelbare sportmemorabilia
