category_id,category
1,Żywność i napoje > jedzenie > zupy i rosoły
2,Żywność i napoje > jedzenie > orzechy i ziarna
3,Żywność i napoje > jedzenie > czipsy i przekąski
4,Żywność i napoje > jedzenie > substytuty mięsa
5,Żywność i napoje > jedzenie > przyprawy i wzmacniacze smaku
6,Żywność i napoje > jedzenie > makarony i ziarna
7,Żywność i napoje > jedzenie > przyrządzona żywność i zestawy posiłków
8,Żywność i napoje > jedzenie > słodycze i czekolada
9,Żywność i napoje > jedzenie > dipy i smarowidła
10,Żywność i napoje > jedzenie > mięso i owoce morza
11,Żywność i napoje > jedzenie > pieczywo i wypieki
12,Żywność i napoje > jedzenie > przyprawy i sosy
13,"Żywność i napoje > jedzenie > nabiał, jaja i sery"
14,Żywność i napoje > jedzenie > mrożona żywność
15,Żywność i napoje > jedzenie > składniki do pieczenia
16,Żywność i napoje > jedzenie > owoce i warzywa
17,Żywność i napoje > jedzenie > płatki i artykuły śniadaniowe
18,Żywność i napoje > jedzenie
19,Żywność i napoje > napoje > napoje izotoniczne i energetyzujące
20,Żywność i napoje > napoje > soki
21,Żywność i napoje > napoje > napoje w proszku
22,Żywność i napoje > napoje > napoje gazowane
23,Żywność i napoje > napoje > woda
24,Żywność i napoje > napoje > kawa i herbata
25,Żywność i napoje > napoje > napoje alkoholowe
26,Żywność i napoje > napoje > mleko
27,Żywność i napoje > napoje
28,Żywność i napoje
29,zabawki i gry > zabawki zewnętrzne
30,zabawki i gry > wypychane zwierzęta i zabawki pluszowe
31,zabawki i gry > gry > gry rpg
32,zabawki i gry > gry > szachy
33,zabawki i gry > gry > gry bitewne i wojenne
34,zabawki i gry > gry > gry w kości
35,zabawki i gry > gry > gry z żetonami
36,zabawki i gry > gry > gry karciane
37,zabawki i gry > gry > gry zręcznościowe
38,zabawki i gry > gry > gry planszowe
39,zabawki i gry > gry
40,zabawki i gry > Łamigłówki
41,zabawki i gry > zabawki do jeżdżenia
42,zabawki i gry > zabawa przez imitację
43,zabawki i gry > samochodziki
44,zabawki i gry > zabawki zdalnie sterowane
45,zabawki i gry > zabawki edukacyjne
46,zabawki i gry > lalki i domki dla lalek
47,zabawki i gry > zabawki do budowania
48,zabawki i gry > figurki kolekcjonerskie
49,zabawki i gry > zabawki elektroniczne
50,zabawki i gry
