category_id,category
1,comida e bebida > comida > sopas e caldos
2,comida e bebida > comida > nozes e sementes
3,comida e bebida > comida > petiscos e batatinhas chips
4,comida e bebida > comida > substitutos para carne
5,comida e bebida > comida > especiarias e temperos
6,comida e bebida > comida > massa e grãos
7,comida e bebida > comida > kits de carne e comida pronta
8,comida e bebida > comida > balas e chocolates
9,comida e bebida > comida > molhos e pastas
10,comida e bebida > comida > carne e frutos do mar
11,comida e bebida > comida > padaria e pão
12,comida e bebida > comida > condimentos e molhos
13,"comida e bebida > comida > laticínios, ovos e queijo"
14,comida e bebida > comida > comida congelada
15,comida e bebida > comida > ingredientes para panificação e confeitaria
16,comida e bebida > comida > frutas e vegetais
17,comida e bebida > comida > café da manhã e cereais
18,comida e bebida > comida
19,comida e bebida > bebidas > bebidas esportivas e energéticas
20,comida e bebida > bebidas > suco
21,comida e bebida > bebidas > misturas para bebidas em pó
22,comida e bebida > bebidas > refrigerante
23,comida e bebida > bebidas > Água
24,comida e bebida > bebidas > café e chá
25,comida e bebida > bebidas > bebidas alcoólicas
26,comida e bebida > bebidas > leite
27,comida e bebida > bebidas
28,comida e bebida
29,brinquedos e jogos > brinquedos para ambiente externo
30,brinquedos e jogos > bichos de pelúcia e brinquedos de pelúcia
31,brinquedos e jogos > jogos > jogos de rpg
32,brinquedos e jogos > jogos > xadrez
33,brinquedos e jogos > jogos > jogos de guerra e miniaturas
34,brinquedos e jogos > jogos > jogos de dados
35,brinquedos e jogos > jogos > jogos com peças
36,brinquedos e jogos > jogos > jogos de cartas
37,brinquedos e jogos > jogos > jogos de destreza
38,brinquedos e jogos > jogos > jogos de tabuleiro
39,brinquedos e jogos > jogos
40,brinquedos e jogos > quebra-cabeças
41,brinquedos e jogos > brinquedos de andar
42,brinquedos e jogos > faz de conta
43,brinquedos e jogos > veículos de brinquedo
44,brinquedos e jogos > brinquedos de controle remoto
45,brinquedos e jogos > brinquedos educativos
46,brinquedos e jogos > bonecas e casas de boneca
47,brinquedos e jogos > brinquedos de montar
48,brinquedos e jogos > bonecos de ação
49,brinquedos e jogos > brinquedos eletrônicos
50,brinquedos e jogos
51,reforma residencial > aquecimento e refrigeração domésticos
52,reforma residencial > materiais de construção e ferragens
53,reforma residencial > instalações de encanamento
54,reforma residencial > ferramentas > escadas e andaimes
55,reforma residencial > ferramentas > ferramentas de pintura
56,reforma residencial > ferramentas > ferramentas elétricas
57,reforma residencial > ferramentas > ferramentas e sensores de medição
58,reforma residencial > ferramentas > ferramentas pneumáticas
59,reforma residencial > ferramentas > ferramentas manuais
60,reforma residencial > ferramentas
61,reforma residencial
62,artigos esportivos > equipamento esportivo > hóquei no gelo e em linha
63,artigos esportivos > equipamento esportivo > rúgbi
64,artigos esportivos > equipamento esportivo > esportes de tênis e raquetes
65,artigos esportivos > equipamento esportivo > voleibol
66,artigos esportivos > equipamento esportivo > golfe
67,artigos esportivos > equipamento esportivo > futebol
68,artigos esportivos > equipamento esportivo > futebol americano
69,artigos esportivos > equipamento esportivo > atletismo
70,artigos esportivos > equipamento esportivo > cricket
71,artigos esportivos > equipamento esportivo > hóquei de campo e lacrosse
72,artigos esportivos > equipamento esportivo > boxe e artes marciais
73,artigos esportivos > equipamento esportivo > dança e ginástica
74,artigos esportivos > equipamento esportivo > beisebol e softbol
75,artigos esportivos > equipamento esportivo > basquete
76,artigos esportivos > equipamento esportivo
77,artigos esportivos > exercício e fitness > ioga e pilates
78,artigos esportivos > exercício e fitness > equipamento para exercícios aeróbicos
79,artigos esportivos > exercício e fitness > equipamento para levantamento de peso
80,artigos esportivos > exercício e fitness
81,artigos esportivos > jogos para ambientes fechados
82,artigos esportivos > recreação ao ar livre > pescaria
83,artigos esportivos > recreação ao ar livre > esportes aquáticos e canoagem
84,artigos esportivos > recreação ao ar livre > skate
85,artigos esportivos > recreação ao ar livre > jogos para ambientes externos
86,artigos esportivos > recreação ao ar livre > ciclismo
87,artigos esportivos > recreação ao ar livre > esportes de inverno
88,artigos esportivos > recreação ao ar livre > escalada
89,artigos esportivos > recreação ao ar livre > patins inline e de 4 rodas
90,artigos esportivos > recreação ao ar livre > camping e trilha
91,artigos esportivos > recreação ao ar livre
92,artigos esportivos
93,artigos para animais de estimação > artigos para transporte e contenção de animais de estimação
94,artigos para animais de estimação > produtos de beleza para animais de estimação
95,artigos para animais de estimação > pequenos suprimentos para animais
96,artigos para animais de estimação > suprimentos para alimentação e fornecimento de água para animais de estimação
97,artigos para animais de estimação > suprimentos para répteis e anfíbios
98,"artigos para animais de estimação > coleiras, arreios e trelas para animais de estimação"
99,artigos para animais de estimação > degraus e rampas para animais de estimação
100,artigos para animais de estimação > suprimentos para pássaros
101,artigos para animais de estimação > saúde e cuidados de animais de estimação
102,artigos para animais de estimação > camas para animais de estimação
103,artigos para animais de estimação > suprimentos para peixes
104,artigos para animais de estimação > suprimentos para gatos
105,artigos para animais de estimação > suprimentos para cães
106,artigos para animais de estimação
107,pátio e jardim > equipamento de rega
