category_id,category
1,mâncare şi băuturi > mâncare > supe şi bulioane
2,mâncare şi băuturi > mâncare > nuci şi seminţe
3,mâncare şi băuturi > mâncare > gustări şi chipsuri
4,mâncare şi băuturi > mâncare > alternative pentru carne
5,mâncare şi băuturi > mâncare > condimente si asezonare
6,mâncare şi băuturi > mâncare > paste şi cereale
7,mâncare şi băuturi > mâncare > mâncare gata preparată
8,mâncare şi băuturi > mâncare > bomboane şi ciocolată
9,mâncare şi băuturi > mâncare > sosuri şi creme tartinabile
10,mâncare şi băuturi > mâncare > carne şi fructe de mare
11,mâncare şi băuturi > mâncare > pâine şi produse de panificaţie
12,mâncare şi băuturi > mâncare > condimente şi sosuri
13,"mâncare şi băuturi > mâncare > lactate, ouă şi brânză"
14,mâncare şi băuturi > mâncare > mâncare îngheţată
15,mâncare şi băuturi > mâncare > ingrediente pentru patiserie
16,mâncare şi băuturi > mâncare > fructe şi legume
17,mâncare şi băuturi > mâncare > micul dejun şi cereale
18,mâncare şi băuturi > mâncare
19,mâncare şi băuturi > băuturi > băuturi energizante şi sportive
20,mâncare şi băuturi > băuturi > suc
21,mâncare şi băuturi > băuturi > băuturi energetice
22,mâncare şi băuturi > băuturi > sifon
23,mâncare şi băuturi > băuturi > apă
24,mâncare şi băuturi > băuturi > cafea şi ceai
25,mâncare şi băuturi > băuturi > băuturi alcoolice
26,mâncare şi băuturi > băuturi > lapte
27,mâncare şi băuturi > băuturi
28,mâncare şi băuturi
29,jucării şi jocuri > jucării pentru exterior
30,jucării şi jocuri > animale de pluş
31,jucării şi jocuri > jocuri > jocuri de rol
32,jucării şi jocuri > jocuri > Şah
33,jucării şi jocuri > jocuri > miniaturi şi jocuri de război
34,jucării şi jocuri > jocuri > jocuri cu zaruri
35,jucării şi jocuri > jocuri > jocuri cu plăcuţe
36,jucării şi jocuri > jocuri > jocuri de cărţi
37,jucării şi jocuri > jocuri > jocuri de dexteritate
38,jucării şi jocuri > jocuri > jocuri de societate
39,jucării şi jocuri > jocuri
40,jucării şi jocuri > jocuri puzzle
41,jucării şi jocuri > jucării de călărit
42,jucării şi jocuri > jocuri de imitaţie
43,jucării şi jocuri > maşini de jucărie
44,jucării şi jocuri > jucării cu telecomandă
45,jucării şi jocuri > jucării educative
46,jucării şi jocuri > păpuşi şi case de păpuşi
47,jucării şi jocuri > jucării de construit
48,jucării şi jocuri > figurine de jucărie
49,jucării şi jocuri > jucării electronice
50,jucării şi jocuri
51,renovarea casei > Încălzire şi aer condiţionat pentru casă
52,renovarea casei > materiale şi echipamente pentru construcţii
53,renovarea casei > instalaţii şi piese sanitare
54,renovarea casei > unelte > scări şi schele
55,renovarea casei > unelte > unelte pentru pictură
56,renovarea casei > unelte > scule electrice
57,renovarea casei > unelte > instrumente şi senzori de măsurare
58,renovarea casei > unelte > scule pneumatice
59,renovarea casei > unelte > unelte de mână
60,renovarea casei > unelte
61,renovarea casei
62,articole sportive > echipament sportiv > hockey pe gheaţă şi pe patine cu rotile
63,articole sportive > echipament sportiv > rugbi
64,articole sportive > echipament sportiv > tenis şi sporturi cu racheta
65,articole sportive > echipament sportiv > volei
66,articole sportive > echipament sportiv > golf
67,articole sportive > echipament sportiv > fotbal
68,articole sportive > echipament sportiv > fotbal
69,articole sportive > echipament sportiv > atletism
70,articole sportive > echipament sportiv > cricket
71,articole sportive > echipament sportiv > hochei pe iarbă şi lacrosse
72,articole sportive > echipament sportiv > box şi arte marţiale
73,articole sportive > echipament sportiv > dans şi gimnastică
74,articole sportive > echipament sportiv > baseball şi softball
75,articole sportive > echipament sportiv > baschet
76,articole sportive > echipament sportiv
77,articole sportive > sport şi fitness > yoga şi pilates
78,articole sportive > sport şi fitness > echipament cardio
79,articole sportive > sport şi fitness > echipament pentru ridicare de greutăţi
80,articole sportive > sport şi fitness
81,articole sportive > jocuri de interior
82,articole sportive > recreaţie în aer liber > pescuit
83,articole sportive > recreaţie în aer liber > sporturi acvatice şi ambarcaţiuni
84,articole sportive > recreaţie în aer liber > skateboarding
85,articole sportive > recreaţie în aer liber > jocuri pentru exterior
86,articole sportive > recreaţie în aer liber > ciclism
87,articole sportive > recreaţie în aer liber > sporturi de iarnă
88,articole sportive > recreaţie în aer liber > căţărare
89,articole sportive > recreaţie în aer liber > role şi patine cu rotile
