category_id,category
1,Еда и напитки > Еда > Супы и бульоны
2,Еда и напитки > Еда > Орехи и семечки
3,Еда и напитки > Еда > Снеки и чипсы
4,Еда и напитки > Еда > Заменители мяса
5,Еда и напитки > Еда > Специи и приправы
6,Еда и напитки > Еда > Паста и крупы
7,Еда и напитки > Еда > Еда быстрого приготовления и кулинарные наборы
8,Еда и напитки > Еда > Конфеты и шоколад
9,Еда и напитки > Еда > Густые соусы
10,Еда и напитки > Еда > Мясо и морепродукты
11,Еда и напитки > Еда > Выпечка и хлеб
12,Еда и напитки > Еда > Заправки и соусы
13,"Еда и напитки > Еда > Молочные продукты, яйца и сыр"
14,Еда и напитки > Еда > Замороженные продукты
15,Еда и напитки > Еда > Ингридиенты для выпечки
16,Еда и напитки > Еда > Фрукты и овощи
17,Еда и напитки > Еда > Сухие завтраки
18,Еда и напитки > Еда
19,Еда и напитки > Напитки > Спортивные и энергетические напитки
20,Еда и напитки > Напитки > Сок
21,Еда и напитки > Напитки > Растворимые напитки
22,Еда и напитки > Напитки > Газированная вода
23,Еда и напитки > Напитки > Вода
24,Еда и напитки > Напитки > Кофе и чай
25,Еда и напитки > Напитки > Алкогольные напитки
26,Еда и напитки > Напитки > Молоко
27,Еда и напитки > Напитки
28,Еда и напитки
29,Игрушки и игры > Игрушки для улицы
30,Игрушки и игры > Мягкие игрушки
31,Игрушки и игры > Игры > Ролевые игры
32,Игрушки и игры > Игры > Шахматы
33,Игрушки и игры > Игры > Варгеймы с миниатюрами
34,Игрушки и игры > Игры > Игры в кости
35,Игрушки и игры > Игры > Игры с костяшками или костями
36,Игрушки и игры > Игры > Карточные игры
37,Игрушки и игры > Игры > Игры на ловкость рук
38,Игрушки и игры > Игры > Настольные игры
39,Игрушки и игры > Игры
40,Игрушки и игры > Головоломки
41,Игрушки и игры > Игрушки для катания
42,Игрушки и игры > Игрушки для сюжетно-ролевых игр
43,Игрушки и игры > Игрушечные автомобили
44,Игрушки и игры > Радиоуправляемые игрушки
45,Игрушки и игры > Обучающие игрушки
46,Игрушки и игры > Куклы и кукольные домики
47,Игрушки и игры > Конструкторы
48,Игрушки и игры > Игрушечные фигурки
49,Игрушки и игры > Электронные игрушки
50,Игрушки и игры
51,Обустройство дома > Отопление и кондиционирование
52,Обустройство дома > Строительные материалы и детали
53,Обустройство дома > Сантехника
