category_id,category
1,jedlo a nápoje > jedlo > polievky a vývary
2,jedlo a nápoje > jedlo > oriešky a semienka
3,jedlo a nápoje > jedlo > pochúťky a čipsy
4,jedlo a nápoje > jedlo > náhrady mäsa
5,jedlo a nápoje > jedlo > koreniny a dochucovadlá
6,jedlo a nápoje > jedlo > cestoviny a obilniny
7,jedlo a nápoje > jedlo > hotové jedlá a balenia jedál
8,jedlo a nápoje > jedlo > sladkosti a čokoláda
9,jedlo a nápoje > jedlo > dipy a nátierky
10,jedlo a nápoje > jedlo > mäso a plody mora
11,jedlo a nápoje > jedlo > pečivo a chlieb
12,jedlo a nápoje > jedlo > dochucovadlá a omáčky
13,"jedlo a nápoje > jedlo > mliečne výrobky, vajcia a syry"
14,jedlo a nápoje > jedlo > mrazené potraviny
15,jedlo a nápoje > jedlo > prísady na pečenie
16,jedlo a nápoje > jedlo > ovocie a zelenina
17,jedlo a nápoje > jedlo > raňajky a cereálie
18,jedlo a nápoje > jedlo
19,jedlo a nápoje > nápoje > Športové a energetické nápoje
20,jedlo a nápoje > nápoje > džúsy
21,jedlo a nápoje > nápoje > práškové zmesi na prípravu nápojov
22,jedlo a nápoje > nápoje > nealkoholické sýtené nápoje
23,jedlo a nápoje > nápoje > voda
24,jedlo a nápoje > nápoje > káva a čaj
25,jedlo a nápoje > nápoje > alkoholické nápoje
26,jedlo a nápoje > nápoje > mlieko
27,jedlo a nápoje > nápoje
28,jedlo a nápoje
29,hračky a hry > hračky do exteriéru
30,hračky a hry > plyšové hračky
31,hračky a hry > hry > hranie rolí
32,hračky a hry > hry > Šach
33,hračky a hry > hry > hry s miniatúrami a vojnové hry
34,hračky a hry > hry > kockové hry
35,hračky a hry > hry > dlaždicové hry
36,hračky a hry > hry > kartové hry
37,hračky a hry > hry > hry na rozvoj zručnosti
38,hračky a hry > hry > stolové hry
39,hračky a hry > hry
40,hračky a hry > puzzle
41,hračky a hry > hračky na vozenie
42,hračky a hry > napodobňovacie hry
43,hračky a hry > hračkárske autá
44,hračky a hry > hračky na diaľkové ovládanie
45,hračky a hry > vzdelávacie hračky
46,hračky a hry > bábiky a domčeky pre ne
47,hračky a hry > stavebnice
48,hračky a hry > akčné postavy
49,hračky a hry > elektronické hračky
50,hračky a hry
51,Úpravy bývania > kúrenie a chladenie v domácnosti
52,Úpravy bývania > stavebniny a železiarstvo
53,Úpravy bývania > inštalatérske pomôcky a armatúry
54,Úpravy bývania > náradie > rebríky a lešenia
55,Úpravy bývania > náradie > nástroje na maľovanie
56,Úpravy bývania > náradie > elektrické náradie
57,Úpravy bývania > náradie > meracie nástroje a snímače
58,Úpravy bývania > náradie > pneumatické náradie
59,Úpravy bývania > náradie > ručné náradie
60,Úpravy bývania > náradie
61,Úpravy bývania
62,Športové potreby > Športové vybavenie > Ľadový hokej a hokej na kolieskových korčuliach
63,Športové potreby > Športové vybavenie > rugby
64,Športové potreby > Športové vybavenie > tenis a raketové športy
65,Športové potreby > Športové vybavenie > volejbal
66,Športové potreby > Športové vybavenie > golf
67,Športové potreby > Športové vybavenie > futbal
68,Športové potreby > Športové vybavenie > futbal
69,Športové potreby > Športové vybavenie > Ľahká atletika
70,Športové potreby > Športové vybavenie > kriket
71,Športové potreby > Športové vybavenie > pozemný hokej a lakros
72,Športové potreby > Športové vybavenie > box a bojové umenia
73,Športové potreby > Športové vybavenie > tanec a gymnastika
74,Športové potreby > Športové vybavenie > bejzbal a softbal
75,Športové potreby > Športové vybavenie > basketbal
76,Športové potreby > Športové vybavenie
77,Športové potreby > cvičenie a fitness > joga a pilates
78,Športové potreby > cvičenie a fitness > vybavenie na kardio tréning
79,Športové potreby > cvičenie a fitness > vybavenie na vzpieranie
80,Športové potreby > cvičenie a fitness
81,Športové potreby > interiérové hry
82,Športové potreby > rekreácia v prírode > rybárstvo
83,Športové potreby > rekreácia v prírode > vodné športy a lode
84,Športové potreby > rekreácia v prírode > skateboarding
85,Športové potreby > rekreácia v prírode > hry v exteriéri
86,Športové potreby > rekreácia v prírode > cyklistika
87,Športové potreby > rekreácia v prírode > zimné športy
88,Športové potreby > rekreácia v prírode > lezenie
89,Športové potreby > rekreácia v prírode > inlajny a kolieskové korčule
90,Športové potreby > rekreácia v prírode > kempovanie a turistika
91,Športové potreby > rekreácia v prírode
92,Športové potreby
93,chovateľské potreby > zvieracie tašky a prepravky
94,chovateľské potreby > potreby pre psie salóny
95,chovateľské potreby > potreby pre malé zvieratá
96,chovateľské potreby > pomôcky na kŕmenie a napájanie zvierat
97,chovateľské potreby > potreby pre plazy a obojživelníky
98,"chovateľské potreby > obojky, postroje a vodítka"
99,chovateľské potreby > schodíky a rampy pre zvieratá
100,chovateľské potreby > potreby pre vtáky
101,chovateľské potreby > starostlivosť o zvieratá a ich zdravie
102,chovateľské potreby > pelechy a matrace pre zvieratá
103,chovateľské potreby > akvaristické potreby
104,chovateľské potreby > potreby pre mačky
105,chovateľské potreby > potreby pre psy
106,chovateľské potreby
107,terasa a záhrada > vybavenie na polievanie
108,terasa a záhrada > jazierka a vodné prvky
109,terasa a záhrada > vonkajšia technika
110,terasa a záhrada > exteriérové osvetlenie
111,terasa a záhrada > grilovanie a varenie vonku
112,"terasa a záhrada > rastliny, semienka a cibuľky"
113,terasa a záhrada > exteriérový nábytok
114,terasa a záhrada > bazény a wellness
115,"terasa a záhrada > starostlivosť o rastliny, pôda a príslušenstvo"
116,terasa a záhrada > záhradné dekorácie
117,terasa a záhrada > ručné záhradné náradie a vybavenie
118,terasa a záhrada
119,kancelárske potreby > písacie potreby
120,kancelárske potreby > prezentačné a výstavné panely
121,kancelárske potreby > zošívačky a dierovačky
122,kancelárske potreby > projektory
123,kancelárske potreby > lepiace pásky a lepidlá
124,kancelárske potreby > zakladače a úložné škatule
125,kancelárske potreby > spony a svorky
126,kancelárske potreby > Štítky
127,kancelárske potreby > kalendáry a plánovače
128,kancelárske potreby > viazače a príslušenstvo
129,kancelárske potreby > kancelárske vybavenie a prístroje
130,kancelárske potreby > poštové potreby
131,kancelárske potreby > papierové produkty
132,kancelárske potreby
133,hudobné nástroje > profesionálne audiovybavenie
134,hudobné nástroje > hudobné doplnky
135,hudobné nástroje > gitary a basgitary
136,hudobné nástroje > dychové nástroje
137,hudobné nástroje > bubny a perkusie
138,hudobné nástroje > klavíry a klávesy
139,hudobné nástroje > drevené dychové nástroje
140,hudobné nástroje > strunové nástroje
141,hudobné nástroje
142,médiá > noviny
143,médiá > Časopisy a katalógy
144,médiá > knihy
145,médiá > filmy a seriály
146,médiá > hudba
147,médiá
148,cestovné potreby a batožina > vaky na šaty
149,cestovné potreby a batožina > doplnky na cestovanie
150,cestovné potreby a batožina > kabelky a peňaženky > peňaženky
151,cestovné potreby a batožina > kabelky a peňaženky > Školské tašky
152,cestovné potreby a batožina > kabelky a peňaženky > kabelky crossbody
153,cestovné potreby a batožina > kabelky a peňaženky > taška tote
154,cestovné potreby a batožina > kabelky a peňaženky > kabelky
155,cestovné potreby a batožina > kabelky a peňaženky > listové kabelky
156,cestovné potreby a batožina > kabelky a peňaženky > Ľadvinky a tašky na opasok
157,cestovné potreby a batožina > kabelky a peňaženky
158,cestovné potreby a batožina > kufre
159,cestovné potreby a batožina > Športové tašky
160,cestovné potreby a batožina > súprava kufrov
