category_id,category
1,hrana in pijača > hrana > soups & broths
2,hrana in pijača > hrana > nuts & seeds
3,hrana in pijača > hrana > snacks & chips
4,hrana in pijača > hrana > meat substitutes
5,hrana in pijača > hrana > spices & seasonings
6,hrana in pijača > hrana > pasta & grains
7,hrana in pijača > hrana > prepared food & meal kits
8,hrana in pijača > hrana > candy & chocolate
9,hrana in pijača > hrana > dips & spreads
10,hrana in pijača > hrana > meat & seafood
11,hrana in pijača > hrana > bakery & bread
12,hrana in pijača > hrana > condiments & sauces
13,"hrana in pijača > hrana > dairy, eggs & cheese"
14,hrana in pijača > hrana > frozen food
15,hrana in pijača > hrana > baking ingredients
16,hrana in pijača > hrana > fruits & vegetables
17,hrana in pijača > hrana > breakfast & cereal
18,hrana in pijača > hrana
19,hrana in pijača > napitki > sports & energy drinks
20,hrana in pijača > napitki > juice
21,hrana in pijača > napitki > powdered beverage mixes
22,hrana in pijača > napitki > soda
23,hrana in pijača > napitki > voda
24,hrana in pijača > napitki > coffee & tea
25,hrana in pijača > napitki > alkoholne pijače
26,hrana in pijača > napitki > milk
27,hrana in pijača > napitki
28,hrana in pijača
29,igrače in igre > zunanja igrala
30,igrače in igre > plišaste igrače
31,igrače in igre > igre > igre igranja vlog
32,igrače in igre > igre > Šah
33,igrače in igre > igre > igre s figuricami/vojaške igre
34,igrače in igre > igre > igre s kockami
35,igrače in igre > igre > igre na osnovi ploščic
36,igrače in igre > igre > igre s kartami
37,igrače in igre > igre > spretnostne igre
38,igrače in igre > igre > družabne igre
39,igrače in igre > igre
40,igrače in igre > sestavljanke
41,igrače in igre > otroška vozila
42,igrače in igre > pretend play
43,igrače in igre > avtomobilčki za otroke
44,igrače in igre > igrače na daljinsko upravljanje
45,igrače in igre > izobraževalne igrače
46,igrače in igre > punčke in hišice za punčke
47,igrače in igre > igrače za sestavljanje
48,igrače in igre > akcijske figure
49,igrače in igre > elektronske igrače
50,igrače in igre
51,prenova doma > gretje in hlajenje doma
52,prenova doma > gradbeni pripomočki in material
53,prenova doma > kleparstvo in vodovodna napeljava
54,prenova doma > orodja > lestve in zidarski odri
55,prenova doma > orodja > slikarski pripomočki
56,prenova doma > orodja > električno orodje
57,prenova doma > orodja > merilna orodja in tipala
58,prenova doma > orodja > pnevmatsko orodje
59,prenova doma > orodja > ročno orodje
60,prenova doma > orodja
61,prenova doma
62,Športni izdelki > Športna oprema > hokej na ledu in travi
63,Športni izdelki > Športna oprema > ragbi
64,Športni izdelki > Športna oprema > tenis in športi z loparjem
65,Športni izdelki > Športna oprema > odbojka
66,Športni izdelki > Športna oprema > golf
67,Športni izdelki > Športna oprema > nogomet
68,Športni izdelki > Športna oprema > ameriški nogomet
69,Športni izdelki > Športna oprema > track & field
70,Športni izdelki > Športna oprema > kriket
71,Športni izdelki > Športna oprema > hokej na travi in lakros
72,Športni izdelki > Športna oprema > boks in borilne veščine
73,Športni izdelki > Športna oprema > dance & gymnastics
74,Športni izdelki > Športna oprema > bejzbol in softbol
75,Športni izdelki > Športna oprema > košarka
76,Športni izdelki > Športna oprema
77,Športni izdelki > vadba in fitnes > joga in pilates
78,Športni izdelki > vadba in fitnes > naprave za kardio vadbo
79,Športni izdelki > vadba in fitnes > oprema za dvigovanje uteži
80,Športni izdelki > vadba in fitnes
81,Športni izdelki > igre za notranje prostore
82,Športni izdelki > rekreacija na prostem > ribolov
83,Športni izdelki > rekreacija na prostem > vodni športi in čolnarjenje
84,Športni izdelki > rekreacija na prostem > rolkanje
85,Športni izdelki > rekreacija na prostem > igre na prostem
86,Športni izdelki > rekreacija na prostem > kolesarstvo
87,Športni izdelki > rekreacija na prostem > zimski športi
88,Športni izdelki > rekreacija na prostem > plezanje
89,Športni izdelki > rekreacija na prostem > rolerji za inline in rolanje
90,Športni izdelki > rekreacija na prostem > kampiranje in pohodništvo
91,Športni izdelki > rekreacija na prostem
92,Športni izdelki
93,izdelki za male živali > nosilci in izdelki za omejevanje gibanja hišnih ljubljenčkov
94,izdelki za male živali > izdelki za urejanje hišnih ljubljenčkov
95,izdelki za male živali > izdelki za male živali
96,izdelki za male živali > izdelki za hranjenje hišnih ljubljenčkov in napajalniki
97,izdelki za male živali > izdelki za plazilce in dvoživke
98,"izdelki za male živali > ovratniki, jermeni in povodci za hišne ljubljenčke"
99,izdelki za male živali > stopnice in klančine za hišne ljubljenčke
100,izdelki za male živali > pripomočki za ptice
101,izdelki za male živali > nega in zdravje hišnih ljubljenčkov
