category_id,category
1,mat och dryck > mat > soppor och buljong
2,mat och dryck > mat > nötter och frön
3,mat och dryck > mat > snacks och chips
4,mat och dryck > mat > köttsubstitut
5,mat och dryck > mat > kryddor och smaksättning
6,mat och dryck > mat > pasta och spannmål
7,mat och dryck > mat > färdigrätter och måltidskits
8,mat och dryck > mat > godis och choklad
9,mat och dryck > mat > dip och bredbart
10,"mat och dryck > mat > kött, fisk och skaldjur"
11,mat och dryck > mat > bröd och bakverk
12,mat och dryck > mat > kryddor och såser
13,"mat och dryck > mat > mejeriprodukter, ägg och ost"
14,mat och dryck > mat > frysvaror
15,mat och dryck > mat > bakartiklar
16,mat och dryck > mat > frukt och grönsaker
17,mat och dryck > mat > frukost och flingor
18,mat och dryck > mat
19,mat och dryck > dryck > sport- och energidrycker
20,mat och dryck > dryck > juice
21,mat och dryck > dryck > dryck i pulverform
22,mat och dryck > dryck > läsk
23,mat och dryck > dryck > vatten
24,mat och dryck > dryck > kaffe och te
25,mat och dryck > dryck > alkoholhaltiga drycker
26,mat och dryck > dryck > mjölk
27,mat och dryck > dryck
28,mat och dryck
29,leksaker och spel > utomhusleksaker
30,leksaker och spel > stoppade leksaksdjur och plyshleksaker
31,leksaker och spel > spel > rollspel
32,leksaker och spel > spel > schack
33,leksaker och spel > spel > miniatyr- och krigsspel
34,leksaker och spel > spel > tärningsspel
35,leksaker och spel > spel > brickspel
36,leksaker och spel > spel > kortspel
37,leksaker och spel > spel > skicklighetsspel
38,leksaker och spel > spel > brädspel
39,leksaker och spel > spel
40,leksaker och spel > pussel
41,leksaker och spel > ridleksaker
42,leksaker och spel > fantasilek
43,leksaker och spel > leksaksfordon
44,leksaker och spel > radiostyrda leksaker
45,leksaker och spel > pedagogiska leksaker
46,leksaker och spel > dockor och dockhus
47,leksaker och spel > byggleksaker
48,leksaker och spel > actionfigurer
49,leksaker och spel > elektroniska leksaker
50,leksaker och spel
51,renovering > hemuppvärmning och kylning
52,renovering > byggmaterial samt järnvaror och verktyg
53,renovering > vvs och armaturer
54,renovering > verktyg > stegar och byggnadsställningar
55,renovering > verktyg > målarverktyg
56,renovering > verktyg > drivverktyg
57,renovering > verktyg > mätverktyg och sensorer
58,renovering > verktyg > luftverktyg
59,renovering > verktyg > handverktyg
60,renovering > verktyg
61,renovering
62,sportutrustning > sportutrustning > is och landhockey
63,sportutrustning > sportutrustning > rugby
64,sportutrustning > sportutrustning > tennis och racketsporter
65,sportutrustning > sportutrustning > volleyboll
66,sportutrustning > sportutrustning > golf
67,sportutrustning > sportutrustning > fotboll
68,sportutrustning > sportutrustning > fotboll
69,sportutrustning > sportutrustning > friidrott
70,sportutrustning > sportutrustning > kricket
71,sportutrustning > sportutrustning > landhockey och lacrosse
72,sportutrustning > sportutrustning > boxning och kampsport
73,sportutrustning > sportutrustning > dans och gymnastik
74,sportutrustning > sportutrustning > baseboll och softboll
75,sportutrustning > sportutrustning > basketboll
76,sportutrustning > sportutrustning
77,sportutrustning > träning och fitness > yoga och pilates
78,sportutrustning > träning och fitness > kardioredskap
79,sportutrustning > träning och fitness > tyngdlyftningsutrustning
80,sportutrustning > träning och fitness
81,sportutrustning > inomhusspel
82,sportutrustning > utomhusaktiviteter > fiske
83,sportutrustning > utomhusaktiviteter > vattensport och båtliv
84,sportutrustning > utomhusaktiviteter > skateboardåkning
85,sportutrustning > utomhusaktiviteter > utomhusspel
86,sportutrustning > utomhusaktiviteter > cykling
87,sportutrustning > utomhusaktiviteter > vintersporter
88,sportutrustning > utomhusaktiviteter > klättring
89,sportutrustning > utomhusaktiviteter > inlines och rullskridskor
90,sportutrustning > utomhusaktiviteter > camping och vandring
91,sportutrustning > utomhusaktiviteter
92,sportutrustning
93,för husdjur > utrustning för att bära och stänga in husdjur
94,husdjurstillbehör > tillbehör för husdjursvård
95,för husdjur > smådjursprodukter
96,för husdjur > foder- och vattentillbehör för husdjur
97,för husdjur > reptil- och amfibietillbehör
98,"för husdjur > husdjurshalsband, -selar och -koppel"
99,för husdjur > trappor och ramper för husdjur
100,husdjurstillbehör > fågeltillbehör
101,för husdjur > husdjurs vård och hälsa
102,för husdjur > bäddar och strö till husdjur
103,för husdjur > fisktillbehör
104,för husdjur > kattillbehör
105,för husdjur > hundtillbehör
106,för husdjur
107,trädgård och uteplats > bevattningsutrustning
108,trädgård och uteplats > dammar och vattenspel
109,trädgård och uteplats > el-driven utomhusutrustning
110,trädgård och uteplats > utomhusbelysning
111,trädgård och uteplats > grillning och matlagning utomhus
112,"trädgård och uteplats > växter, frön och lökar"
113,trädgård och uteplats > utomhusmöbler
114,trädgård och uteplats > simbassänger och span
115,"trädgård och uteplats > växtvård, plantjord och tillbehör"
116,trädgård och uteplats > trädgårdsinredning
117,trädgård och uteplats > trädgårdsutrustning och -handredskap
118,trädgård och uteplats
119,kontorsmateriel > skrivmaterial
120,kontorsmateriel > presentations- och visningstavlor
