category_id,category
1,vyakula na vinywaji > chakula > supu
2,vyakula na vinywaji > chakula > njugu na mbegu
3,vyakula na vinywaji > chakula > vitafuno na vibanzi
4,vyakula na vinywaji > chakula > vibadala vya nyama
5,vyakula na vinywaji > chakula > viambato na vya ladha
6,vyakula na vinywaji > chakula > pasta na nafaka
7,vyakula na vinywaji > chakula > vyakula vilivyoandaliwa na vifurushi vya mlo
8,vyakula na vinywaji > chakula > pipi na chokoleti
9,vyakula na vinywaji > chakula > vikaango na vitandazo
10,vyakula na vinywaji > chakula > nyama na chakula cha baharini
11,vyakula na vinywaji > chakula > bidhaa za kuoka na mkate
12,vyakula na vinywaji > chakula > vitoweo na sosa
13,"vyakula na vinywaji > chakula > maziwa, mayai na jibini"
14,vyakula na vinywaji > chakula > chakula kilichowekwa kwenye jokofu
15,vyakula na vinywaji > chakula > viambato vya uokaji
16,vyakula na vinywaji > chakula > matunda na mboga
17,vyakula na vinywaji > chakula > kifungua kinywa na nafaka
18,vyakula na vinywaji > chakula
19,vyakula na vinywaji > vinywaji > spoti na vinywaji vya nishati
20,vyakula na vinywaji > vinywaji > sharubati
21,vyakula na vinywaji > vinywaji > mchanganyiko wa kinywaji cha poda
22,vyakula na vinywaji > vinywaji > soda
23,vyakula na vinywaji > vinywaji > maji
24,vyakula na vinywaji > vinywaji > kahawa na chai
25,vyakula na vinywaji > vinywaji > vinywaji vyenye vileo
26,vyakula na vinywaji > vinywaji > maziwa
27,vyakula na vinywaji > vinywaji
28,vyakula na vinywaji
29,vibonzo na michezo > vibonzo vya nje
30,vibonzo na michezo > dubu na wanasesere wa dubu
31,vibonzo na michezo > michezo > michezo ya kuigiza
32,vibonzo na michezo > michezo > chesi
33,vibonzo na michezo > michezo > michoro na michezo ya vita
34,vibonzo na michezo > michezo > michezo ya dadu
35,vibonzo na michezo > michezo > michezo ya kigae
36,vibonzo na michezo > michezo > michezo ya kadi
37,vibonzo na michezo > michezo > michezo ya kufanya vitu kwa mikono
38,vibonzo na michezo > michezo > michezo ya bodi
39,vibonzo na michezo > michezo
40,vibonzo na michezo > mafumbo
41,vibonzo na michezo > vibonzo vya kuendesha baiskeli
42,vibonzo na michezo > michezo ya kujifanya
43,vibonzo na michezo > magari ya vibonzo
44,vibonzo na michezo > vibonzo vya kudhibiti kwa mbali
45,vibonzo na michezo > vibonzo vya kuelimisha
46,vibonzo na michezo > dubu na nyumba za dubu
47,vibonzo na michezo > vibonzo vya ujenzi
48,vibonzo na michezo > michoro ya kitendo
49,vibonzo na michezo > vibonzo vya elektroniki
50,vibonzo na michezo
51,uboreshaji wa nyumbani > vifaa vya nyumbani vya kuchemsha na kupoesha
52,uboreshaji wa nyumbani > bidhaa na vifaa vya ujenzi
53,uboreshaji wa nyumbani > vifaa vya mabomba
54,uboreshaji wa nyumbani > zana > ngazi na ngazi za muda
55,uboreshaji wa nyumbani > zana > zana za uchoraji
56,uboreshaji wa nyumbani > zana > zana za nguvu za umeme
57,uboreshaji wa nyumbani > zana > zana za upimaji na sensa
58,uboreshaji wa nyumbani > zana > zana za hewa
59,uboreshaji wa nyumbani > zana > zana mkono
60,uboreshaji wa nyumbani > zana
61,uboreshaji wa nyumbani
62,bidhaa za michezo > vifaa vya spoti > magongo ya barafu na ya rola
63,bidhaa za michezo > vifaa vya spoti > raga
64,bidhaa za michezo > vifaa vya spoti > spoti za tenisi na raketi
65,bidhaa za michezo > vifaa vya spoti > mpira wa wavu
66,bidhaa za michezo > vifaa vya spoti > gofu
67,bidhaa za michezo > vifaa vya spoti > soka
68,bidhaa za michezo > vifaa vya spoti > kandanda
69,bidhaa za michezo > vifaa vya spoti > njia na uwanja
70,bidhaa za michezo > vifaa vya spoti > kriketi
71,bidhaa za michezo > vifaa vya spoti > magongo ya uwanjani na lakrosi
72,bidhaa za michezo > vifaa vya spoti > masumbwi na sanaa ya miereka
73,bidhaa za michezo > vifaa vya spoti > dansi na mazoezi ya mwili
74,bidhaa za michezo > vifaa vya spoti > besiboli na softiboli
75,bidhaa za michezo > vifaa vya spoti > mpira wa kikapu
76,bidhaa za michezo > vifaa vya spoti
77,bidhaa za michezo > mazoezi ya mwili na ustawi > yoga na paileti
78,bidhaa za michezo > mazoezi ya mwili na ustawi > kifaa cha kadio
79,bidhaa za michezo > mazoezi ya mwili na ustawi > vifaa vya kunyanyua uzani
80,bidhaa za michezo > mazoezi ya mwili na ustawi
81,bidhaa za michezo > michezo ya ndani ya nyumba
82,bidhaa za michezo > mapumziko ya nje > uvuvi
83,bidhaa za michezo > mapumziko ya nje > spoti ya maji na kupeleka mashua
84,bidhaa za michezo > mapumziko ya nje > kuteleza kwenye barafu kwa ubao
85,bidhaa za michezo > mapumziko ya nje > michezo ya nyanjani
86,bidhaa za michezo > mapumziko ya nje > kuendesha baiskeli
87,bidhaa za michezo > mapumziko ya nje > michezo ya majira ya kipupwe
88,bidhaa za michezo > mapumziko ya nje > ukweaji
89,bidhaa za michezo > mapumziko ya nje > utelezeshaji wa laini na wa rola
90,bidhaa za michezo > mapumziko ya nje > kupiga kambi na ukweaji
91,bidhaa za michezo > mapumziko ya nje
92,bidhaa za michezo
93,usambazaji wa wanyama vipenzi > vibeba wanyama kipendwa na mkoba
94,usambazaji wa wanyama vipenzi > bidhaa za mavazi ya wanyama vipenzi
95,usambazaji wa wanyama vipenzi > bidhaa za wanyama wadogo
96,usambazaji wa wanyama vipenzi > lishe ya wanyama vipendwa na bidhaa za maji
97,usambazaji wa wanyama vipenzi > bidhaa za wanyama wa magamba na maamfibia
98,usambazaji wa wanyama vipenzi > vifaa vya kumfungia na kumshikilia mnyama kipendwa
99,usambazaji wa wanyama vipenzi > ngazi na miteremko ya wanyama vipendwa
100,usambazaji wa wanyama vipenzi > bidhaa za ndege
101,usambazaji wa wanyama vipenzi > utunzi wa wanyama vipedwa na afya
102,usambazaji wa wanyama vipenzi > vitanda vya wanyama vipenzi na malazi
103,usambazaji wa wanyama vipenzi > bidhaa za samaki
104,usambazaji wa wanyama vipenzi > bidhaa za paka
105,usambazaji wa wanyama vipenzi > bidhaa za mbwa
106,usambazaji wa wanyama vipenzi
107,roshani na bustani > vifaa vya kunyunyizia maji
108,roshani na bustani > vidimbwi na maeneo ya maji
109,roshani na bustani > vifaa vya nishati ya nje
110,roshani na bustani > taa za nje
111,roshani na bustani > uchomaji na upishi wa nje
112,"roshani na bustani > mimea, mbegu na balbu"
113,roshani na bustani > samani za nje ya nyumba
114,roshani na bustani > vidimbwi na spa
115,"roshani na bustani > utunzi wa mimea, mchanga na vifaa"
116,roshani na bustani > pambo la bustani
117,roshani na bustani > zana na vifaa vya mikono za kilimo
118,roshani na bustani
119,vifaa vya ofisi > bidhaa za kuandika
120,vifaa vya ofisi > wasilisho na bodi za maonyesho
121,vifaa vya ofisi > stepla na vitobozi
122,vifaa vya ofisi > projekta
123,vifaa vya ofisi > utepe na kifaa kinachonata
124,vifaa vya ofisi > mjazo na hifadhi
125,vifaa vya ofisi > klipu na vifungiaji
126,vifaa vya ofisi > lebo
127,vifaa vya ofisi > kalenda na vipangaji
128,vifaa vya ofisi > vifungaji na vikorokoro
129,vifaa vya ofisi > vifaa na mashine za ofisi
