category_id,category
1,อาหารและเครื่องดื่ม > อาหาร > น้ำซุป
2,อาหารและเครื่องดื่ม > อาหาร > ถั่วและเมล็ดพืช
3,อาหารและเครื่องดื่ม > อาหาร > ขนมทานเล่นและขนมขบเคี้ยว
4,อาหารและเครื่องดื่ม > อาหาร > เนื้อสัตว์เทียม
5,อาหารและเครื่องดื่ม > อาหาร > เครื่องเทศและเครื่องปรุง
6,อาหารและเครื่องดื่ม > อาหาร > พาสต้าและธัญพืช
7,อาหารและเครื่องดื่ม > อาหาร > อาหารสำเร็จรูปและชุดวัตถุดิบอาหารพร้อมปรุง
8,อาหารและเครื่องดื่ม > อาหาร > ลูกอมและช็อคโกแลต
9,อาหารและเครื่องดื่ม > อาหาร > ซอสจิ้มและซอสราด
10,อาหารและเครื่องดื่ม > อาหาร > เนื้อสัตว์และอาหารทะเล
11,อาหารและเครื่องดื่ม > อาหาร > เบเกอรี่และขนมปัง
12,อาหารและเครื่องดื่ม > อาหาร > เครื่องปรุงรสและซอส
13,อาหารและเครื่องดื่ม > อาหาร > ผลิตภัณฑ์จากนม ไข่ และชีส
14,อาหารและเครื่องดื่ม > อาหาร > อาหารแช่แข็ง
15,อาหารและเครื่องดื่ม > อาหาร > วัตถุดิบทำขนม
16,อาหารและเครื่องดื่ม > อาหาร > ผลไม้และผัก
17,อาหารและเครื่องดื่ม > อาหาร > อาหารเช้าและซีเรียล
18,อาหารและเครื่องดื่ม > อาหาร
19,อาหารและเครื่องดื่ม > เครื่องดื่ม > เครื่องดื่มสำหรับเล่นกีฬาและเครื่องดื่มชูกำลัง
20,อาหารและเครื่องดื่ม > เครื่องดื่ม > น้ำผลไม้
21,อาหารและเครื่องดื่ม > เครื่องดื่ม > ผงเครื่องดื่มสำหรับชง
22,อาหารและเครื่องดื่ม > เครื่องดื่ม > โซดา
23,อาหารและเครื่องดื่ม > เครื่องดื่ม > น้ำ
24,อาหารและเครื่องดื่ม > เครื่องดื่ม > กาแฟและชา
25,อาหารและเครื่องดื่ม > เครื่องดื่ม > เครื่องดื่มแอลกอฮอล์
26,อาหารและเครื่องดื่ม > เครื่องดื่ม > นม
27,อาหารและเครื่องดื่ม > เครื่องดื่ม
28,อาหารและเครื่องดื่ม
29,ของเล่นและเกม > ของเล่นกลางแจ้ง
30,ของเล่นและเกม > ตุ๊กตาสัตว์ยัดนุ่นและของเล่นยัดนุ่น
31,ของเล่นและเกม > เกม > เกมสวมบทบาท
32,ของเล่นและเกม > เกม > หมากรุก
33,ของเล่นและเกม > เกม > เกมสงครามและเกมย่อส่วน
34,ของเล่นและเกม > เกม > เกมลูกเต๋า
35,ของเล่นและเกม > เกม > เกมไทล์
36,ของเล่นและเกม > เกม > เกมไพ่
37,ของเล่นและเกม > เกม > เกมฝึกทักษะ
38,ของเล่นและเกม > เกม > บอร์ดเกม
39,ของเล่นและเกม > เกม
40,ของเล่นและเกม > เกมปริศนา
41,ของเล่นและเกม > ของเล่นที่ขี่ได้
42,ของเล่นและเกม > ของเล่นบทบาทสมมติ
43,ของเล่นและเกม > รถของเล่น
44,ของเล่นและเกม > ของเล่นบังคับวิทยุ
45,ของเล่นและเกม > ของเล่นเพื่อการศึกษา
46,ของเล่นและเกม > ตุ๊กตาและบ้านตุ๊กตา
47,ของเล่นและเกม > ของเล่นก่อสร้าง
48,ของเล่นและเกม > ตุ๊กตุ่น
49,ของเล่นและเกม > ของเล่นอิเล็กทรอนิกส์
50,ของเล่นและเกม
51,ต่อเติมบ้าน > อุปกรณ์ทำความร้อนและความเย็นในบ้าน
52,ต่อเติมบ้าน > เครื่องมือและอุปกรณ์สำหรับงานก่อสร้าง
53,ต่อเติมบ้าน > ท่อประปาและอุปกรณ์ติดตั้ง
54,ต่อเติมบ้าน > เครื่องมือ > บันไดทรงเอและนั่งร้าน
55,ต่อเติมบ้าน > เครื่องมือ > อุปกรณ์วาดรูป
56,ต่อเติมบ้าน > เครื่องมือ > เครื่องมือกล
57,ต่อเติมบ้าน > เครื่องมือ > เครื่องวัดและเซ็นเซอร์
58,ต่อเติมบ้าน > เครื่องมือ > เครื่องมือลม
59,ต่อเติมบ้าน > เครื่องมือ > เครื่องมือช่างชนิดไม่ใช้ไฟฟ้า
60,ต่อเติมบ้าน > เครื่องมือ
61,ต่อเติมบ้าน
62,อุปกรณ์กีฬา > อุปกรณ์กีฬา > ฮอกกี้น้ำแข็งและอินไลน์ฮอกกี้
63,อุปกรณ์กีฬา > อุปกรณ์กีฬา > รักบี้
64,อุปกรณ์กีฬา > อุปกรณ์กีฬา > เทนนิสและกีฬาใช้แร็กเก็ต
65,อุปกรณ์กีฬา > อุปกรณ์กีฬา > วอลเลย์บอล
