category_id,category
1,pagkain at mga inumin > pagkain > mga soup at broth
2,pagkain at mga inumin > pagkain > nuts & seeds
3,pagkain at mga inumin > pagkain > mga snack at chip
4,pagkain at mga inumin > pagkain > mga substitute
5,pagkain at mga inumin > pagkain > mga spice at seasoning
6,pagkain at mga inumin > pagkain > pasta at grains
7,pagkain at mga inumin > pagkain > inihanadang pagkain at mga meal kit
8,pagkain at mga inumin > pagkain > kendi at tsokolate
9,pagkain at mga inumin > pagkain > mga dip at spread
10,pagkain at mga inumin > pagkain > karne at seafood
11,pagkain at mga inumin > pagkain > bakery at tinapay
12,pagkain at mga inumin > pagkain > mga condiment at sauce
13,"pagkain at mga inumin > pagkain > gatas, mga itlog at keso"
14,pagkain at mga inumin > pagkain > frozen na pagkain
15,pagkain at mga inumin > pagkain > mga sangkap sa baking
16,pagkain at mga inumin > pagkain > mga prutas at mga gulay
17,pagkain at mga inumin > pagkain > almusal at cereal
18,pagkain at mga inumin > pagkain
19,pagkain at mga inumin > mga inumin > sports at mga energy drink
20,pagkain at mga inumin > mga inumin > juice
21,pagkain at mga inumin > mga inumin > powdered beverage mixes
22,pagkain at mga inumin > mga inumin > soda
23,pagkain at mga inumin > mga inumin > tubig
24,pagkain at mga inumin > mga inumin > kape at tsaa
25,pagkain at mga inumin > mga inumin > mga inuming alak
26,pagkain at mga inumin > mga inumin > gatas
27,pagkain at mga inumin > mga inumin
28,pagkain at mga inumin
29,mga laruan at game > mga panlabas na laruan
30,mga laruan at game > mga stuffed animal at mga plush toy
31,mga laruan at game > mga game > mga role playing game
32,mga laruan at game > mga game > chess
33,mga laruan at game > mga game > miniature at mga war game
34,mga laruan at game > mga game > mga dice game
35,mga laruan at game > mga game > mga larong tile
36,mga laruan at game > mga game > mga card game
37,mga laruan at game > mga game > mga dexterity game
38,mga laruan at game > mga game > mga board game
39,mga laruan at game > mga game
40,mga laruan at game > mga puzzle
41,mga laruan at game > mga sinasakyang laruan
42,mga laruan at game > pretend play
43,mga laruan at game > mga laruang sasakyan
44,mga laruan at game > mga de-remote control na laruan
45,mga laruan at game > mga pang-edukasyong laruan
46,mga laruan at game > mga manika at mga bahay ng manika
47,mga laruan at game > mga laruang binubuo
48,mga laruan at game > mga action figure
49,mga laruan at game > mga electronic na laruan
50,mga laruan at game
51,pagpapaganda ng bahay > pampainit at pampalamig sa bahay
52,pagpapaganda ng bahay > mga supply at hardware para sa pagtatayo ng gusali
53,pagpapaganda ng bahay > tubo at mga kinakabit
54,pagpapaganda ng bahay > mga tool > mga hagdan at scaffolding
55,pagpapaganda ng bahay > mga tool > mga tool para sa pagpipintura
56,pagpapaganda ng bahay > mga tool > mga power tool
57,pagpapaganda ng bahay > mga tool > mga tool sa pagsukat at sensor
58,pagpapaganda ng bahay > mga tool > mga air tool
59,pagpapaganda ng bahay > mga tool > mga manu-manong tool
60,pagpapaganda ng bahay > mga tool
61,pagpapaganda ng bahay
62,sporting goods > gamit na pang-sports > ice & roller hockey
63,sporting goods > gamit na pang-sports > rugby
64,sporting goods > gamit na pang-sports > tennis at racquet sports
65,sporting goods > gamit na pang-sports > volleyball
66,sporting goods > gamit na pang-sports > golf
67,sporting goods > gamit na pang-sports > soccer
68,sporting goods > gamit na pang-sports > football
69,sporting goods > gamit na pang-sports > track & field
70,sporting goods > gamit na pang-sports > cricket
71,sporting goods > gamit na pang-sports > field hockey & lacrosse
72,sporting goods > gamit na pang-sports > boxing at martial arts
73,sporting goods > gamit na pang-sports > sayaw at gymnastics
74,sporting goods > gamit na pang-sports > baseball at softball
75,sporting goods > gamit na pang-sports > basketball
76,sporting goods > gamit na pang-sports
77,sporting goods > ehersisyo at fitness > yoga at pilates
78,sporting goods > ehersisyo at fitness > gamit para sa puso
79,sporting goods > ehersisyo at fitness > kagamitan para sa weight lifting
80,sporting goods > ehersisyo at fitness
81,sporting goods > mga indoor game
82,sporting goods > panlabas na paglilibang > pangingisda
83,sporting goods > panlabas na paglilibang > water sports at pamamangka
84,sporting goods > panlabas na paglilibang > skateboarding
85,sporting goods > panlabas na paglilibang > mga panlabas na game
86,sporting goods > panlabas na paglilibang > cycling
87,sporting goods > panlabas na paglilibang > winter sports
88,sporting goods > panlabas na paglilibang > climbing
89,sporting goods > panlabas na paglilibang > inline at roller skating
90,sporting goods > panlabas na paglilibang > camping at hiking
91,sporting goods > panlabas na paglilibang
92,sporting goods
93,mga supply para sa alagang hayop > mga carrier at containment para sa alagang hayop
94,mga supply para sa alagang hayop > mga supply sa pag-aayos ng alagang hayop
95,mga supply para sa alagang hayop > mga supply para sa maliit na hayop
96,mga supply para sa alagang hayop > mga supply sa pagpapakain at pagpapainom sa alagang hayop
97,mga supply para sa alagang hayop > mga supply para sa reptile at amphibian
98,"mga supply para sa alagang hayop > mga collar, harness at mga tali para sa alagang hayop"
99,mga supply para sa alagang hayop > mga step at rampa para sa alagang hayop
100,mga supply para sa alagang hayop > mga supply para sa ibon
101,mga supply para sa alagang hayop > pangangalaga at kalusugan ng alagang hayop
102,mga supply para sa alagang hayop > mga higaan at bedding para sa alagang hayop
103,mga supply para sa alagang hayop > mga supply para sa isda
104,mga supply para sa alagang hayop > mga supply para sa pusa
105,mga supply para sa alagang hayop > mga supply para sa aso
106,mga supply para sa alagang hayop
107,patio & garden > gamit para sa tubig
108,patio & garden > mga pond at feature sa tubig
109,patio & garden > outdoor power equipment
110,patio & garden > panlabas na ilaw
111,patio & garden > mga barbecue at pagluluto sa labas
112,"patio & garden > mga halaman, buto at bulb"
113,patio & garden > panlabas na furniture
114,patio & garden > mga pool at spa
115,"patio & garden > pangangalaga ng halaman, lupa at mga accessory"
116,patio & garden > dekorasyon sa hardin
117,patio & garden > mga tool na ginagamitan ng kamay at mga kagamitan
118,patio & garden
119,mga supply para sa opisina > mga supply para sa pagsusulat
120,mga supply para sa opisina > presentation at mga display board
121,mga supply para sa opisina > mga stapler at punches
122,mga supply para sa opisina > mga projector
123,mga supply para sa opisina > tape & adhesives
124,mga supply para sa opisina > filing at storage
125,mga supply para sa opisina > mga clip & mga fastener
