category_id,category
1,yiyecek ve İçecekler > yiyecek > Çorba ve et suları
2,yiyecek ve İçecekler > yiyecek > kabuklu yemişler ve Çekirdekler
3,yiyecek ve İçecekler > yiyecek > atıştırmalık ve cipsler
4,yiyecek ve İçecekler > yiyecek > et yerine kullanılan malzemeler
5,yiyecek ve İçecekler > yiyecek > baharat ve soslar
6,yiyecek ve İçecekler > yiyecek > makarna ve tahıllar
7,yiyecek ve İçecekler > yiyecek > hazır yemekler ve yemek yapma kitleri
8,yiyecek ve İçecekler > yiyecek > Şeker ve Çikolata
9,yiyecek ve İçecekler > yiyecek > dip soslar ve sürülebilir soslar
10,yiyecek ve İçecekler > yiyecek > et ve deniz Ürünleri
11,yiyecek ve İçecekler > yiyecek > fırıncılık ve ekmek
12,yiyecek ve İçecekler > yiyecek > soslar
13,"yiyecek ve İçecekler > yiyecek > süt, yumurta ve peynir"
14,yiyecek ve İçecekler > yiyecek > donmuş gıda
15,yiyecek ve İçecekler > yiyecek > pasta malzemeleri
16,yiyecek ve İçecekler > yiyecek > meyve ve sebzeler
17,yiyecek ve İçecekler > yiyecek > kahvaltılıklar ve tahıl gevrekleri
18,yiyecek ve İçecekler > yiyecek
19,yiyecek ve İçecekler > İçecekler > spor ve enerji İçecekleri
20,yiyecek ve İçecekler > İçecekler > meyve suyu
21,yiyecek ve İçecekler > İçecekler > toz İçecek karışımları
22,yiyecek ve İçecekler > İçecekler > gazlı İçecekler
23,yiyecek ve İçecekler > İçecekler > su
24,yiyecek ve İçecekler > İçecekler > kahve ve Çay
25,yiyecek ve İçecekler > İçecekler > alkollü İçkiler
26,yiyecek ve İçecekler > İçecekler > süt
27,yiyecek ve İçecekler > İçecekler
28,yiyecek ve İçecekler
29,oyuncak ve oyun > açık hava oyuncakları
30,oyuncak ve oyun > doldurulmuş hayvanlar ve pelüş oyuncaklar
31,oyuncak ve oyun > oyunlar > rol yapma oyunları
32,oyuncak ve oyun > oyunlar > satranç
33,oyuncak ve oyun > oyunlar > minyatür ve savaş oyunları
34,oyuncak ve oyun > oyunlar > zar oyunları
35,oyuncak ve oyun > oyunlar > döşeme oyunları
36,oyuncak ve oyun > oyunlar > kart oyunları
37,oyuncak ve oyun > oyunlar > dizme oyunları
38,oyuncak ve oyun > oyunlar > kutu oyunları
39,oyuncak ve oyun > oyunlar
40,oyuncak ve oyun > yapbozlar
41,oyuncak ve oyun > binicilik oyuncakları
42,oyuncak ve oyun > Çocuk rol yapma oyunları
43,oyuncak ve oyun > oyuncak arabalar
44,oyuncak ve oyun > uzaktan kumandalı oyuncaklar
45,oyuncak ve oyun > eğitimsel oyuncaklar
46,oyuncak ve oyun > oyuncak bebekler ve oyuncak bebek evleri
47,oyuncak ve oyun > yapı oyuncakları
48,oyuncak ve oyun > koleksiyon figürleri
49,oyuncak ve oyun > elektronik oyuncaklar
50,oyuncak ve oyun
51,yapı malzemeleri > ev isıtma ve soğutma
52,yapı malzemeleri > yapı malzemeleri ve hırdavatları
53,yapı malzemeleri > sıhhi tesisat ve armatürleri
54,yapı malzemeleri > aletler > merdivenler ve yapı İskeleleri
55,yapı malzemeleri > aletler > boyama aletleri
56,yapı malzemeleri > aletler > elektrikli araçlar
57,yapı malzemeleri > aletler > Ölçme araçları ve sensörler
58,yapı malzemeleri > aletler > havalı el aletleri
59,yapı malzemeleri > aletler > el aletleri
60,yapı malzemeleri > aletler
61,yapı malzemeleri
62,spor eşyaları > spor malzemeleri > buz hokeyi ve tekerlekli paten hokeyi
63,spor eşyaları > spor malzemeleri > rugby
64,spor eşyaları > spor malzemeleri > tenis ve raket sporları
65,spor eşyaları > spor malzemeleri > voleybol
66,spor eşyaları > spor malzemeleri > golf
67,spor eşyaları > spor malzemeleri > futbol
68,spor eşyaları > spor malzemeleri > amerikan futbolu
69,spor eşyaları > spor malzemeleri > atletizm
70,spor eşyaları > spor malzemeleri > kriket
71,spor eşyaları > spor malzemeleri > Çim hokeyi ve lakros
72,spor eşyaları > spor malzemeleri > boks ve dövüş sanatları
73,spor eşyaları > spor malzemeleri > dans ve jimnastik
74,spor eşyaları > spor malzemeleri > beyzbol ve softbol
75,spor eşyaları > spor malzemeleri > basketbol topu
76,spor eşyaları > spor malzemeleri
77,spor eşyaları > egzersiz ve spor > yoga ve pilates
78,spor eşyaları > egzersiz ve spor > kardiyo ekipmanları
79,spor eşyaları > egzersiz ve spor > ağırlık kaldırma ekipmanları
80,spor eşyaları > egzersiz ve spor
81,spor eşyaları > İç mekan oyunları
82,spor eşyaları > açık hava rekreasyon > balıkçılık
83,spor eşyaları > açık hava rekreasyon > su sporları ve tekne gezintisi
84,spor eşyaları > açık hava rekreasyon > kaykay
85,spor eşyaları > açık hava rekreasyon > açık hava oyunları
86,spor eşyaları > açık hava rekreasyon > bisiklet
87,spor eşyaları > açık hava rekreasyon > kış sporları
88,spor eşyaları > açık hava rekreasyon > tırmanma
89,spor eşyaları > açık hava rekreasyon > tek sıra ve dört tekerlekli patenler
90,spor eşyaları > açık hava rekreasyon > kampçılık ve doğa yürüyüşü
91,spor eşyaları > açık hava rekreasyon
92,spor eşyaları
93,evcil hayvan malzemeleri > evcil hayvan taşıyıcıları ve muhafaza araçları
94,evcil hayvan malzemeleri > evcil hayvan tımarlama Ürünleri
95,evcil hayvan malzemeleri > küçük hayvan malzemeleri
96,evcil hayvan malzemeleri > evcil hayvan mama ve su malzemeleri
97,evcil hayvan malzemeleri > sürüngen ve amfibi Ürünleri
98,"evcil hayvan malzemeleri > evcil hayvan tasmaları, göğüs tasmaları ve kayışları"
99,evcil hayvan malzemeleri > evcil hayvan basamak ve rampaları
100,evcil hayvan malzemeleri > kuş malzemeleri
101,evcil hayvan malzemeleri > evcil hayvan bakımı ve sağlığı
102,evcil hayvan malzemeleri > evcil hayvan yatakları ve yatak takımları
103,evcil hayvan malzemeleri > balık malzemeleri
104,evcil hayvan malzemeleri > kedi malzemeleri
105,evcil hayvan malzemeleri > köpek malzemeleri
106,evcil hayvan malzemeleri
107,veranda ve bahçe > sulama ekipmanları
108,veranda ve bahçe > göletler ve süs havuzları
109,veranda ve bahçe > elektrikli bahçe aletleri
110,veranda ve bahçe > dış mekan aydınlatması
111,veranda ve bahçe > izgara ve açık havada yemek pişirme
112,"veranda ve bahçe > bitkiler, tohumlar ve soğanlar"
113,veranda ve bahçe > bahçe mobilyası
114,veranda ve bahçe > havuzlar ve spalar
115,"veranda ve bahçe > bitki bakımı, toprak ve aksesuarları"
116,veranda ve bahçe > bahçe dekorasyonu
117,veranda ve bahçe > bahçe el aletleri ve ekipmanları
118,veranda ve bahçe
119,büro malzemeleri > yazı malzemeleri
120,büro malzemeleri > sunum ve sergi panoları
121,büro malzemeleri > zımbalar ve delgeçler
122,büro malzemeleri > projeksiyon cihazları
123,büro malzemeleri > bant ve yapıştırıcılar
124,büro malzemeleri > dosyalama ve depolama
125,büro malzemeleri > ataşlar ve klipsler
126,büro malzemeleri > etiketler
127,büro malzemeleri > takvimler ve ajandalar
128,büro malzemeleri > klasörler ve aksesuarları
129,büro malzemeleri > ofis ekipmanları ve makineleri
130,büro malzemeleri > posta malzemeleri
131,büro malzemeleri > kağıt Ürünleri
132,büro malzemeleri
133,müzik enstrümanları > profesyonel ses ekipmanları
134,müzik enstrümanları > müzik aksesuarları
135,müzik enstrümanları > gitarlar ve bas gitarlar
136,müzik enstrümanları > bakır nefesli Çalgılar
137,müzik enstrümanları > davul ve vurmalı enstrümanlar
138,müzik enstrümanları > piyanolar ve klavye enstrümanları
139,müzik enstrümanları > tahta nefesli Çalgılar
140,müzik enstrümanları > telli Çalgılar
141,müzik enstrümanları
142,medya > gazeteler
143,medya > dergiler ve kataloglar
144,medya > kitaplar
145,medya > filmler ve tv programları
146,medya > müzik
147,medya
148,seyahat ve valiz > elbise Çantaları
149,seyahat ve valiz > seyahat aksesuarları
150,seyahat ve valiz > Çanta ve cüzdanlar > cüzdan
151,seyahat ve valiz > Çanta ve cüzdanlar > satchel Çantalar
152,seyahat ve valiz > Çanta ve cüzdanlar > postacı Çantaları
153,seyahat ve valiz > Çanta ve cüzdanlar > alışveriş Çantaları
154,seyahat ve valiz > Çanta ve cüzdanlar > omuz Çantaları
155,seyahat ve valiz > Çanta ve cüzdanlar > clutch Çantalar
156,seyahat ve valiz > Çanta ve cüzdanlar > bel Çantaları
157,seyahat ve valiz > Çanta ve cüzdanlar
158,seyahat ve valiz > valizler
159,seyahat ve valiz > spor Çantaları
160,seyahat ve valiz > bavul setleri
161,seyahat ve valiz > evrak ve laptop Çantaları
162,seyahat ve valiz > sırt Çantaları
163,seyahat ve valiz
164,sanat ve el sanatları > el sanatları malzemeleri
165,sanat ve el sanatları > dikiş
166,sanat ve el sanatları > dikiş ve İplik
167,sanat ve el sanatları > boncuk ve takı yapımı
168,sanat ve el sanatları > sanat malzemeleri
169,sanat ve el sanatları
170,otomobil parçaları ve aksesuarları > römork parçaları ve aksesuarları
171,otomobil parçaları ve aksesuarları > powersport parçaları ve aksesuarları
172,otomobil parçaları ve aksesuarları > karavan parçaları ve aksesuarları
173,otomobil parçaları ve aksesuarları > araba yedek parça ve aksesuarları
174,otomobil parçaları ve aksesuarları > tekne parçaları ve aksesuarları
175,otomobil parçaları ve aksesuarları > motosiklet parçaları ve aksesuarları
176,otomobil parçaları ve aksesuarları > otomotiv aletleri
177,otomobil parçaları ve aksesuarları
178,antika ve koleksiyon > koleksiyonluk spor hatıraları
179,antika ve koleksiyon > koleksiyonluk ev eşyaları
180,antika ve koleksiyon > koleksiyonluk elektronik aletler
181,antika ve koleksiyon > koleksiyon madeni ve kağıt paralar
182,antika ve koleksiyon > koleksiyon pullar
183,antika ve koleksiyon > koleksiyonluk mobilya
184,antika ve koleksiyon > koleksiyonluk ev aletleri
185,antika ve koleksiyon > koleksiyonluk oyuncaklar
186,antika ve koleksiyon
187,bebek Ürünleri > bebek besleme
188,bebek Ürünleri > bebek taşıma > bebek taşıyıcıları
189,bebek Ürünleri > bebek taşıma > bebek arabası ve aksesuarları
190,bebek Ürünleri > bebek taşıma > araba koltukları ve aksesuarları
191,bebek Ürünleri > bebek taşıma
192,bebek Ürünleri > bebek güvenliği ve sağlığı
193,bebek Ürünleri > bebek banyo aksesuarları
194,bebek Ürünleri > oyuncaklar > aktivite merkezleri ve eğlendiriciler
195,bebek Ürünleri > oyuncaklar > bebek oyuncakları
196,bebek Ürünleri > oyuncaklar
197,bebek Ürünleri > bebek bezleri ve tuvalet eğitimi
198,bebek Ürünleri > Çocuk odası > bebek nevresim takımı
199,bebek Ürünleri > Çocuk odası > Çocuk odası dekorasyonu
200,bebek Ürünleri > Çocuk odası > bebek odası mobilyaları
201,bebek Ürünleri > Çocuk odası
202,bebek Ürünleri
203,elektronik > taşınabilir ses ve video
204,elektronik > ev ses ve video sistemleri
205,elektronik > ev güvenliği ve otomasyonu
206,elektronik > cep telefonları ve akıllı telefonlar > cep telefonları
207,elektronik > cep telefonları ve akıllı telefonlar > cep telefonu ve akıllı saat aksesuarları
208,elektronik > cep telefonları ve akıllı telefonlar > akıllı saatler
209,elektronik > cep telefonları ve akıllı telefonlar
210,elektronik > projeksiyon cihazları
211,elektronik > kameralar > dürbün ve teleskoplar
212,elektronik > kameralar > film kameraları
213,elektronik > kameralar > fotoğraf makinesi aksesuarları
214,elektronik > kameralar > kamera dronları
215,elektronik > kameralar > dijital fotoğraf makineleri
216,elektronik > kameralar > video kameralar
217,elektronik > kameralar
218,elektronik > tv ve monitörler > tv'ler
219,elektronik > tv ve monitörler > bilgisayar monitörleri
220,elektronik > tv ve monitörler
221,elektronik > yazılım
222,elektronik > yazıcılar ve tarayıcılar
223,elektronik > video oyunu konsolları ve video oyunları > video oyunu aksesuarları
224,elektronik > video oyunu konsolları ve video oyunları > video oyunu konsolları
225,elektronik > video oyunu konsolları ve video oyunları > video oyunları
226,elektronik > video oyunu konsolları ve video oyunları
227,elektronik > bilgisayar ve tabletler > tabletler ve e-kitap okuyucuları
228,elektronik > bilgisayar ve tabletler > ağ İletişimi ve sunucular
229,elektronik > bilgisayar ve tabletler > bilgisayar bileşenleri ve donanım
230,elektronik > bilgisayar ve tabletler > laptoplar
231,elektronik > bilgisayar ve tabletler > masaüstü bilgisayarlar
232,elektronik > bilgisayar ve tabletler
233,elektronik > aksesuarlar > bilgisayar Çevre birimleri
234,elektronik > aksesuarlar > piller ve güç kaynakları
235,elektronik > aksesuarlar > boş medyalar
236,"elektronik > aksesuarlar > kablolar, Şarj aletleri ve adaptörler"
