category_id,category
1,کھانا اور مشروبات > غذا > سوپ اور شوربے
2,کھانا اور مشروبات > غذا > گری دار میوے اور بیج
3,کھانا اور مشروبات > غذا > ہلکا ناشتہ اور چپس
4,کھانا اور مشروبات > غذا > گوشت کے متبادل
5,کھانا اور مشروبات > غذا > مصالحے اور سیزننگز
6,کھانا اور مشروبات > غذا > پاستا اور اناج
7,کھانا اور مشروبات > غذا > تیار شدہ غذا اور میل کٹس
8,کھانا اور مشروبات > غذا > کینڈی اور چاکلیٹ
9,کھانا اور مشروبات > غذا > چٹنیاں اور لیپ
10,کھانا اور مشروبات > غذا > گوشت اور سمندری غذا
11,کھانا اور مشروبات > غذا > بیکری اور بریڈ
12,کھانا اور مشروبات > غذا > چٹنیاں اور سوسیز
13,کھانا اور مشروبات > غذا > ڈیری، انڈے اور چیز
14,کھانا اور مشروبات > غذا > منجمد غذا
15,کھانا اور مشروبات > غذا > بیکنگ کے اجزاء
16,کھانا اور مشروبات > غذا > پھل اور سبزیاں
17,کھانا اور مشروبات > غذا > ناشتہ اور اناج
18,کھانا اور مشروبات > غذا
19,کھانا اور مشروبات > مشروبات > سپورٹس اور اینرجی ڈرنکس
20,کھانا اور مشروبات > مشروبات > شربت
21,کھانا اور مشروبات > مشروبات > پاؤڈر گھول کر بننے والی مشروبات
22,کھانا اور مشروبات > مشروبات > سوڈا
23,کھانا اور مشروبات > مشروبات > پانی
24,کھانا اور مشروبات > مشروبات > کافی اور چائے
25,کھانا اور مشروبات > مشروبات > شراب
26,کھانا اور مشروبات > مشروبات > دودھ
27,کھانا اور مشروبات > مشروبات
28,کھانا اور مشروبات
29,کھلونے اور گیمز > باہر کھیلنے والے کھلونے
30,کھلونے اور گیمز > اون اور کپاس سے بنے کھلونے
31,کھلونے اور گیمز > گیمز > کردار ادا کرنے والے گیمز
32,کھلونے اور گیمز > گیمز > شطرنج
33,کھلونے اور گیمز > گیمز > چھوٹی مورتیوں والی جنگ کی گیم
34,کھلونے اور گیمز > گیمز > پانسے کا کھیل
35,کھلونے اور گیمز > گیمز > ٹائل گیمز
36,کھلونے اور گیمز > گیمز > کارڈ گیمز
37,کھلونے اور گیمز > گیمز > مہارتی کھیل
38,کھلونے اور گیمز > گیمز > بورڈ گیمز
39,کھلونے اور گیمز > گیمز
40,کھلونے اور گیمز > پہیلیاں
41,کھلونے اور گیمز > سواری والے کھلونے
42,کھلونے اور گیمز > جھوٹ موٹ کا کھیل
43,کھلونے اور گیمز > کھلونا گاڑیاں
44,کھلونے اور گیمز > ریموٹ کنٹرول کھلونے
45,کھلونے اور گیمز > تعلیمی کھلونے
46,کھلونے اور گیمز > گڑیا اور گڑیا کے گھر
47,کھلونے اور گیمز > عمارت بنانے والے کھلونے
48,کھلونے اور گیمز > پُتلوں کے کھلونے
49,کھلونے اور گیمز > الیکٹرانک کھلونے
50,کھلونے اور گیمز
51,گھر کی بہتری > گھر کو گرم اور ٹھنڈا رکھنے کا سامان
52,گھر کی بہتری > تعمیری سامان اور ہارڈ وئیر
53,گھر کی بہتری > پلمبنگ اور مرمت کے سامان
54,گھر کی بہتری > اوزار > سیڑھیاں اور مَچان بَندی
55,گھر کی بہتری > اوزار > پینٹنگ ٹولز
56,گھر کی بہتری > اوزار > پاور ٹولز
57,گھر کی بہتری > اوزار > پیمائش کے ٹولز اور سینسرز
58,گھر کی بہتری > اوزار > ایئر ٹولز
59,گھر کی بہتری > اوزار > ہینڈ ٹولز
60,گھر کی بہتری > اوزار
61,گھر کی بہتری
62,کھیل کے سامان > کھیلوں کا سامان > آئس اور رولر ہاکی
63,کھیل کے سامان > کھیلوں کا سامان > رگبی
64,کھیل کے سامان > کھیلوں کا سامان > ٹینس اور ریکٹ سپورٹس
65,کھیل کے سامان > کھیلوں کا سامان > والی بال
66,کھیل کے سامان > کھیلوں کا سامان > گولف
67,کھیل کے سامان > کھیلوں کا سامان > ساکر
68,کھیل کے سامان > کھیلوں کا سامان > فٹ بال
69,کھیل کے سامان > کھیلوں کا سامان > ٹریک اور فیلڈ
70,کھیل کے سامان > کھیلوں کا سامان > کرکٹ
71,کھیل کے سامان > کھیلوں کا سامان > فیلڈ ہاکی اور لیکروز
72,کھیل کے سامان > کھیلوں کا سامان > باکسنگ اور مارشل آرٹس
73,کھیل کے سامان > کھیلوں کا سامان > رقص اور ورزش کے سامان
74,کھیل کے سامان > کھیلوں کا سامان > بیس بال اور سافٹ بال
75,کھیل کے سامان > کھیلوں کا سامان > باسکٹ بال
76,کھیل کے سامان > کھیلوں کا سامان
