category_id,category
1,Đồ ăn & thức uống > thực phẩm > xúp & nước dùng
2,Đồ ăn & thức uống > thực phẩm > hạt
3,Đồ ăn & thức uống > thực phẩm > Đồ ăn vặt & bim bim
4,Đồ ăn & thức uống > thực phẩm > sản phẩm thay thế thịt
5,Đồ ăn & thức uống > thực phẩm > gia vị
6,Đồ ăn & thức uống > thực phẩm > mì ống & hạt
7,Đồ ăn & thức uống > thực phẩm > bộ thức ăn & thực phẩm chuẩn bị sẵn
8,Đồ ăn & thức uống > thực phẩm > kẹo & sô cô la
9,Đồ ăn & thức uống > thực phẩm > nước chấm & phết
10,Đồ ăn & thức uống > thực phẩm > thịt & hải sản
11,Đồ ăn & thức uống > thực phẩm > tiệm bánh & bánh mì
12,Đồ ăn & thức uống > thực phẩm > gia vị & nước sốt
13,"Đồ ăn & thức uống > thực phẩm > sản phẩm từ sữa, trứng & pho mát"
14,Đồ ăn & thức uống > thực phẩm > thức ăn đông lạnh
15,Đồ ăn & thức uống > thực phẩm > nguyên liệu làm bánh
16,Đồ ăn & thức uống > thực phẩm > trái cây & rau củ
17,Đồ ăn & thức uống > thực phẩm > Đồ ăn sáng & ngũ cốc
18,Đồ ăn & thức uống > thực phẩm
19,Đồ ăn & thức uống > Đồ uống > Đồ uống cho người tập thể thao & nước tăng lực
20,Đồ ăn & thức uống > Đồ uống > nước ép
21,Đồ ăn & thức uống > Đồ uống > Đồ uống hỗn hợp dạng bột
22,Đồ ăn & thức uống > Đồ uống > soda
23,Đồ ăn & thức uống > Đồ uống > nước
24,Đồ ăn & thức uống > Đồ uống > trà & cà phê
25,Đồ ăn & thức uống > Đồ uống > Đồ uống có cồn
26,Đồ ăn & thức uống > Đồ uống > sữa
27,Đồ ăn & thức uống > Đồ uống
28,Đồ ăn & thức uống
29,Đồ chơi & trò chơi > Đồ chơi ngoài trời
30,Đồ chơi & trò chơi > Đồ chơi & thú nhồi bông
31,Đồ chơi & trò chơi > game > trò chơi nhập vai
32,Đồ chơi & trò chơi > game > cờ vua
33,Đồ chơi & trò chơi > game > trò chơi chiến tranh & mô hình
34,Đồ chơi & trò chơi > game > trò chơi xúc xắc
35,Đồ chơi & trò chơi > game > trò chơi sử dụng quân cờ
36,Đồ chơi & trò chơi > game > trò chơi bài
37,Đồ chơi & trò chơi > game > trò chơi thử thách sự khéo léo
38,Đồ chơi & trò chơi > game > board game
39,Đồ chơi & trò chơi > game
40,Đồ chơi & trò chơi > giải đố
41,Đồ chơi & trò chơi > xe chòi chân
42,Đồ chơi & trò chơi > trò chơi đóng vai
43,Đồ chơi & trò chơi > xe đồ chơi
44,Đồ chơi & trò chơi > Đồ chơi điều khiển từ xa
45,Đồ chơi & trò chơi > Đồ chơi giáo dục
46,Đồ chơi & trò chơi > búp bê & nhà búp bê
47,Đồ chơi & trò chơi > Đồ chơi xếp hình
48,Đồ chơi & trò chơi > Đồ chơi mô hình
49,Đồ chơi & trò chơi > Đồ chơi điện tử
50,Đồ chơi & trò chơi
51,cải tạo nhà cửa > thiết bị sưởi ấm & làm mát trong nhà
52,cải tạo nhà cửa > phần cứng & vật liệu xây dựng
53,cải tạo nhà cửa > Ống nước & thiết bị vệ sinh
54,cải tạo nhà cửa > công cụ > thang & giàn giáo
55,cải tạo nhà cửa > công cụ > dụng cụ sơn
56,cải tạo nhà cửa > công cụ > dụng cụ điện
57,cải tạo nhà cửa > công cụ > dụng cụ đo & cảm biến
58,cải tạo nhà cửa > công cụ > dụng cụ khí nén
59,cải tạo nhà cửa > công cụ > dụng cụ cầm tay
60,cải tạo nhà cửa > công cụ
61,cải tạo nhà cửa
62,sản phẩm thể thao > thiết bị thể thao > khúc côn cầu
63,sản phẩm thể thao > thiết bị thể thao > bóng bầu dục
64,sản phẩm thể thao > thiết bị thể thao > quần vợt
65,sản phẩm thể thao > thiết bị thể thao > bóng chuyền
66,sản phẩm thể thao > thiết bị thể thao > golf
67,sản phẩm thể thao > thiết bị thể thao > bóng đá
68,sản phẩm thể thao > thiết bị thể thao > bóng bầu dục
69,sản phẩm thể thao > thiết bị thể thao > Điền kinh
70,sản phẩm thể thao > thiết bị thể thao > cricket
71,sản phẩm thể thao > thiết bị thể thao > khúc côn cầu trên cỏ & bóng vợt
72,sản phẩm thể thao > thiết bị thể thao > quyền anh & võ thuật
73,sản phẩm thể thao > thiết bị thể thao > nhảy múa & thể dục dụng cụ
74,sản phẩm thể thao > thiết bị thể thao > bóng chày & bóng mềm
75,sản phẩm thể thao > thiết bị thể thao > bóng rổ
76,sản phẩm thể thao > thiết bị thể thao
77,sản phẩm thể thao > thể dục & thể hình > yoga & pilates
78,sản phẩm thể thao > thể dục & thể hình > thiết bị tập cardio
79,sản phẩm thể thao > thể dục & thể hình > dụng cụ nâng tạ
80,sản phẩm thể thao > thể dục & thể hình
81,sản phẩm thể thao > trò chơi trong nhà
82,sản phẩm thể thao > giải trí ngoài trời > câu cá
83,sản phẩm thể thao > giải trí ngoài trời > thể thao dưới nước & đua thuyền
84,sản phẩm thể thao > giải trí ngoài trời > trượt ván
85,sản phẩm thể thao > giải trí ngoài trời > trò chơi ngoài trời
86,sản phẩm thể thao > giải trí ngoài trời > Đạp xe
87,sản phẩm thể thao > giải trí ngoài trời > thể thao mùa đông
88,sản phẩm thể thao > giải trí ngoài trời > leo núi
89,sản phẩm thể thao > giải trí ngoài trời > trượt patin
90,sản phẩm thể thao > giải trí ngoài trời > cắm trại & đi bộ đường dài
91,sản phẩm thể thao > giải trí ngoài trời
92,sản phẩm thể thao
93,Đồ dùng cho thú cưng > giỏ & túi xách vận chuyển thú cưng
94,Đồ dùng cho thú cưng > Đồ cắt tỉa lông thú cưng
95,Đồ dùng cho thú cưng > Đồ dùng cho động vật nhỏ
96,Đồ dùng cho thú cưng > Đồ đựng thức ăn & nước uống cho thú cưng
97,Đồ dùng cho thú cưng > Đồ dùng cho loài bò sát & lưỡng cư
98,"Đồ dùng cho thú cưng > vòng cổ, yếm ngực & dây dắt thú cưng"
99,Đồ dùng cho thú cưng > bậc thang & thềm dốc cho thú cưng
100,Đồ dùng cho thú cưng > Đồ nuôi chim
101,Đồ dùng cho thú cưng > chăm sóc & sức khỏe thú cưng
102,Đồ dùng cho thú cưng > giường & bộ đồ giường cho thú cưng
103,Đồ dùng cho thú cưng > Đồ cho cá cảnh
104,Đồ dùng cho thú cưng > Đồ cho mèo
105,Đồ dùng cho thú cưng > Đồ cho cún cưng
106,Đồ dùng cho thú cưng
107,sân & vườn > dụng cụ tưới cây
108,sân & vườn > Đồ trang trí hồ nước
109,sân & vườn > thiết bị điện ngoài trời
110,sân & vườn > Đèn ngoài trời
111,sân & vườn > bếp nướng & đồ nấu ăn ngoài trời
112,"sân & vườn > cây cảnh, hạt giống & củ"
113,sân & vườn > ngoại thất
114,sân & vườn > bể bơi & thẩm mỹ viện
115,"sân & vườn > phụ kiện, đất & sản phẩm chăm sóc cây"
116,sân & vườn > trang trí sân vườn
117,sân & vườn > dụng cụ & thiết bị làm vườn cầm tay
118,sân & vườn
119,văn phòng phẩm > Đồ viết lách
120,văn phòng phẩm > bảng thuyết trình & trình bày
121,văn phòng phẩm > dập ghim & đồ bấm lỗ
122,văn phòng phẩm > máy chiếu
123,văn phòng phẩm > băng dính & keo
124,văn phòng phẩm > phân loại & lưu trữ
125,văn phòng phẩm > ghim & kẹp giấy
126,văn phòng phẩm > nhãn
127,văn phòng phẩm > lịch & sổ kế hoạch
128,văn phòng phẩm > bìa còng & phụ kiện
129,văn phòng phẩm > máy móc & thiết bị văn phòng
130,văn phòng phẩm > Đồ gửi thư
131,văn phòng phẩm > sản phẩm giấy
132,văn phòng phẩm
133,nhạc cụ > hệ thống âm thanh chuyên nghiệp
134,nhạc cụ > phụ kiện âm nhạc
135,nhạc cụ > guitar & bass
136,nhạc cụ > kèn đồng
137,nhạc cụ > trống & nhạc cụ gõ
138,nhạc cụ > Đàn piano & nhạc cụ bàn phím
139,nhạc cụ > nhạc cụ bằng gỗ
140,nhạc cụ > nhạc cụ dây
141,nhạc cụ
142,truyền thông > báo
143,truyền thông > tạp chí & catalog
144,truyền thông > sách
145,truyền thông > phim & chương trình truyền hình
146,truyền thông > Âm nhạc
147,truyền thông
148,du lịch & hành lý > túi đựng quần áo
149,du lịch & hành lý > phụ kiện du lịch
150,du lịch & hành lý > túi xách & ví > ví
151,du lịch & hành lý > túi xách & ví > túi satchel
152,du lịch & hành lý > túi xách & ví > túi đeo chéo
153,du lịch & hành lý > túi xách & ví > túi tote
154,du lịch & hành lý > túi xách & ví > túi đeo vai
155,du lịch & hành lý > túi xách & ví > bóp cầm tay
156,du lịch & hành lý > túi xách & ví > túi đeo hông
157,du lịch & hành lý > túi xách & ví
158,du lịch & hành lý > va li
159,du lịch & hành lý > túi đựng đồ tập gym
160,du lịch & hành lý > bộ va li
