category_id,category
1,食品和饮料 > 食品 > 汤品和肉汤
2,食品和饮料 > 食品 > 坚果和种子
3,食品和饮料 > 食品 > 零食和薯条
4,食品和饮料 > 食品 > 肉类替代品
5,食品和饮料 > 食品 > 香料/调味料
6,食品和饮料 > 食品 > 意面和谷类
7,食品和饮料 > 食品 > 预制食品和半成品净菜
8,食品和饮料 > 食品 > 糖果和巧克力
9,食品和饮料 > 食品 > 蘸料/酱汁
10,食品和饮料 > 食品 > 肉类和海鲜
11,食品和饮料 > 食品 > 烘焙食品和面包
12,食品和饮料 > 食品 > 酱汁与调味品
13,食品和饮料 > 食品 > 乳品、蛋类和奶酪
14,食品和饮料 > 食品 > 速冻食品
15,食品和饮料 > 食品 > 烘焙原料/作料
16,食品和饮料 > 食品 > 水果/蔬菜
17,食品和饮料 > 食品 > 早餐和麦片
18,食品和饮料 > 食品
19,食品和饮料 > 饮料 > 运动和能量饮料
20,食品和饮料 > 饮料 > 果汁
21,食品和饮料 > 饮料 > 混合饮料粉
22,食品和饮料 > 饮料 > 苏打水
23,食品和饮料 > 饮料 > 水
24,食品和饮料 > 饮料 > 咖啡和茶
25,食品和饮料 > 饮料 > 酒精饮料
26,食品和饮料 > 饮料 > 牛奶
27,食品和饮料 > 饮料
28,食品和饮料
29,玩具与游戏 > 户外玩具
30,玩具与游戏 > 毛绒玩具
31,玩具与游戏 > 游戏 > 角色扮演游戏
32,玩具与游戏 > 游戏 > 国际象棋
33,玩具与游戏 > 游戏 > 微缩模型和战棋游戏
34,玩具与游戏 > 游戏 > 骰子游戏
35,玩具与游戏 > 游戏 > 智力拼图
36,玩具与游戏 > 游戏 > 纸牌游戏
37,玩具与游戏 > 游戏 > 敏捷游戏
38,玩具与游戏 > 游戏 > 桌游
39,玩具与游戏 > 游戏
40,玩具与游戏 > 益智游戏
41,玩具与游戏 > 仿真驾驶玩具
42,玩具与游戏 > 角色扮演玩具
43,玩具与游戏 > 玩具车
44,玩具与游戏 > 遥控玩具
45,玩具与游戏 > 教育类玩具
46,玩具与游戏 > 娃娃和玩具屋
47,玩具与游戏 > 堆砌式玩具
48,玩具与游戏 > 手办
49,玩具与游戏 > 电动玩具
50,玩具与游戏
51,家居装修 > 家用暖气和空调
52,家居装修 > 建筑用具和五金器具
53,家居装修 > 管道和装置
54,家居装修 > 工具 > 梯子/脚手架
55,家居装修 > 工具 > 画具
56,家居装修 > 工具 > 电动工具
57,家居装修 > 工具 > 测量工具和传感器
58,家居装修 > 工具 > 气动工具
59,家居装修 > 工具 > 手动工具
60,家居装修 > 工具
61,家居装修
62,体育用品 > 运动器材 > 冰上和轮滑曲棍球
63,体育用品 > 运动器材 > 英式橄榄球
64,体育用品 > 运动器材 > 网球和球拍运动
65,体育用品 > 运动器材 > 排球
66,体育用品 > 运动器材 > 高尔夫
67,体育用品 > 运动器材 > 英式足球
68,体育用品 > 运动器材 > 橄榄球
69,体育用品 > 运动器材 > 田径
70,体育用品 > 运动器材 > 板球
71,体育用品 > 运动器材 > 曲棍球和长曲棍球
72,体育用品 > 运动器材 > 拳击与武术
73,体育用品 > 运动器材 > 舞蹈和体操
74,体育用品 > 运动器材 > 棒球和垒球
75,体育用品 > 运动器材 > 篮球
76,体育用品 > 运动器材
77,体育用品 > 运动与健身 > 瑜伽和普拉提
78,体育用品 > 运动与健身 > 有氧器材
79,体育用品 > 运动与健身 > 重训器材
80,体育用品 > 运动与健身
81,体育用品 > 室内游戏
82,体育用品 > 户外休闲 > 钓鱼用具
83,体育用品 > 户外休闲 > 水上运动和划船
84,体育用品 > 户外休闲 > 滑板运动
85,体育用品 > 户外休闲 > 户外游戏
86,体育用品 > 户外休闲 > 自行车
87,体育用品 > 户外休闲 > 冬季运动
88,体育用品 > 户外休闲 > 攀岩
89,体育用品 > 户外休闲 > 直排轮滑和轮式溜冰
90,体育用品 > 户外休闲 > 野营和徒步
91,体育用品 > 户外休闲
92,体育用品
93,宠物用品 > 宠物笼/箱
94,宠物用品 > 宠物美容用品
95,宠物用品 > 小型宠物用品
96,宠物用品 > 宠物喂食/喂水用品
97,宠物用品 > 爬行/两栖动物用品
98,宠物用品 > 宠物项圈/胸背带/牵引绳
99,宠物用品 > 宠物台阶/坡道
100,宠物用品 > 养鸟用品
101,宠物用品 > 宠物护理和保健
102,宠物用品 > 宠物床和床上用品
103,宠物用品 > 养鱼用品
104,宠物用品 > 猫咪用品
105,宠物用品 > 狗狗用品
106,宠物用品
107,露台和花园 > 灌溉设备
108,露台和花园 > 水池装饰
109,露台和花园 > 户外供电设备
110,露台和花园 > 户外照明
111,露台和花园 > 烧烤和野炊
112,露台和花园 > 植物、种子和球茎
113,露台和花园 > 户外家具
114,露台和花园 > 游泳池和水疗
115,露台和花园 > 植物养护/土壤/用品
116,露台和花园 > 园艺装饰
117,露台和花园 > 园艺工具和设备
118,露台和花园
119,办公用品 > 书写用品
120,办公用品 > 演示/展示板
