category_id,category
1,食品和飲品 > 食品 > 濃湯和清湯
2,食品和飲品 > 食品 > 堅果和種子
3,食品和飲品 > 食品 > 點心和薯片
4,食品和飲品 > 食品 > 素肉
5,食品和飲品 > 食品 > 辛香料和調味料
6,食品和飲品 > 食品 > 意大利麵和穀物
7,食品和飲品 > 食品 > 調理食品和料理包
8,食品和飲品 > 食品 > 糖果和朱古力
9,食品和飲品 > 食品 > 沾醬和抹醬
10,食品和飲品 > 食品 > 肉類和海鮮
11,食品和飲品 > 食品 > 烘焙坊和麵包
12,食品和飲品 > 食品 > 調味品和醬料
13,食品和飲品 > 食品 > 乳製品、蛋和芝士
14,食品和飲品 > 食品 > 冷凍食品
15,食品和飲品 > 食品 > 烘焙原料
16,食品和飲品 > 食品 > 水果和蔬菜
17,食品和飲品 > 食品 > 早餐和麥片
18,食品和飲品 > 食品
19,食品和飲品 > 飲品 > 運動和能量飲品
20,食品和飲品 > 飲品 > 果汁
21,食品和飲品 > 飲品 > 沖泡式飲品
22,食品和飲品 > 飲品 > 汽水
23,食品和飲品 > 飲品 > 水
24,食品和飲品 > 飲品 > 咖啡和茶
25,食品和飲品 > 飲品 > 酒精飲品
26,食品和飲品 > 飲品 > 牛奶
27,食品和飲品 > 飲品
28,食品和飲品
29,玩具與遊戲 > 戶外遊樂設施
30,玩具與遊戲 > 填充動物玩具和絨毛玩具
31,玩具與遊戲 > 遊戲 > 角色扮演遊戲
32,玩具與遊戲 > 遊戲 > 西洋棋
33,玩具與遊戲 > 遊戲 > 微型戰略遊戲
34,玩具與遊戲 > 遊戲 > 骰子遊戲
35,玩具與遊戲 > 遊戲 > 骰牌遊戲
36,玩具與遊戲 > 遊戲 > 紙牌遊戲
37,玩具與遊戲 > 遊戲 > 靈敏度遊戲
38,玩具與遊戲 > 遊戲 > 桌上遊戲
39,玩具與遊戲 > 遊戲
40,玩具與遊戲 > 拼圖
41,玩具與遊戲 > 騎乘玩具
42,玩具與遊戲 > 扮演遊戲
43,玩具與遊戲 > 玩具車
44,玩具與遊戲 > 遙控玩具
45,玩具與遊戲 > 益智玩具
46,玩具與遊戲 > 洋娃娃和洋娃娃屋
47,玩具與遊戲 > 積木
48,玩具與遊戲 > 可動玩偶
49,玩具與遊戲 > 電動玩具
50,玩具與遊戲
51,家居裝修 > 冷暖空調
52,家居裝修 > 建築器材和五金
53,家居裝修 > 水管維修
54,家居裝修 > 工具 > 梯子和鷹架
55,家居裝修 > 工具 > 畫具
56,家居裝修 > 工具 > 電動工具
57,家居裝修 > 工具 > 測量工具和感應器
58,家居裝修 > 工具 > 氣動工具
59,家居裝修 > 工具 > 手工具
60,家居裝修 > 工具
61,家居裝修
62,運動用品 > 運動用品 > 冰上和滾軸曲棍球
63,運動用品 > 運動用品 > 欖球
64,運動用品 > 運動用品 > 網球和球拍運動
65,運動用品 > 運動用品 > 排球
66,運動用品 > 運動用品 > 高爾夫球
67,運動用品 > 運動用品 > 足球
68,運動用品 > 運動用品 > 美式足球
69,運動用品 > 運動用品 > 田徑運動
70,運動用品 > 運動用品 > 板球
71,運動用品 > 運動用品 > 曲棍球和袋棍球
72,運動用品 > 運動用品 > 拳擊與武術
73,運動用品 > 運動用品 > 舞蹈和體操
74,運動用品 > 運動用品 > 棒球和壘球
75,運動用品 > 運動用品 > 籃球
76,運動用品 > 運動用品
77,運動用品 > 運動和健身 > 瑜伽和普拉提
78,運動用品 > 運動和健身 > 心肺訓練器材
79,運動用品 > 運動和健身 > 重量訓練器材
80,運動用品 > 運動和健身
81,運動用品 > 室內遊戲
82,運動用品 > 戶外休閒 > 釣魚
83,運動用品 > 戶外休閒 > 水上運動和划船
84,運動用品 > 戶外休閒 > 滑板
85,運動用品 > 戶外休閒 > 戶外遊戲
86,運動用品 > 戶外休閒 > 騎單車
87,運動用品 > 戶外休閒 > 冬季運動
88,運動用品 > 戶外休閒 > 攀山
89,運動用品 > 戶外休閒 > 直排輪和滾軸溜冰
90,運動用品 > 戶外休閒 > 露營與遠足
91,運動用品 > 戶外休閒
92,運動用品
93,寵物用品 > 寵物提籃和圍欄
94,寵物用品 > 寵物美容用品
95,寵物用品 > 小型動物用品
96,寵物用品 > 寵物餵食和飲水用品
97,寵物用品 > 爬蟲類和兩棲類用品
98,寵物用品 > 寵物項圈、胸背帶和牽繩
99,寵物用品 > 寵物樓梯和斜坡
100,寵物用品 > 鳥類用品
101,寵物用品 > 寵物護理和保健
102,寵物用品 > 寵物床和床上用品
103,寵物用品 > 水族用品
104,寵物用品 > 貓用品
105,寵物用品 > 狗用品
106,寵物用品
107,露台和花園 > 澆水設備
108,露台和花園 > 池塘和水池造景
109,露台和花園 > 戶外發電設備
110,露台和花園 > 室外燈具
111,露台和花園 > 燒烤和戶外烹調
112,露台和花園 > 植物、種子和球莖
113,露台和花園 > 戶外傢俱
114,露台和花園 > 泳池和水療
115,露台和花園 > 植物養護、土壤和配件
116,露台和花園 > 花園裝潢
117,露台和花園 > 園藝手工具和設備
118,露台和花園
119,辦公用品 > 書寫用具
120,辦公用品 > 簡報和展示板
121,辦公用品 > 釘書機和釘窿機
122,辦公用品 > 投影機
123,辦公用品 > 膠帶和超能膠
124,辦公用品 > 歸檔和收納
125,辦公用品 > 固定夾和扣件
126,辦公用品 > 標籤
127,辦公用品 > 日曆和規劃表
128,辦公用品 > 活頁夾和配件
129,辦公用品 > 辦公室用品和器材
130,辦公用品 > 郵寄用品
131,辦公用品 > 紙製品
132,辦公用品
133,音樂演奏者 > 專業音響設備
134,音樂演奏者 > 音樂配件
135,音樂演奏者 > 結他和低音結他
136,音樂演奏者 > 銅管樂器
137,音樂演奏者 > 鼓和打擊樂器
138,音樂演奏者 > 鋼琴和鍵盤樂器
139,音樂演奏者 > 木管樂器
140,音樂演奏者 > 弦樂器
141,音樂演奏者
142,媒體 > 報紙
143,媒體 > 雜誌和型錄
144,媒體 > 書籍
145,媒體 > 電影與電視節目
146,媒體 > 音樂
147,媒體
148,旅行用品和行李箱 > 西裝袋
149,旅行用品和行李箱 > 旅遊配件
150,旅行用品和行李箱 > 手提包和皮夾 > 錢包
151,旅行用品和行李箱 > 手提包和皮夾 > 劍橋包
152,旅行用品和行李箱 > 手提包和皮夾 > 斜背包
153,旅行用品和行李箱 > 手提包和皮夾 > 側揹袋
154,旅行用品和行李箱 > 手提包和皮夾 > 肩背包
155,旅行用品和行李箱 > 手提包和皮夾 > 離合器
156,旅行用品和行李箱 > 手提包和皮夾 > 腰包
157,旅行用品和行李箱 > 手提包和皮夾
158,旅行用品和行李箱 > 手提箱
159,旅行用品和行李箱 > 圓筒包和運動包
160,旅行用品和行李箱 > 行李箱組
161,旅行用品和行李箱 > 公事包和手提電腦
162,旅行用品和行李箱 > 背包
163,旅行用品和行李箱
164,藝術品與手工藝品 > 手工藝品材料
165,藝術品與手工藝品 > 裁縫
166,藝術品與手工藝品 > 針織和毛線
167,藝術品與手工藝品 > 珠鏈和珠寶製作
168,藝術品與手工藝品 > 美術用品
169,藝術品與手工藝品
170,汽車零件和配件 > 拖車零件和配件
171,汽車零件和配件 > 越野車零件和配件
172,汽車零件和配件 > 旅行車和露營車零件和配件
173,汽車零件和配件 > 汽車零組件
174,汽車零件和配件 > 船隻零件和配件
175,汽車零件和配件 > 電單車零件和配件
176,汽車零件和配件 > 汽車工具
177,汽車零件和配件
178,古董與收藏品 > 具收藏價值的運動紀念品
179,古董與收藏品 > 具收藏價值的家居用品
180,古董與收藏品 > 具收藏價值的電子產品
181,古董與收藏品 > 具收藏價值的硬幣和紙鈔
182,古董與收藏品 > 收藏用郵票
183,古董與收藏品 > 具收藏價值的傢俬
184,古董與收藏品 > 具收藏價值的用具
185,古董與收藏品 > 具收藏價值的玩具
186,古董與收藏品
187,嬰兒用品 > 嬰兒哺餵用品
188,嬰兒用品 > 嬰兒戶外用品 > 嬰兒揹帶
189,嬰兒用品 > 嬰兒戶外用品 > 嬰兒推車和相關配件
190,嬰兒用品 > 嬰兒戶外用品 > 兒童汽車座椅和相關配件
191,嬰兒用品 > 嬰兒戶外用品
192,嬰兒用品 > 嬰兒安全和健康
193,嬰兒用品 > 嬰兒沐浴用品
194,嬰兒用品 > 玩具 > 活動中心和藝人
195,嬰兒用品 > 玩具 > 嬰兒玩具
196,嬰兒用品 > 玩具
197,嬰兒用品 > 如廁訓練
198,嬰兒用品 > 育嬰用品 > 嬰兒房寢具
199,嬰兒用品 > 育嬰用品 > 嬰兒房佈置
200,嬰兒用品 > 育嬰用品 > 嬰兒房家具
201,嬰兒用品 > 育嬰用品
202,嬰兒用品
203,電子產品 > 可攜式語音和影片播放器
204,電子產品 > 家用影音設備
205,電子產品 > 家居安全和自動化
206,電子產品 > 手機和智慧型手錶 > 手機
207,電子產品 > 手機和智慧型手錶 > 手機和智慧型手錶配件
208,電子產品 > 手機和智慧型手錶 > 智能手錶
209,電子產品 > 手機和智慧型手錶
210,電子產品 > 投影機
211,電子產品 > 相機 > 雙筒望遠鏡和單筒望遠鏡
212,電子產品 > 相機 > 底片式相機
213,電子產品 > 相機 > 相機配件
214,電子產品 > 相機 > 航拍機
215,電子產品 > 相機 > 數碼相機
216,電子產品 > 相機 > 攝影機
217,電子產品 > 相機
218,電子產品 > 電視和螢幕 > 電視
219,電子產品 > 電視和螢幕 > 電腦螢幕
220,電子產品 > 電視和螢幕
221,電子產品 > 軟件
222,電子產品 > 打印機和掃描器
223,電子產品 > 電視遊戲機和電玩遊戲 > 電玩遊戲配件
224,電子產品 > 電視遊戲機和電玩遊戲 > 電視遊戲機
225,電子產品 > 電視遊戲機和電玩遊戲 > 電玩遊戲
226,電子產品 > 電視遊戲機和電玩遊戲
227,電子產品 > 桌上型和平板電腦 > 平板電腦和電子書閱讀器
228,電子產品 > 桌上型和平板電腦 > 網絡設備和伺服器
229,電子產品 > 桌上型和平板電腦 > 電腦零件和硬件
