category_id,category
1,食品和飲料 > 食品 > 濃湯和清湯
2,食品和飲料 > 食品 > 堅果和種子
3,食品和飲料 > 食品 > 點心和洋芋片
4,食品和飲料 > 食品 > 素肉
5,食品和飲料 > 食品 > 辛香料和調味料
6,食品和飲料 > 食品 > 義大利麵和穀物
7,食品和飲料 > 食品 > 調理食品和料理包
8,食品和飲料 > 食品 > 糖果和巧克力
9,食品和飲料 > 食品 > 沾醬和抹醬
10,食品和飲料 > 食品 > 肉類和海鮮
11,食品和飲料 > 食品 > 烘焙坊和麵包
12,食品和飲料 > 食品 > 調味品和醬料
13,食品和飲料 > 食品 > 乳製品、蛋和起司
14,食品和飲料 > 食品 > 冷凍食品
15,食品和飲料 > 食品 > 烘焙原料
16,食品和飲料 > 食品 > 水果和蔬菜
17,食品和飲料 > 食品 > 早餐和麥片
18,食品和飲料 > 食品
19,食品和飲料 > 飲料 > 運動和能量飲料
20,食品和飲料 > 飲料 > 果汁
21,食品和飲料 > 飲料 > 沖泡式飲品
22,食品和飲料 > 飲料 > 汽水
23,食品和飲料 > 飲料 > 水
24,食品和飲料 > 飲料 > 咖啡和茶
25,食品和飲料 > 飲料 > 酒精飲品
26,食品和飲料 > 飲料 > 牛奶
27,食品和飲料 > 飲料
28,食品和飲料
29,玩具和遊戲 > 戶外遊樂設施
30,玩具和遊戲 > 填充動物玩偶和絨毛玩具
31,玩具和遊戲 > 遊戲 > 角色扮演遊戲
32,玩具和遊戲 > 遊戲 > 西洋棋
33,玩具和遊戲 > 遊戲 > 微型戰略遊戲
34,玩具和遊戲 > 遊戲 > 骰子遊戲
35,玩具和遊戲 > 遊戲 > 骰牌遊戲
36,玩具和遊戲 > 遊戲 > 紙牌遊戲
37,玩具和遊戲 > 遊戲 > 靈敏度遊戲
38,玩具和遊戲 > 遊戲 > 桌上遊戲
39,玩具和遊戲 > 遊戲
40,玩具和遊戲 > 拼圖
41,玩具和遊戲 > 騎乘玩具
42,玩具和遊戲 > 扮演遊戲
43,玩具和遊戲 > 玩具車
44,玩具和遊戲 > 遙控玩具
45,玩具和遊戲 > 益智玩具
46,玩具和遊戲 > 娃娃和娃娃屋
47,玩具和遊戲 > 積木
48,玩具和遊戲 > 可動玩偶
49,玩具和遊戲 > 電動玩具
50,玩具和遊戲
51,居家裝潢 > 冷暖空調
52,居家裝潢 > 建築器材和五金
53,居家裝潢 > 水管維修
54,居家裝潢 > 工具 > 梯子和鷹架
55,居家裝潢 > 工具 > 畫具
56,居家裝潢 > 工具 > 電動工具
57,居家裝潢 > 工具 > 測量工具和感測器
58,居家裝潢 > 工具 > 氣動工具
59,居家裝潢 > 工具 > 手工具
60,居家裝潢 > 工具
61,居家裝潢
62,運動用品 > 運動用品 > 冰上和滑輪曲棍球
63,運動用品 > 運動用品 > 英式橄欖球
64,運動用品 > 運動用品 > 網球和球拍運動
65,運動用品 > 運動用品 > 排球
66,運動用品 > 運動用品 > 高爾夫球
67,運動用品 > 運動用品 > 足球
68,運動用品 > 運動用品 > 美式足球
69,運動用品 > 運動用品 > 田徑運動
70,運動用品 > 運動用品 > 板球
71,運動用品 > 運動用品 > 曲棍球和袋棍球
72,運動用品 > 運動用品 > 拳擊與武術
73,運動用品 > 運動用品 > 舞蹈和體操
74,運動用品 > 運動用品 > 棒球和壘球
75,運動用品 > 運動用品 > 籃球
76,運動用品 > 運動用品
77,運動用品 > 運動和健身 > 瑜珈和皮拉提斯
78,運動用品 > 運動和健身 > 心肺訓練器材
79,運動用品 > 運動和健身 > 重量訓練器材
80,運動用品 > 運動和健身
81,運動用品 > 室內遊戲
82,運動用品 > 戶外休閒 > 釣魚
83,運動用品 > 戶外休閒 > 水上運動和划船
84,運動用品 > 戶外休閒 > 滑板
85,運動用品 > 戶外休閒 > 戶外遊戲
